,x,Q2,y,sigma_d measured (b/GeV2),Elab,*W2,*nu,*E',*epsilon,obs,target,curent,lepton beam,units,%dE,%dE1_c,%dE2_c,%dE3_c,%dE4_c,%dEp,%dEp1_c,%dEp2_c,%dEp3_c,%dEp4_c,%dAC_c,%dRC_c,%dRE_c,R,F2d,dFstat,dFsyst,%*norm_c,*epsilon.1,value,%*dST_u
50,0.1803,3.46,0.119,3.339e-08,90,16.6100824914032,10.2293382150337,79.7706617849663,0.991787677747674,sig_r,d,mu,nc,1,1.7,1.7,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.1,0.3,0.1,0.211,0.3069,0.0066,0.0071,2.5,0.991787677747674,0.306459630127927,2.1505376344086
51,0.1799,4.46,0.152,2.048e-08,90,21.2113948615898,13.2151123995681,76.7848876004319,0.986242350850071,sig_r,d,mu,nc,1,1.4,1.4,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,0.6,0.3,0.1,0.179,0.3197,0.0076,0.0054,2.5,0.986242350850071,0.319031126059086,2.37722865186112
52,0.1806,5.46,0.185,1.276e-08,90,25.6524021395349,16.1154361084941,73.8845638915059,0.979034080258019,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.4,0.3,0.1,0.156,0.3088,0.0088,0.0045,2.5,0.979034080258019,0.30792518261187,2.84974093264249
53,0.1801,6.77,0.229,8.304e-09,90,31.7000716513048,20.0374347821454,69.9625652178546,0.96659466086443,sig_r,d,mu,nc,1,1.0,1.0,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,0.5,0.2,0.1,0.135,0.3203,0.0097,0.0039,2.5,0.96659466086443,0.319026206911429,3.02841086481424
54,0.1769,8.5,0.289,4.918e-09,90,40.4295896189938,25.6128707990372,64.3871292009628,0.943846071071206,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.8,0.2,0.1,0.118,0.3092,0.0232,0.0037,2.5,0.943846071071206,0.307366742451123,7.50323415265201
55,0.2048,2.9,0.087,4.151e-08,90,12.14000025,7.54805770255863,82.4519422974414,0.995677146130229,sig_r,d,mu,nc,1,2.1,2.1,0.0,0.0,0.0,-1.4,-1.4,0.0,0.0,0.0,0.9,0.3,0.1,0.223,0.297,0.0263,0.0081,2.5,0.995677146130229,0.296765094954845,8.85521885521886
56,0.2203,3.51,0.099,2.567e-08,90,13.3026628833409,8.49297381841199,81.507026181588,0.994351968238722,sig_r,d,mu,nc,1,1.8,1.8,0.0,0.0,0.0,-1.1,-1.1,0.0,0.0,0.0,0.8,0.3,0.1,0.193,0.2924,0.007,0.0065,2.5,0.994351968238722,0.29213169276147,2.39398084815321
57,0.2255,4.47,0.123,1.458e-08,90,16.2324604079823,10.566426656707,79.433573343293,0.991137782187623,sig_r,d,mu,nc,1,1.4,1.4,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,0.7,0.3,0.1,0.162,0.282,0.007,0.005,2.5,0.991137782187623,0.281650390866181,2.4822695035461
58,0.2259,5.47,0.149,9.905e-09,90,19.6240980947322,12.9073849119041,77.0926150880959,0.986734824073299,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.6,0.3,0.1,0.14,0.2937,0.009,0.0043,2.5,0.986734824073299,0.293220432110378,3.06435137895812
59,0.2273,6.81,0.184,5.838e-09,90,24.0302487514298,15.9703650060927,74.0296349939073,0.97917707929025,sig_r,d,mu,nc,1,1.0,1.0,0.0,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,0.6,0.3,0.1,0.12,0.2789,0.0086,0.0034,2.5,0.97917707929025,0.278276644449593,3.08354248834708
60,0.2211,8.64,0.236,3.68e-09,90,31.3171845698779,20.8301388965234,69.1698611034766,0.964170170648704,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.6,0.2,0.1,0.104,0.2874,0.0182,0.0032,2.5,0.964170170648704,0.286429234887168,6.33263743910926
61,0.2643,3.75,0.088,1.722e-08,90,11.3182662474461,7.56312486537638,82.4368751346236,0.995520156767426,sig_r,d,mu,nc,1,1.4,1.4,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,1.7,0.3,0.1,0.172,0.269,0.0118,0.0062,2.5,0.995520156767426,0.268822184022238,4.38661710037175
62,0.2723,4.47,0.102,1.153e-08,90,12.8255619581344,8.75038270689467,81.2496172931053,0.99393591986348,sig_r,d,mu,nc,1,1.3,1.3,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,1.3,0.3,0.1,0.15,0.2672,0.0079,0.0052,2.5,0.99393591986348,0.266987585890872,2.95658682634731
63,0.2746,5.44,0.123,7.263e-09,90,15.2504776489439,10.5600392584989,79.4399607415011,0.991070404499584,sig_r,d,mu,nc,1,1.1,1.1,0.0,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,1.0,0.3,0.1,0.13,0.2562,0.0091,0.0039,2.5,0.991070404499584,0.255935704490433,3.55191256830601
64,0.2792,6.84,0.151,4.327e-09,90,18.5384113352436,13.0589378119635,76.9410621880365,0.98626241841315,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.7,0.3,0.1,0.109,0.2512,0.009,0.003,2.5,0.98626241841315,0.250859825901467,3.5828025477707
