,X,Q2,w2,value,obs,target,lepton beam,current,stat_u,syst_u,*norm_c,%cor1_c,%cor2_c,%cor3_c,%cor4_c,%cor5_c,*Elab,*nu,*E',*sin2(theta/2),*epsilon
106,0.14,19.0,117.59412971428569,0.36935,F2,p,mu,NC,0.007,0,0.0110805,-0.3,-0.1,0.0,0.0,1.0,120,72.34236978373438,47.657630216265616,0.0008305770377945373,0.9983342086951028
107,0.18,11.75,54.407621777777784,0.36127,F2,p,mu,NC,0.0069,0,0.0108381,-0.5,-0.3,-0.2,0.0,1.0,120,34.79625681118219,85.20374318881781,0.00028730154040790224,0.9994199905599871
108,0.18,13.25,61.24095511111111,0.35757,F2,p,mu,NC,0.0069,0,0.0107271,-0.4,-0.3,0.0,0.0,1.0,120,39.23833214877991,80.7616678512201,0.0003417978776456093,0.9993107609434497
109,0.18,15.0,69.21317733333335,0.34979,F2,p,mu,NC,0.0065,0,0.0104937,-0.4,-0.2,0.2,0.0,1.0,120,44.42075337597726,75.57924662402274,0.00041347329321045703,0.999167116698662
110,0.18,17.0,78.32428844444445,0.35267,F2,p,mu,NC,0.007,0,0.010580099999999999,-0.3,-0.2,0.3,0.0,1.0,120,50.343520492774225,69.65647950722578,0.0005084475545881232,0.9989768112668033
111,0.18,19.0,87.43539955555556,0.34847,F2,p,mu,NC,0.0075,0,0.0104541,-0.3,-0.1,0.3,0.0,1.0,120,56.2662876095712,63.7337123904288,0.0006210737119916735,0.9987511827922629
112,0.18,21.5,98.82428844444445,0.36087,F2,p,mu,NC,0.007,0,0.0108261,-0.3,-0.1,0.2,0.0,1.0,120,63.6697465055674,56.3302534944326,0.0007951618160407116,0.9984025256236916
113,0.18,24.5,112.4909551111111,0.33792,F2,p,mu,NC,0.0081,0,0.0101376,-0.3,-0.1,0.0,0.0,1.0,120,72.55389718076286,47.44610281923714,0.0010757820692065712,0.9978407665488622
114,0.225,11.75,41.35206622222222,0.32331,F2,p,mu,NC,0.0066,0,0.0096993,-0.5,-0.3,0.2,0.0,1.0,120,27.83700544894575,92.16299455105425,0.00026560732738676674,0.9994608779319266
115,0.225,13.25,46.518732888888884,0.34116,F2,p,mu,NC,0.007,0,0.0102348,-0.4,-0.3,0.2,0.0,1.0,120,31.39066571902393,88.60933428097607,0.00031152662290786587,0.9993687706944356
116,0.225,15.0,52.54651066666667,0.32619,F2,p,mu,NC,0.0063,0,0.0097857,-0.4,-0.2,0.1,0.0,1.0,120,35.536602700781806,84.4633972992182,0.00036998274991585325,0.9992515287683292
117,0.225,17.0,59.435399555555556,0.33525,F2,p,mu,NC,0.0068,0,0.010057499999999999,-0.4,-0.2,0.0,0.0,1.0,120,40.27481639421938,79.72518360578061,0.0004442343694282658,0.9991026266692794
118,0.225,19.0,66.32428844444445,0.31776,F2,p,mu,NC,0.0071,0,0.0095328,-0.3,-0.1,0.2,0.0,1.0,120,45.01303008765696,74.98696991234304,0.0005278694869202578,0.9989349338212492
119,0.225,21.5,74.93539955555556,0.32585,F2,p,mu,NC,0.0065,0,0.0097755,-0.3,-0.1,0.3,0.0,1.0,120,50.93579720445392,69.06420279554608,0.0006485511285675082,0.9986930104808566
120,0.225,24.5,85.26873288888888,0.31622,F2,p,mu,NC,0.0071,0,0.0094866,-0.3,-0.1,0.1,0.0,1.0,120,58.043117744610285,61.956882255389715,0.0008238256156316917,0.9983417527281312
121,0.225,28.0,97.32428844444445,0.31632,F2,p,mu,NC,0.006,0,0.009489599999999999,-0.3,0.0,0.3,0.0,0.0,120,66.33499170812604,53.66500829187396,0.001086990111248455,0.9978145921472446
122,0.225,32.5,112.82428844444442,0.32366,F2,p,mu,NC,0.0059,0,0.0097098,-0.3,0.0,0.2,0.0,0.0,120,76.99597251836057,43.004027481639426,0.001574464934993389,0.996838839073478
123,0.275,13.25,35.81166218181818,0.3008,F2,p,mu,NC,0.0079,0,0.009024,-0.4,-0.2,0.3,0.0,1.0,120,25.683271951928667,94.31672804807133,0.00029267519387014124,0.9994030734006035
