,x,Q2,obs,target,curent,lepton beam,units,value,dstat_u,dsys,%dVX_c,%dSM_c,%dRC_c,%dE_c,%dEp_c
229,0.45,6.93,sig,d/p,mu,nc,1,0.7698,0.0161,0.0044,0.2,0.2,0.0,-0.3,0.4
230,0.45,8.92,sig,d/p,mu,nc,1,0.7793,0.0211,0.0035,0.1,0.1,0.0,-0.3,0.3
231,0.45,11.34,sig,d/p,mu,nc,1,0.7754,0.0227,0.0026,0.1,0.1,0.0,-0.2,0.2
232,0.45,14.89,sig,d/p,mu,nc,1,0.7626,0.0158,0.0036,0.2,0.2,0.0,-0.3,0.3
233,0.45,19.77,sig,d/p,mu,nc,1,0.7529,0.0146,0.0027,0.1,0.1,0.0,-0.2,0.2
234,0.45,26.64,sig,d/p,mu,nc,1,0.7705,0.016,0.0025,0.1,0.1,0.0,-0.2,0.2
235,0.45,35.5,sig,d/p,mu,nc,1,0.7474,0.0187,0.002,0.1,0.1,0.0,-0.1,0.2
236,0.45,47.26,sig,d/p,mu,nc,1,0.7575,0.0222,0.0015,0.1,0.0,0.0,-0.1,0.1
237,0.45,63.65,sig,d/p,mu,nc,1,0.7632,0.0281,0.0012,0.1,0.0,0.0,-0.1,0.1
238,0.45,98.05,sig,d/p,mu,nc,1,0.7254,0.0296,0.001,0.1,0.0,0.1,0.0,0.1
239,0.55,5.53,sig,d/p,mu,nc,1,0.7209,0.0356,0.0072,0.2,0.8,0.1,-0.4,0.4
240,0.55,6.88,sig,d/p,mu,nc,1,0.7323,0.0296,0.0055,0.2,0.5,0.1,-0.3,0.4
241,0.55,8.91,sig,d/p,mu,nc,1,0.7442,0.028,0.0042,0.1,0.4,0.1,-0.2,0.3
242,0.55,11.34,sig,d/p,mu,nc,1,0.728,0.03,0.0032,0.1,0.3,0.1,-0.2,0.2
243,0.55,14.85,sig,d/p,mu,nc,1,0.7345,0.0282,0.0037,0.2,0.4,0.1,-0.2,0.2
244,0.55,19.74,sig,d/p,mu,nc,1,0.7419,0.0205,0.0037,0.1,0.3,0.1,-0.2,0.2
245,0.55,26.64,sig,d/p,mu,nc,1,0.7263,0.0216,0.0029,0.1,0.2,0.0,-0.2,0.2
246,0.55,35.57,sig,d/p,mu,nc,1,0.7281,0.0267,0.0023,0.1,0.1,0.0,-0.2,0.2
247,0.55,47.16,sig,d/p,mu,nc,1,0.7641,0.0331,0.0021,0.1,0.1,0.0,-0.1,0.2
248,0.55,63.56,sig,d/p,mu,nc,1,0.6626,0.0345,0.001,0.1,0.0,0.0,-0.1,0.1
249,0.55,98.82,sig,d/p,mu,nc,1,0.7622,0.0458,0.0012,0.1,0.0,0.0,-0.1,0.1
250,0.675,7.04,sig,d/p,mu,nc,1,0.6989,0.0361,0.0067,0.1,0.7,0.2,0.4,-0.4
251,0.675,8.88,sig,d/p,mu,nc,1,0.7365,0.0465,0.0053,0.1,0.6,0.2,0.3,-0.3
252,0.675,11.36,sig,d/p,mu,nc,1,0.7418,0.0353,0.0046,0.1,0.6,0.2,0.1,-0.1
253,0.675,14.85,sig,d/p,mu,nc,1,0.7988,0.0395,0.0051,0.2,0.6,0.1,0.0,-0.1
254,0.675,19.79,sig,d/p,mu,nc,1,0.7357,0.0281,0.0049,0.2,0.6,0.1,-0.1,0.1
255,0.675,26.49,sig,d/p,mu,nc,1,0.6717,0.0235,0.0034,0.1,0.4,0.0,-0.2,0.2
256,0.675,35.4,sig,d/p,mu,nc,1,0.7194,0.033,0.0033,0.1,0.3,0.0,-0.2,0.3
257,0.675,47.03,sig,d/p,mu,nc,1,0.6959,0.0373,0.0026,0.1,0.1,0.1,-0.2,0.3
258,0.675,63.53,sig,d/p,mu,nc,1,0.702,0.0513,0.0029,0.1,0.0,0.1,-0.2,0.3
259,0.675,99.03,sig,d/p,mu,nc,1,0.7724,0.0645,0.0034,0.1,0.0,0.2,-0.2,0.3
