,exp,Elab,E',theta,Q2,W2,epsilon,flux,x,sigma,dsigma,*y,*value,*%stat_u,*%syst_u,*%norm_c,obs,target,lepton beam,current,units
311,e94110,5.498,2.865,30.45,4.346,1.475,0.722,5.05e-05,0.88,0.341,0.01514,0.478901418697708,0.0193138716629353,4.1415647250201255,1.6,1.9,sig_r,p,e,NC,1
312,e94110,5.498,2.851,30.45,4.324,1.525,0.72,5.44e-05,0.87,0.352,0.01274,0.481447799199709,0.0199849596872389,3.2464540811845266,1.6,1.9,sig_r,p,e,NC,1
313,e94110,5.498,2.836,30.45,4.302,1.575,0.718,5.82e-05,0.861,0.328,0.01195,0.484176064023281,0.0186795354138484,3.2731607924860904,1.6,1.9,sig_r,p,e,NC,1
314,e94110,5.498,2.821,30.45,4.279,1.625,0.716,6.19e-05,0.852,0.33,0.01051,0.486904328846853,0.0188411785628172,2.75377193526292,1.6,1.9,sig_r,p,e,NC,1
315,e94110,5.498,2.807,30.45,4.257,1.675,0.714,6.56e-05,0.843,0.336,0.01096,0.489450709348854,0.0192247926706355,2.8425380693557933,1.6,1.9,sig_r,p,e,NC,1
316,e94110,5.498,2.792,30.45,4.234,1.725,0.712,6.93e-05,0.834,0.339,0.01217,0.492178974172426,0.0194436725942422,3.2137031912515086,1.6,1.9,sig_r,p,e,NC,1
317,e94110,5.498,2.777,30.45,4.212,1.775,0.71,7.29e-05,0.825,0.381,0.01357,0.494907238995999,0.0219153307549304,3.1820689695041824,1.6,1.9,sig_r,p,e,NC,1
318,e94110,5.498,2.762,30.45,4.19,1.825,0.708,7.64e-05,0.816,0.411,0.01414,0.497635503819571,0.0237076311214413,3.0456983594980174,1.6,1.9,sig_r,p,e,NC,1
319,e94110,5.498,2.748,30.45,4.167,1.875,0.706,7.99e-05,0.807,0.448,0.01557,0.500181884321572,0.0258793461590348,3.085243568645739,1.6,1.9,sig_r,p,e,NC,1
320,e94110,5.498,2.733,30.45,4.145,1.925,0.703,8.31e-05,0.799,0.489,0.01636,0.502910149145144,0.0283209308802792,2.938207149522926,1.6,1.9,sig_r,p,e,NC,1
321,e94110,5.498,2.718,30.45,4.123,1.975,0.701,8.65e-05,0.79,0.566,0.01817,0.505638413968716,0.0328680236966259,2.7831076240504355,1.6,1.9,sig_r,p,e,NC,1
322,e94110,5.498,2.703,30.45,4.1,2.025,0.699,8.98e-05,0.782,0.566,0.02118,0.508366678792288,0.0329333751118606,3.3827406397273236,1.6,1.9,sig_r,p,e,NC,1
323,e94110,5.498,2.689,30.45,4.078,2.075,0.697,9.32e-05,0.773,0.677,0.02381,0.510913059294289,0.0394606315394852,3.131963519994374,1.6,1.9,sig_r,p,e,NC,1
324,e94110,5.498,2.674,30.45,4.056,2.125,0.695,9.64e-05,0.765,0.762,0.02826,0.513641324117861,0.0445210925143421,3.345768896433078,1.6,1.9,sig_r,p,e,NC,1
325,e94110,5.498,2.659,30.45,4.033,2.175,0.692,9.93e-05,0.757,0.885,0.03274,0.516369588941433,0.0518020387213528,3.3355388662452463,1.6,1.9,sig_r,p,e,NC,1
326,e94110,5.498,2.644,30.45,4.011,2.225,0.69,0.000102,0.749,1.05,0.03324,0.519097853765006,0.0616003853796877,2.731619837893902,1.6,1.9,sig_r,p,e,NC,1
327,e94110,5.498,2.63,30.45,3.989,2.275,0.688,0.000106,0.741,1.036,0.02918,0.521644234267006,0.0608643618404396,2.3180268785951417,1.6,1.9,sig_r,p,e,NC,1
328,e94110,5.498,2.615,30.45,3.966,2.325,0.686,0.000109,0.733,0.972,0.02659,0.524372499090578,0.0571994418529255,2.218893721616646,1.6,1.9,sig_r,p,e,NC,1
329,e94110,5.498,2.6,30.45,3.944,2.375,0.683,0.000111,0.725,0.938,0.02502,0.527100763914151,0.055316157824265,2.1342216818329613,1.6,1.9,sig_r,p,e,NC,1
330,e94110,5.498,2.585,30.45,3.922,2.425,0.681,0.000114,0.717,0.924,0.02399,0.529829028737723,0.0546038034092552,2.0447198685191577,1.6,1.9,sig_r,p,e,NC,1
331,e94110,5.498,2.571,30.45,3.899,2.475,0.679,0.000117,0.71,0.916,0.02367,0.532375409239723,0.0541597291689084,2.0291308364262237,1.6,1.9,sig_r,p,e,NC,1
332,e94110,5.498,2.556,30.45,3.877,2.525,0.676,0.00012,0.702,0.927,0.02542,0.535103674063296,0.0549182659580719,2.2270038312560985,1.6,1.9,sig_r,p,e,NC,1
333,e94110,5.498,2.541,30.45,3.855,2.575,0.674,0.000123,0.695,1.014,0.02712,0.537831938886868,0.0601792516673947,2.1431870978969276,1.6,1.9,sig_r,p,e,NC,1
334,e94110,5.498,2.527,30.45,3.832,2.625,0.671,0.000125,0.687,1.059,0.02951,0.540378319388869,0.0628816207372719,2.2814666534255053,1.6,1.9,sig_r,p,e,NC,1
335,e94110,5.498,2.512,30.45,3.81,2.675,0.669,0.000128,0.68,1.163,0.03302,0.543106584212441,0.0691723262980822,2.34544397045622,1.6,1.9,sig_r,p,e,NC,1
336,e94110,5.498,2.497,30.45,3.787,2.725,0.666,0.00013,0.672,1.28,0.03855,0.545834849036013,0.0762242722855812,2.551558313874398,1.6,1.9,sig_r,p,e,NC,1
337,e94110,5.498,2.482,30.45,3.765,2.775,0.664,0.000133,0.665,1.457,0.04154,0.548563113859585,0.0869002237375673,2.359780701997762,1.6,1.9,sig_r,p,e,NC,1
338,e94110,5.498,2.468,30.45,3.743,2.825,0.661,0.000136,0.658,1.564,0.04345,0.551109494361586,0.0933451241987452,2.271128116830445,1.6,1.9,sig_r,p,e,NC,1
339,e94110,5.498,2.453,30.45,3.72,2.875,0.659,0.000138,0.651,1.701,0.04206,0.553837759185158,0.101613549647151,1.885222268222061,1.6,1.9,sig_r,p,e,NC,1
340,e94110,5.498,2.438,30.45,3.698,2.925,0.656,0.00014,0.644,1.675,0.04024,0.55656602400873,0.100200320819207,1.7920570273839784,1.6,1.9,sig_r,p,e,NC,1
341,e94110,5.498,2.423,30.45,3.676,2.975,0.654,0.000143,0.637,1.649,0.03905,0.559294288832303,0.0987776520263028,1.7458254533929998,1.6,1.9,sig_r,p,e,NC,1
342,e94110,5.498,2.401,30.45,3.642,3.05,0.65,0.000146,0.627,1.631,0.03918,0.563295743906875,0.0977833587975517,1.791814610680141,1.6,1.9,sig_r,p,e,NC,1
343,e94110,5.498,2.372,30.45,3.598,3.15,0.645,0.000151,0.613,1.698,0.04339,0.568570389232448,0.101955026203065,1.9924509722943156,1.6,1.9,sig_r,p,e,NC,1
344,e94110,5.498,2.342,30.45,3.553,3.25,0.64,0.000155,0.6,1.755,0.04509,0.574026918879593,0.105525548856726,2.0102106221891596,1.6,1.9,sig_r,p,e,NC,1
345,e94110,5.498,2.313,30.45,3.508,3.35,0.634,0.000159,0.587,1.847,0.047,0.579301564205166,0.111093487660469,1.978719353879535,1.6,1.9,sig_r,p,e,NC,1
346,e94110,5.498,2.283,30.45,3.463,3.45,0.629,0.000164,0.574,1.954,0.04893,0.58475809385231,0.117637957899938,1.9262625966524622,1.6,1.9,sig_r,p,e,NC,1
347,e94110,5.498,2.254,30.45,3.419,3.55,0.623,0.000167,0.562,2.114,0.0519,0.590032739177883,0.127304930680816,1.8620759767616597,1.6,1.9,sig_r,p,e,NC,1
348,e94110,5.498,2.224,30.45,3.374,3.65,0.618,0.000171,0.549,2.164,0.0531,0.595489268825027,0.1303731628412,1.8603982977547282,1.6,1.9,sig_r,p,e,NC,1
349,e94110,5.498,2.195,30.45,3.329,3.75,0.612,0.000175,0.537,2.25,0.05379,0.6007639141506,0.135442108075931,1.776312785269281,1.6,1.9,sig_r,p,e,NC,1
350,e94110,5.498,2.166,30.45,3.285,3.85,0.606,0.000178,0.525,2.317,0.05515,0.606038559476173,0.139410098949254,1.762245561741005,1.6,1.9,sig_r,p,e,NC,1
351,e94110,5.498,2.734,32.97,4.842,1.225,0.689,2.24e-05,0.934,0.004,0.002249,0.502728264823572,0.00031309669157305,56.20222971555488,1.6,1.9,sig_r,p,e,NC,1
352,e94110,5.498,2.721,32.97,4.818,1.275,0.687,2.55e-05,0.924,0.019,0.004013,0.505092761004001,0.00148977249007384,21.060362396357952,1.6,1.9,sig_r,p,e,NC,1
353,e94110,5.498,2.707,32.97,4.794,1.325,0.685,2.86e-05,0.915,0.036,0.007,0.507639141506002,0.00282942811920325,19.378504063861236,1.6,1.9,sig_r,p,e,NC,1
354,e94110,5.498,2.693,32.97,4.77,1.375,0.683,3.16e-05,0.906,0.106,0.009282,0.510185522008003,0.00835052328060485,8.609187513787896,1.6,1.9,sig_r,p,e,NC,1
355,e94110,5.498,2.679,32.97,4.745,1.425,0.681,3.45e-05,0.897,0.152,0.009412,0.512731902510004,0.0119965525052223,5.981819755728829,1.6,1.9,sig_r,p,e,NC,1
356,e94110,5.498,2.666,32.97,4.721,1.475,0.679,3.75e-05,0.888,0.181,0.008984,0.515096398690433,0.0143057148932594,4.698583695728405,1.6,1.9,sig_r,p,e,NC,1
357,e94110,5.498,2.652,32.97,4.697,1.525,0.677,4.04e-05,0.879,0.187,0.007712,0.517642779192434,0.0148125188684435,3.8010400270900058,1.6,1.9,sig_r,p,e,NC,1
358,e94110,5.498,2.638,32.97,4.672,1.575,0.675,4.32e-05,0.871,0.185,0.007492,0.520189159694434,0.014677326004471,3.720256830362231,1.6,1.9,sig_r,p,e,NC,1
359,e94110,5.498,2.625,32.97,4.648,1.625,0.673,4.61e-05,0.862,0.188,0.006789,0.522553655874864,0.0149346556046182,3.2373678051108326,1.6,1.9,sig_r,p,e,NC,1
360,e94110,5.498,2.611,32.97,4.624,1.675,0.671,4.89e-05,0.853,0.195,0.007075,0.525100036376864,0.0155228878366757,3.2563587720541465,1.6,1.9,sig_r,p,e,NC,1
361,e94110,5.498,2.597,32.97,4.6,1.725,0.669,5.16e-05,0.845,0.199,0.008148,0.527646416878865,0.015871328608233,3.7689128301962813,1.6,1.9,sig_r,p,e,NC,1
362,e94110,5.498,2.583,32.97,4.575,1.775,0.666,5.42e-05,0.836,0.222,0.008453,0.530192797380866,0.0177329811337818,3.455178264275087,1.6,1.9,sig_r,p,e,NC,1
363,e94110,5.498,2.57,32.97,4.551,1.825,0.664,5.69e-05,0.828,0.241,0.008769,0.532557293561295,0.0192695913915669,3.267924639722399,1.6,1.9,sig_r,p,e,NC,1
364,e94110,5.498,2.556,32.97,4.527,1.875,0.662,5.95e-05,0.82,0.268,0.009992,0.535103674063296,0.0214661904843574,3.36758889033145,1.6,1.9,sig_r,p,e,NC,1
365,e94110,5.498,2.542,32.97,4.502,1.925,0.66,6.22e-05,0.812,0.3,0.01049,0.537650054565297,0.0240596157745883,3.109128137883316,1.6,1.9,sig_r,p,e,NC,1
366,e94110,5.498,2.529,32.97,4.478,1.975,0.658,6.48e-05,0.804,0.335,0.01105,0.540014550745726,0.026889347843764,2.8844672786147143,1.6,1.9,sig_r,p,e,NC,1
367,e94110,5.498,2.515,32.97,4.454,2.025,0.656,6.73e-05,0.796,0.367,0.01561,0.542560931247726,0.0295058408761406,3.9409976597909004,1.6,1.9,sig_r,p,e,NC,1
368,e94110,5.498,2.501,32.97,4.43,2.075,0.653,6.96e-05,0.788,0.434,0.01748,0.545107311749727,0.0349477382185117,3.696209229256393,1.6,1.9,sig_r,p,e,NC,1
369,e94110,5.498,2.488,32.97,4.405,2.125,0.651,7.22e-05,0.78,0.494,0.02064,0.547471807930156,0.0397890434993015,3.859641723990908,1.6,1.9,sig_r,p,e,NC,1
370,e94110,5.498,2.474,32.97,4.381,2.175,0.649,7.46e-05,0.772,0.562,0.02342,0.550018188432157,0.0453336553031819,3.8478635797007192,1.6,1.9,sig_r,p,e,NC,1
371,e94110,5.498,2.46,32.97,4.357,2.225,0.647,7.71e-05,0.764,0.685,0.02511,0.552564568934158,0.0553354818036137,3.2980764587197493,1.6,1.9,sig_r,p,e,NC,1
372,e94110,5.498,2.446,32.97,4.333,2.275,0.644,7.92e-05,0.756,0.657,0.02301,0.555110949436159,0.0531481298232951,3.1154432987503333,1.6,1.9,sig_r,p,e,NC,1
373,e94110,5.498,2.433,32.97,4.308,2.325,0.642,8.17e-05,0.749,0.632,0.02219,0.557475445616588,0.0511208479357503,3.125324674689656,1.6,1.9,sig_r,p,e,NC,1
374,e94110,5.498,2.419,32.97,4.284,2.375,0.64,8.4e-05,0.741,0.603,0.01999,0.560021826118589,0.0488390669563439,2.9034169067992175,1.6,1.9,sig_r,p,e,NC,1
375,e94110,5.498,2.405,32.97,4.26,2.425,0.638,8.63e-05,0.734,0.593,0.0199,0.562568206620589,0.0480826534446387,2.949832810785093,1.6,1.9,sig_r,p,e,NC,1
376,e94110,5.498,2.392,32.97,4.235,2.475,0.635,8.84e-05,0.726,0.612,0.02027,0.564932702801019,0.049618521043241,2.8999914010251664,1.6,1.9,sig_r,p,e,NC,1
377,e94110,5.498,2.378,32.97,4.211,2.525,0.633,9.07e-05,0.719,0.623,0.02075,0.567479083303019,0.050561789252232,2.9211784297877457,1.6,1.9,sig_r,p,e,NC,1
378,e94110,5.498,2.364,32.97,4.187,2.575,0.63,9.27e-05,0.712,0.658,0.02148,0.57002546380502,0.0534542017448578,2.8454443293963925,1.6,1.9,sig_r,p,e,NC,1
379,e94110,5.498,2.35,32.97,4.163,2.625,0.628,9.49e-05,0.705,0.688,0.0224,0.572571844307021,0.0559429644653517,2.8355465962896087,1.6,1.9,sig_r,p,e,NC,1
380,e94110,5.498,2.337,32.97,4.138,2.675,0.626,9.71e-05,0.698,0.713,0.02436,0.57493634048745,0.0579494800651166,3.0187435242102754,1.6,1.9,sig_r,p,e,NC,1
381,e94110,5.498,2.323,32.97,4.114,2.725,0.623,9.9e-05,0.69,0.869,0.02827,0.577482720989451,0.0706979287259878,2.832504127918251,1.6,1.9,sig_r,p,e,NC,1
382,e94110,5.498,2.309,32.97,4.09,2.775,0.621,0.000101,0.683,0.944,0.03045,0.580029101491451,0.0768593855328694,2.800843619385047,1.6,1.9,sig_r,p,e,NC,1
383,e94110,5.498,2.296,32.97,4.065,2.825,0.618,0.000103,0.676,1.0,0.0276,0.582393597671881,0.0813690825114831,2.248910847499295,1.6,1.9,sig_r,p,e,NC,1
384,e94110,5.498,2.282,32.97,4.041,2.875,0.616,0.000105,0.67,1.053,0.02625,0.584939978173881,0.085725975191687,1.9116584931663851,1.6,1.9,sig_r,p,e,NC,1
385,e94110,5.498,2.268,32.97,4.017,2.925,0.613,0.000107,0.663,1.071,0.02613,0.587486358675882,0.0872462310506461,1.841875808189357,1.6,1.9,sig_r,p,e,NC,1
386,e94110,5.498,2.255,32.97,3.993,2.975,0.611,0.000109,0.656,1.07,0.02522,0.589850854856311,0.0871421639446872,1.730749275938635,1.6,1.9,sig_r,p,e,NC,1
387,e94110,5.498,2.234,32.97,3.956,3.05,0.607,0.000112,0.646,1.069,0.02384,0.593670425609312,0.0870760479687854,1.553525793426401,1.6,1.9,sig_r,p,e,NC,1
388,e94110,5.498,2.207,32.97,3.908,3.15,0.602,0.000115,0.633,1.095,0.02369,0.598581302291742,0.0891801743669351,1.456229317085837,1.6,1.9,sig_r,p,e,NC,1
389,e94110,5.498,2.179,32.97,3.859,3.25,0.597,0.000119,0.62,1.156,0.02461,0.603674063295744,0.0941437734692605,1.4043447835277703,1.6,1.9,sig_r,p,e,NC,1
390,e94110,5.498,2.152,32.97,3.811,3.35,0.592,0.000122,0.607,1.221,0.0262,0.608584939978174,0.0993800032013692,1.429818525952657,1.6,1.9,sig_r,p,e,NC,1
391,e94110,5.498,2.124,32.97,3.762,3.45,0.586,0.000126,0.594,1.299,0.02784,0.613677700982175,0.10567756786317,1.4259210371009925,1.6,1.9,sig_r,p,e,NC,1
392,e94110,5.498,2.097,32.97,3.713,3.55,0.581,0.000129,0.582,1.371,0.02865,0.618588577664605,0.111341320494665,1.3442139047929618,1.6,1.9,sig_r,p,e,NC,1
393,e94110,5.498,2.069,32.97,3.665,3.65,0.576,0.000132,0.57,1.444,0.03005,0.623681338668607,0.117204433213413,1.3306632791184985,1.6,1.9,sig_r,p,e,NC,1
394,e94110,5.498,2.042,32.97,3.616,3.75,0.57,0.000135,0.558,1.517,0.03143,0.628592215351037,0.122858065326574,1.3162720537048598,1.6,1.9,sig_r,p,e,NC,1
395,e94110,5.498,2.015,32.97,3.568,3.85,0.565,0.000138,0.546,1.562,0.03192,0.633503092033467,0.126264986903486,1.2712320506372687,1.6,1.9,sig_r,p,e,NC,1
396,e94110,5.498,2.534,35.46,5.168,1.275,0.644,1.95e-05,0.929,0.014,0.002971,0.539105129137868,0.00147726821549758,21.161026218315712,1.6,1.9,sig_r,p,e,NC,1
397,e94110,5.498,2.521,35.46,5.142,1.325,0.642,2.18e-05,0.92,0.028,0.005399,0.541469625318298,0.00295891827815044,19.21564553074565,1.6,1.9,sig_r,p,e,NC,1
398,e94110,5.498,2.508,35.46,5.116,1.375,0.64,2.41e-05,0.912,0.077,0.006981,0.543834121498727,0.00814762395505813,8.923933813290937,1.6,1.9,sig_r,p,e,NC,1
399,e94110,5.498,2.496,35.46,5.09,1.425,0.638,2.64e-05,0.903,0.097,0.007537,0.546016733357585,0.0102699375370698,7.603584817208511,1.6,1.9,sig_r,p,e,NC,1
400,e94110,5.498,2.483,35.46,5.064,1.475,0.636,2.87e-05,0.895,0.113,0.007752,0.548381229538014,0.0119786079754695,6.6709840615841625,1.6,1.9,sig_r,p,e,NC,1
401,e94110,5.498,2.47,35.46,5.038,1.525,0.634,3.09e-05,0.887,0.118,0.006287,0.550745725718443,0.0125234754270225,5.082049073042302,1.6,1.9,sig_r,p,e,NC,1
402,e94110,5.498,2.457,35.46,5.012,1.575,0.632,3.32e-05,0.878,0.115,0.006232,0.553110221898872,0.0122208845003141,5.177545235841706,1.6,1.9,sig_r,p,e,NC,1
403,e94110,5.498,2.445,35.46,4.986,1.625,0.63,3.54e-05,0.87,0.119,0.005401,0.55529283375773,0.0126496007314267,4.247280707043107,1.6,1.9,sig_r,p,e,NC,1
404,e94110,5.498,2.432,35.46,4.96,1.675,0.628,3.75e-05,0.862,0.129,0.006482,0.557657329938159,0.013727258295003,4.763263310288361,1.6,1.9,sig_r,p,e,NC,1
405,e94110,5.498,2.419,35.46,4.934,1.725,0.626,3.97e-05,0.854,0.13,0.005677,0.560021826118589,0.0138479233598344,4.063252042362534,1.6,1.9,sig_r,p,e,NC,1
406,e94110,5.498,2.406,35.46,4.908,1.775,0.624,4.18e-05,0.846,0.149,0.005873,0.562386322299018,0.0158875779876033,3.6022625129114885,1.6,1.9,sig_r,p,e,NC,1
407,e94110,5.498,2.393,35.46,4.882,1.825,0.622,4.39e-05,0.838,0.165,0.006933,0.564750818479447,0.0176103658786415,3.8852639592513976,1.6,1.9,sig_r,p,e,NC,1
408,e94110,5.498,2.381,35.46,4.856,1.875,0.62,4.6e-05,0.83,0.181,0.007149,0.566933430338305,0.0193197181309142,3.611138013960178,1.6,1.9,sig_r,p,e,NC,1
409,e94110,5.498,2.368,35.46,4.83,1.925,0.618,4.8e-05,0.822,0.201,0.007437,0.569297926518734,0.0214731874770833,3.336165463522455,1.6,1.9,sig_r,p,e,NC,1
410,e94110,5.498,2.355,35.46,4.804,1.975,0.615,4.99e-05,0.814,0.225,0.007798,0.571662422699163,0.0240571364584527,3.0743479967203244,1.6,1.9,sig_r,p,e,NC,1
411,e94110,5.498,2.342,35.46,4.778,2.025,0.613,5.19e-05,0.807,0.252,0.008286,0.574026918879593,0.0269611311942368,2.8725546634980823,1.6,1.9,sig_r,p,e,NC,1
412,e94110,5.498,2.33,35.46,4.752,2.075,0.611,5.4e-05,0.799,0.285,0.009737,0.57620953073845,0.0304893828873924,3.018677245331216,1.6,1.9,sig_r,p,e,NC,1
413,e94110,5.498,2.317,35.46,4.726,2.125,0.609,5.59e-05,0.792,0.319,0.01102,0.57857402691888,0.0341455490901716,3.0616799796060756,1.6,1.9,sig_r,p,e,NC,1
414,e94110,5.498,2.304,35.46,4.7,2.175,0.607,5.79e-05,0.784,0.37,0.01387,0.580938523099309,0.0396310047107564,3.3900393347298112,1.6,1.9,sig_r,p,e,NC,1
415,e94110,5.498,2.291,35.46,4.674,2.225,0.604,5.96e-05,0.777,0.413,0.0138,0.583303019279738,0.044257476250987,2.9334251458020604,1.6,1.9,sig_r,p,e,NC,1
416,e94110,5.498,2.279,35.46,4.648,2.275,0.602,6.16e-05,0.769,0.429,0.01177,0.585485631138596,0.0459607124294282,2.228740604272025,1.6,1.9,sig_r,p,e,NC,1
417,e94110,5.498,2.266,35.46,4.621,2.325,0.6,6.35e-05,0.762,0.419,0.01185,0.587850127319025,0.044886511814906,2.3320595929763113,1.6,1.9,sig_r,p,e,NC,1
418,e94110,5.498,2.253,35.46,4.595,2.375,0.598,6.53e-05,0.755,0.396,0.01065,0.590214623499454,0.0424368676400702,2.161675221037807,1.6,1.9,sig_r,p,e,NC,1
419,e94110,5.498,2.24,35.46,4.569,2.425,0.595,6.7e-05,0.747,0.386,0.01056,0.592579119679884,0.0413841148116086,2.2190843043780264,1.6,1.9,sig_r,p,e,NC,1
420,e94110,5.498,2.227,35.46,4.543,2.475,0.593,6.88e-05,0.74,0.402,0.01091,0.594943615860313,0.0431103436184276,2.192126350190523,1.6,1.9,sig_r,p,e,NC,1
421,e94110,5.498,2.215,35.46,4.517,2.525,0.591,7.07e-05,0.733,0.417,0.01132,0.597126227719171,0.0446907585154163,2.192990376823188,1.6,1.9,sig_r,p,e,NC,1
422,e94110,5.498,2.202,35.46,4.491,2.575,0.589,7.24e-05,0.726,0.442,0.01191,0.5994907238996,0.047377749664019,2.168111670661242,1.6,1.9,sig_r,p,e,NC,1
423,e94110,5.498,2.189,35.46,4.465,2.625,0.586,7.4e-05,0.719,0.472,0.0127,0.601855220080029,0.0505994123793971,2.163272501851108,1.6,1.9,sig_r,p,e,NC,1
424,e94110,5.498,2.176,35.46,4.439,2.675,0.584,7.58e-05,0.712,0.505,0.01378,0.604219716260458,0.0541410774445874,2.2104013060817818,1.6,1.9,sig_r,p,e,NC,1
425,e94110,5.498,2.164,35.46,4.413,2.725,0.582,7.75e-05,0.705,0.54,0.01571,0.606402328119316,0.0578463274153933,2.4297714784698847,1.6,1.9,sig_r,p,e,NC,1
426,e94110,5.498,2.151,35.46,4.387,2.775,0.579,7.91e-05,0.698,0.635,0.01779,0.608766824299745,0.0680218293650916,2.29974376347513,1.6,1.9,sig_r,p,e,NC,1
427,e94110,5.498,2.138,35.46,4.361,2.825,0.577,8.08e-05,0.692,0.682,0.01867,0.611131320480175,0.0730395171694697,2.2212849767251077,1.6,1.9,sig_r,p,e,NC,1
428,e94110,5.498,2.125,35.46,4.335,2.875,0.574,8.22e-05,0.685,0.72,0.01811,0.613495816660604,0.0771007862594642,1.9407787868231445,1.6,1.9,sig_r,p,e,NC,1
429,e94110,5.498,2.113,35.46,4.309,2.925,0.572,8.39e-05,0.678,0.735,0.01759,0.615678428519462,0.0786281217257355,1.7797171729771326,1.6,1.9,sig_r,p,e,NC,1
430,e94110,5.498,2.1,35.46,4.283,2.975,0.57,8.56e-05,0.672,0.737,0.01753,0.618042924699891,0.0788124931259422,1.7599874816684384,1.6,1.9,sig_r,p,e,NC,1
431,e94110,5.498,2.081,35.46,4.244,3.05,0.566,8.78e-05,0.662,0.736,0.01844,0.621498726809749,0.0786343422518272,1.9280050440560275,1.6,1.9,sig_r,p,e,NC,1
432,e94110,5.498,2.055,35.46,4.192,3.15,0.561,9.08e-05,0.649,0.76,0.02047,0.626227719170607,0.0811282789710346,2.1666834025207744,1.6,1.9,sig_r,p,e,NC,1
433,e94110,5.498,2.03,35.46,4.14,3.25,0.556,9.38e-05,0.636,0.804,0.02098,0.630774827209895,0.0856606615332454,2.061369346594546,1.6,1.9,sig_r,p,e,NC,1
434,e94110,5.498,2.004,35.46,4.088,3.35,0.551,9.66e-05,0.623,0.848,0.02229,0.635503819570753,0.0902348579885534,2.0854761156106503,1.6,1.9,sig_r,p,e,NC,1
435,e94110,5.498,1.979,35.46,4.036,3.45,0.546,9.94e-05,0.611,0.912,0.0237,0.64005092761004,0.0968018895683146,2.047720592766205,1.6,1.9,sig_r,p,e,NC,1
436,e94110,5.498,1.953,35.46,3.983,3.55,0.541,0.000102,0.599,0.964,0.02498,0.644779919970898,0.102079282819541,2.038323999055414,1.6,1.9,sig_r,p,e,NC,1
437,e94110,5.498,1.927,35.46,3.931,3.65,0.535,0.000105,0.587,1.007,0.02535,0.649508912331757,0.10641223138957,1.9435003897088234,1.6,1.9,sig_r,p,e,NC,1
438,e94110,5.498,1.902,35.46,3.879,3.75,0.53,0.000107,0.575,1.054,0.02576,0.654056020371044,0.111027146590223,1.8474975784087702,1.6,1.9,sig_r,p,e,NC,1
439,e94110,5.498,1.876,35.46,3.827,3.85,0.525,0.00011,0.563,1.101,0.02695,0.658785012731903,0.115687953812358,1.8524581581912116,1.6,1.9,sig_r,p,e,NC,1
440,e94110,3.118,2.722,12.45,0.399,1.225,0.968,0.00464,0.537,95.05,19.32,0.127004490057729,0.00954561482655082,20.26307319690712,1.6,1.9,sig_r,p,e,NC,1
441,e94110,3.118,2.697,12.45,0.396,1.275,0.967,0.00515,0.501,287.0,30.44,0.135022450288647,0.0307061050408242,10.484893943558069,1.6,1.9,sig_r,p,e,NC,1
442,e94110,3.118,2.672,12.45,0.392,1.325,0.965,0.00547,0.468,1019.0,57.33,0.143040410519564,0.115147256632091,5.39379703769373,1.6,1.9,sig_r,p,e,NC,1
443,e94110,3.118,2.648,12.45,0.388,1.375,0.964,0.00592,0.44,1938.0,65.79,0.150737652341244,0.229884971404159,2.9940337718781356,1.6,1.9,sig_r,p,e,NC,1
444,e94110,3.118,2.623,12.45,0.385,1.425,0.962,0.00617,0.414,2782.0,67.35,0.158755612572162,0.348212934596281,1.8168254239286556,1.6,1.9,sig_r,p,e,NC,1
445,e94110,3.118,2.598,12.45,0.381,1.475,0.961,0.00657,0.391,2902.0,56.96,0.166773572803079,0.380264807841119,1.1368914442952889,1.6,1.9,sig_r,p,e,NC,1
446,e94110,3.118,2.574,12.45,0.377,1.525,0.959,0.00678,0.369,2673.0,50.9,0.174470814624759,0.364895740020186,1.0325125755126054,1.6,1.9,sig_r,p,e,NC,1
447,e94110,3.118,2.549,12.45,0.374,1.575,0.957,0.00696,0.35,2110.0,42.15,0.182488774855677,0.301773311805756,1.1960463796784033,1.6,1.9,sig_r,p,e,NC,1
448,e94110,3.118,2.524,12.45,0.37,1.625,0.956,0.00729,0.332,1697.0,33.18,0.190506735086594,0.252411593061283,1.1237731222766085,1.6,1.9,sig_r,p,e,NC,1
449,e94110,3.118,2.499,12.45,0.367,1.675,0.954,0.00743,0.316,1348.0,27.2,0.198524695317511,0.209255715048295,1.2294444294562952,1.6,1.9,sig_r,p,e,NC,1
450,e94110,3.118,2.475,12.45,0.363,1.725,0.952,0.00758,0.301,1198.0,24.29,0.206221937139192,0.192269032751662,1.245368385879635,1.6,1.9,sig_r,p,e,NC,1
451,e94110,3.118,2.45,12.45,0.359,1.775,0.949,0.00756,0.287,1096.0,22.35,0.214239897370109,0.181970558840071,1.2643075496513867,1.6,1.9,sig_r,p,e,NC,1
452,e94110,3.118,2.425,12.45,0.356,1.825,0.947,0.00767,0.274,1056.0,21.5,0.222257857601026,0.18212555477553,1.259060881474709,1.6,1.9,sig_r,p,e,NC,1
453,e94110,3.118,2.401,12.45,0.352,1.875,0.945,0.00779,0.261,983.1,20.63,0.229955099422707,0.174534821242092,1.3577744057425507,1.6,1.9,sig_r,p,e,NC,1
454,e94110,3.118,2.376,12.45,0.348,1.925,0.942,0.00777,0.25,983.8,20.68,0.237973059653624,0.179907428407884,1.3633150479229827,1.6,1.9,sig_r,p,e,NC,1
