,Elab,exp,theta,E',x,Q2,sigma (ub/srGeV),epsilon,W2,Gamma_v,%stat_u,%syst_u,%rad1_c,%rad2_c,y,*value,obs,target,curent,lepton beam,units
373,5.648,e99118,22.566,0.7,0.06515,0.605,0.01916,0.232,9.561,0.0004562,4.54592901878914,3.14718162839248,1.70668058455115,8.50730688935282,0.876062322946176,0.206516495574055,sig_r,p,e,NC,1
374,5.648,e99118,18.566,1.026,0.06958,0.6034,0.03727,0.34,8.95,0.000725,3.32707271263751,2.3262677756909,1.22618728199624,3.4075664072981,0.818342776203966,0.250360890764994,sig_r,p,e,NC,1
375,5.648,e99118,10.566,3.147,0.12845,0.6028,0.3012,0.837,4.97,0.004574,1.03585657370518,1.55046480743692,0.461487383798141,0.0873173970783532,0.442811614730878,0.281350280946917,sig_r,p,e,NC,1
376,5.648,e99118,14.566,1.658,0.08039,0.6019,0.07581,0.527,7.766,0.001399,2.25563909774436,1.91267642791188,0.74396517609814,1.00910170162248,0.706444759206799,0.257561555811826,sig_r,p,e,NC,1
377,5.648,e99118,22.566,0.692,0.06437,0.5987,0.02142,0.23,9.582,0.0004558,4.15499533146592,2.97852474323063,1.531279178338,7.79645191409897,0.877478753541076,0.229176196575515,sig_r,p,e,NC,1
378,5.648,e99118,18.566,1.016,0.06871,0.5972,0.03711,0.336,8.975,0.0007237,3.3683643222851,2.35246564268391,1.21800053893829,3.53004580975478,0.820113314447592,0.247301806485143,sig_r,p,e,NC,1
379,5.648,e99118,10.566,3.117,0.12566,0.5969,0.2903,0.833,5.034,0.004526,1.06097140888736,1.56734412676542,0.485704443678953,0.0840509817430245,0.448123229461756,0.272903393472085,sig_r,p,e,NC,1
380,5.648,e99118,14.566,1.641,0.07923,0.5958,0.07457,0.523,7.804,0.001394,2.30655759688883,1.93107147646507,1.05136113718654,1.0647713557731,0.709454674220963,0.252307123907801,sig_r,p,e,NC,1
381,5.648,e99118,22.566,0.685,0.0636,0.5923,0.02217,0.228,9.601,0.0004555,4.0595399188092,2.96346414073072,1.51556156968877,7.84844384303112,0.878718130311615,0.234951832884989,sig_r,p,e,NC,1
382,5.648,e99118,18.566,1.005,0.06784,0.5911,0.036,0.333,9.002,0.0007225,3.47222222222222,2.40833333333333,1.225,3.77777777777778,0.822060906515581,0.238347304974948,sig_r,p,e,NC,1
383,5.648,e99118,10.566,3.086,0.12293,0.591,0.2844,0.828,5.097,0.004477,1.07594936708861,1.57524613220816,0.4957805907173,0.0770042194092827,0.453611898016997,0.26922662934683,sig_r,p,e,NC,1
384,5.648,e99118,14.566,1.624,0.07808,0.5896,0.07516,0.518,7.842,0.001388,2.30175625332624,1.94252261841405,0.778339542309739,1.12426822778073,0.712464589235127,0.253137685076634,sig_r,p,e,NC,1
385,5.648,e99118,22.566,0.678,0.06283,0.586,0.02207,0.225,9.621,0.0004551,4.07340280924332,3.00860897145446,1.51336656094246,8.06524694154961,0.879957507082153,0.231723236341308,sig_r,p,e,NC,1
386,5.648,e99118,10.566,3.055,0.12026,0.5852,0.2826,0.824,5.161,0.004429,1.08634111818825,1.58527954706299,0.502476999292286,0.0707714083510262,0.459100566572238,0.269413529139369,sig_r,p,e,NC,1
387,5.648,e99118,18.566,0.995,0.06698,0.5849,0.03531,0.33,9.027,0.0007213,3.54007363353158,2.4553950722175,1.32823562730105,3.99320305862362,0.823831444759207,0.23186052599848,sig_r,p,e,NC,1
388,5.648,e99118,14.566,1.608,0.07701,0.5839,0.07529,0.514,7.878,0.001383,2.80249701155532,1.95245052463807,1.04130694647364,1.15420374551733,0.715297450424929,0.252565691482249,sig_r,p,e,NC,1
389,5.648,e99118,14.566,1.607,0.07693,0.5834,0.0729,0.514,7.881,0.001383,2.35939643347051,1.97530864197531,1.07544581618656,1.2002743484225,0.715474504249292,0.244366088459837,sig_r,p,e,NC,1
390,5.648,e99118,10.566,3.024,0.11766,0.5793,0.2806,0.819,5.224,0.004382,1.09764789736279,1.58945117605132,0.509622238061297,0.0602280826799715,0.464589235127479,0.269233723831198,sig_r,p,e,NC,1
391,5.648,e99118,18.566,0.984,0.06612,0.5787,0.03494,0.327,9.054,0.0007201,3.57756153405839,2.49284487693188,1.29650829994276,4.14997137950773,0.825779036827195,0.227810665654152,sig_r,p,e,NC,1
392,5.648,e99118,14.566,1.593,0.07602,0.5784,0.07356,0.51,7.911,0.001378,2.84121805328983,1.97117998912452,1.07667210440457,1.22213159325721,0.717953257790368,0.245680603249521,sig_r,p,e,NC,1
393,5.648,e99118,14.566,1.59,0.0758,0.5772,0.07199,0.509,7.918,0.001377,2.4031115432699,2.00027781636338,0.844561744686762,1.27378802611474,0.718484419263456,0.240140143088331,sig_r,p,e,NC,1
394,5.648,e99118,10.566,2.994,0.11512,0.5734,0.2834,0.815,5.288,0.004335,1.0938602681722,1.59139026111503,0.508115737473536,0.0508115737473536,0.469900849858357,0.273369816806688,sig_r,p,e,NC,1
395,5.648,e99118,14.566,1.578,0.07503,0.573,0.07628,0.506,7.944,0.001373,2.76612480335606,1.96643943366544,0.794441531200839,1.23623492396434,0.720609065155807,0.253707997732531,sig_r,p,e,NC,1
396,5.648,e99118,18.566,0.974,0.06527,0.5725,0.03739,0.323,9.079,0.0007189,3.34313987697245,2.43113131853437,1.25434608184006,4.01176785236694,0.827549575070822,0.24172093964237,sig_r,p,e,NC,1
397,5.648,e99118,14.566,1.573,0.07468,0.5711,0.075,0.504,7.956,0.001372,2.32,1.97333333333333,1.06933333333333,1.26533333333333,0.72149433427762,0.249012679262908,sig_r,p,e,NC,1
398,5.648,e99118,14.566,1.563,0.07404,0.5676,0.07391,0.502,7.978,0.001369,2.81423352726289,1.98890542551752,1.08510350426194,1.31781896901637,0.723264872521247,0.244778442443589,sig_r,p,e,NC,1
399,5.648,e99118,10.566,2.963,0.11264,0.5675,0.2769,0.81,5.351,0.004289,1.11592632719393,1.60346695557963,0.657276995305165,0.0426146623329722,0.475389518413598,0.268681061886606,sig_r,p,e,NC,1
400,5.648,e99118,14.566,1.548,0.07307,0.5621,0.07733,0.498,8.011,0.001364,2.74149747833958,1.97853355748093,1.0422863054442,1.31902237165395,0.725920679886686,0.254893563101472,sig_r,p,e,NC,1
401,5.648,e99118,10.566,2.932,0.11021,0.5616,0.2796,0.805,5.415,0.004243,1.11587982832618,1.60228898426323,0.511444921316166,0.0312231759656652,0.480878186968839,0.272834570103285,sig_r,p,e,NC,1
402,5.648,e99118,14.566,1.533,0.0721,0.5567,0.07529,0.494,8.045,0.001359,2.80249701155532,2.00557843007039,0.824810731836898,1.4078894939567,0.728576487252125,0.247054874994483,sig_r,p,e,NC,1
403,5.648,e99118,10.566,2.905,0.10809,0.5564,0.2718,0.801,5.471,0.004203,1.10007358351729,1.61515820456218,0.665930831493745,0.0229212656364974,0.485658640226629,0.266413666590451,sig_r,p,e,NC,1
404,5.648,e99118,10.566,2.902,0.10784,0.5558,0.2689,0.801,5.478,0.004198,1.14168835998512,1.62142060245444,0.531796206768315,0.0208627742655262,0.486189801699717,0.263678377934649,sig_r,p,e,NC,1
405,5.648,e99118,14.566,1.518,0.07114,0.5513,0.0736,0.489,8.078,0.001354,2.85326086956522,2.03804347826087,1.11277173913043,1.4945652173913,0.731232294617564,0.240396541764745,sig_r,p,e,NC,1
406,5.648,e99118,10.566,2.878,0.10604,0.5512,0.2696,0.797,5.527,0.004163,1.10163204747774,1.62833827893175,0.541543026706231,0.0115356083086053,0.490439093484419,0.265387728087993,sig_r,p,e,NC,1
407,5.648,e99118,10.566,2.871,0.10551,0.5499,0.2747,0.796,5.542,0.004153,1.12850382235166,1.61630870040044,0.52784856206771,0.00680742628321806,0.491678470254958,0.270746130143464,sig_r,p,e,NC,1
408,5.648,e99118,10.566,2.851,0.10403,0.546,0.2746,0.792,5.583,0.004124,1.0924981791697,1.62418062636562,0.673707210487983,0.0,0.49521954674221,0.271410087156402,sig_r,p,e,NC,1
409,5.648,e99118,14.566,1.503,0.07018,0.5458,0.07548,0.485,8.112,0.00135,2.80869104398516,2.02702702702703,0.838632750397456,1.52358240593535,0.733888101983003,0.245282187708643,sig_r,p,e,NC,1
410,5.648,e99118,10.566,2.84,0.10324,0.544,0.27,0.791,5.606,0.004108,1.13703703703704,1.63333333333333,0.548148148148148,0.00231111111111111,0.497167138810198,0.267406110656189,sig_r,p,e,NC,1
411,5.648,e99118,10.566,2.824,0.10206,0.5409,0.2628,0.788,5.639,0.004085,1.11491628614916,1.64764079147641,0.566971080669711,0.0118721461187215,0.5,0.260847631210943,sig_r,p,e,NC,1
412,5.648,e99118,14.566,1.488,0.06923,0.5404,0.07552,0.481,8.146,0.001345,2.82044491525424,2.03919491525424,1.08580508474576,1.5625,0.736543909348442,0.244222357624152,sig_r,p,e,NC,1
413,3.419,e99118,33.566,0.472,0.09733,0.5382,0.01844,0.243,5.872,0.0003332,2.14208242950108,2.62472885032538,1.36659436008677,5.08676789587852,0.861947937993565,0.225712782041922,sig_r,p,e,NC,1
414,5.648,e99118,10.566,2.797,0.10012,0.5357,0.2641,0.783,5.695,0.004047,1.10942824687618,1.64710336993563,0.708065126845892,0.0235895494131011,0.50478045325779,0.263097830768494,sig_r,p,e,NC,1
415,5.648,e99118,14.566,1.473,0.06829,0.535,0.07517,0.477,8.179,0.001341,2.84688040441666,2.06199281628309,1.097512305441,1.64959425302647,0.739199716713881,0.241882187279732,sig_r,p,e,NC,1
416,3.419,e99118,33.566,0.468,0.09628,0.5332,0.0181,0.241,5.885,0.0003331,2.1767955801105,2.67955801104972,1.38121546961326,5.3646408839779,0.863117870722433,0.21972431030428,sig_r,p,e,NC,1
417,5.648,e99118,10.566,2.77,0.09823,0.5305,0.2646,0.779,5.751,0.004009,1.11489040060469,1.65154950869237,0.563114134542706,0.0376795162509448,0.509560906515581,0.264505973886156,sig_r,p,e,NC,1
418,5.648,e99118,14.566,1.459,0.06736,0.5295,0.07607,0.473,8.212,0.001336,2.82634415669778,2.06388852372815,1.09241488103063,1.68266070724333,0.741678470254958,0.243194054295551,sig_r,p,e,NC,1
419,3.419,e99118,33.566,0.463,0.09523,0.5282,0.01834,0.239,5.899,0.0003331,2.16466739367503,2.68811341330425,1.30861504907306,5.44165757906216,0.864580286633519,0.22134407134814,sig_r,p,e,NC,1
420,5.648,e99118,22.566,0.61,0.05584,0.5279,0.02203,0.204,9.806,0.0004521,4.94779845665002,3.42260553790286,1.85201997276441,10.9396277802996,0.89199716713881,0.212248618297582,sig_r,p,e,NC,1
421,5.648,e99118,10.566,2.743,0.09636,0.5253,0.2571,0.774,5.807,0.003971,1.1318553092182,1.66861143523921,0.579541034616881,0.0509529366005445,0.514341359773371,0.257843044644011,sig_r,p,e,NC,1
422,5.648,e99118,14.566,1.444,0.06643,0.5241,0.07312,0.468,8.246,0.001331,2.94037199124726,2.10612691466083,1.14059080962801,1.81892778993435,0.744334277620397,0.2325407672002,sig_r,p,e,NC,1
423,3.419,e99118,15.966,1.985,0.19447,0.5235,0.2792,0.838,3.049,0.002916,1.189111747851,1.52578796561605,0.44054441260745,0.147922636103152,0.41942088329921,0.286777878579096,sig_r,p,e,NC,1
424,3.419,e99118,33.566,0.459,0.09419,0.5232,0.01799,0.236,5.912,0.000333,2.19010561423013,2.74596998332407,1.37854363535297,5.78098943857699,0.865750219362387,0.215286632862224,sig_r,p,e,NC,1
425,5.648,e99118,22.566,0.605,0.05526,0.523,0.0229,0.202,9.821,0.0004519,4.75982532751092,3.37117903930131,1.77729257641921,10.7423580786026,0.892882436260623,0.218617956582717,sig_r,p,e,NC,1
426,5.648,e99118,10.566,2.716,0.09453,0.5202,0.2559,0.769,5.863,0.003934,1.1410707307542,1.67643610785463,0.734661977334896,0.0656506447831184,0.519121813031162,0.25751841088491,sig_r,p,e,NC,1
427,2.301,e99118,32.196,0.735,0.17695,0.52,0.04798,0.512,3.299,0.0006,1.9237182159233,1.76531888286786,0.691954981242184,0.133388912046686,0.680573663624511,0.251653688542261,sig_r,p,e,NC,1
428,5.648,e99118,14.566,1.429,0.06551,0.5187,0.07642,0.464,8.279,0.001327,2.85265637267731,2.09369275058885,0.866265375556137,1.80580999738288,0.746990084985836,0.241733697349995,sig_r,p,e,NC,1
