,Elab,x,Q2,y,obs,target,lepton beam,current,units,value,stat_u,sys_u,*norm_c
156,10.392,0.3,3.768,0.644,sig_r,p,e,NC,1,0.27155,0.0035302,0.0013578,0.00570255
157,10.392,0.266,3.485,0.6706,sig_r,p,e,NC,1,0.288,0.004896,0.00144,0.006048
158,10.392,0.241,3.254,0.6928,sig_r,p,e,NC,1,0.31175,0.0071703,0.001247,0.00654675
159,10.392,0.211,2.962,0.7198,sig_r,p,e,NC,1,0.31111,0.0049777,0.0012444,0.00653331
160,10.392,0.19,2.74,0.7413,sig_r,p,e,NC,1,0.30924,0.0061848,0.001237,0.00649404
161,10.392,0.172,2.546,0.7597,sig_r,p,e,NC,1,0.29468,0.0061883,0.0014734,0.00618828
162,10.392,0.156,2.362,0.777,sig_r,p,e,NC,1,0.30732,0.0055318,0.0015366,0.00645372
163,10.392,0.141,2.178,0.7945,sig_r,p,e,NC,1,0.2843,0.0099504,0.0017058,0.0059703
164,10.392,0.129,2.036,0.8078,sig_r,p,e,NC,1,0.29435,0.010008,0.0017661,0.00618135
165,10.392,0.113,1.827,0.8276,sig_r,p,e,NC,1,0.29737,0.0083264,0.0020816,0.00624477
166,10.392,0.091,1.526,0.8559,sig_r,p,e,NC,1,0.27897,0.0092059,0.0022317,0.00585837
167,12.518,0.586,7.263,0.5276,sig_r,p,e,NC,1,0.094625,0.0025549,0.0014194,0.001987125
168,12.518,0.428,6.075,0.6048,sig_r,p,e,NC,1,0.19147,0.0053612,0.0019147,0.00402087
169,12.518,0.321,5.061,0.6708,sig_r,p,e,NC,1,0.26292,0.0078876,0.0018405,0.00552132
170,12.518,0.236,4.07,0.7353,sig_r,p,e,NC,1,0.30648,0.0082751,0.0012259,0.00643608
171,12.518,0.201,3.615,0.7648,sig_r,p,e,NC,1,0.30432,0.0082166,0.0012173,0.00639072
172,12.518,0.179,3.302,0.7852,sig_r,p,e,NC,1,0.31424,0.0087988,0.001257,0.00659904
173,12.518,0.157,2.982,0.806,sig_r,p,e,NC,1,0.31639,0.0098082,0.001582,0.00664419
174,12.518,0.143,2.762,0.8203,sig_r,p,e,NC,1,0.31467,0.010069,0.0015733,0.00660807
175,12.518,0.13,2.542,0.8346,sig_r,p,e,NC,1,0.30341,0.011226,0.0018204,0.00637161
176,12.518,0.116,2.316,0.8493,sig_r,p,e,NC,1,0.29521,0.011513,0.0020664,0.00619941
177,12.518,0.106,2.144,0.8605,sig_r,p,e,NC,1,0.29961,0.011685,0.0020973,0.00629181
178,12.518,0.096,1.971,0.8718,sig_r,p,e,NC,1,0.29011,0.013055,0.0023209,0.00609231
179,12.518,0.08,1.669,0.891,sig_r,p,e,NC,1,0.28397,0.011927,0.0025557,0.00596337
