,spec(HMS=0),exp,obs,target,Lepton beam,current,Units,Elab,ep,angle,x,Q2,w2,value,%*ptp_u,ptp_total_frac,stat,gerr,%*norm_c,density,    cer   ,kin,%csb_c,csb,    %acc_c   ,acc,rad,%*live_c,live,%*pion_c,pion
76,1,e1210002,F2,d/p,e,NC,1,10.602,4.27885,21.035,0.50954,6.04604,6.7,0.76908,0.915,0.00915,0.00791,0.0129,1.13,0.0113,0.001,0.00068,0.0,0.0,0.026,0.00026,0.005,0.287,0.00287,0.14,0.0014
77,1,e1210002,F2,d/p,e,NC,1,10.602,4.21805,21.035,0.49752,5.96013,6.9,0.76798,0.897,0.00897,0.00766,0.01294,1.13,0.0113,0.001,0.00068,0.001,1e-05,0.025,0.00025,0.005,0.287,0.00287,0.14,0.0014
78,1,e1210002,F2,d/p,e,NC,1,10.602,4.15725,21.035,0.48572,5.87422,7.1,0.78257,0.871,0.00871,0.00736,0.01299,1.13,0.0113,0.001,0.00068,0.001,1e-05,0.024,0.00024,0.005,0.287,0.00287,0.14,0.0014
79,1,e1210002,F2,d/p,e,NC,1,10.602,4.09645,21.035,0.47414,5.78831,7.3,0.78181,0.849,0.00849,0.00709,0.01296,1.13,0.0113,0.001,0.00068,0.001,1e-05,0.023,0.00023,0.005,0.287,0.00287,0.14,0.0014
80,1,e1210002,F2,d/p,e,NC,1,10.602,4.03565,21.035,0.46278,5.7024,7.5,0.78729,0.829,0.00829,0.00685,0.01292,1.13,0.0113,0.001,0.00068,0.001,1e-05,0.022,0.00022,0.005,0.287,0.00287,0.14,0.0014
81,1,e1210002,F2,d/p,e,NC,1,10.602,3.97485,21.035,0.45163,5.61649,7.7,0.79741,0.806,0.00806,0.00659,0.01287,1.13,0.0113,0.001,0.00068,0.001,1e-05,0.021,0.00021,0.005,0.287,0.00287,0.14,0.0014
82,1,e1210002,F2,d/p,e,NC,1,10.602,3.91405,21.035,0.44068,5.53058,7.9,0.79109,0.792,0.00792,0.0064,0.01323,1.13,0.0113,0.001,0.00068,0.001,1e-05,0.021,0.00021,0.005,0.287,0.00287,0.14,0.0014
83,1,e1210002,F2,d/p,e,NC,1,10.602,3.85326,21.035,0.42992,5.44467,8.1,0.79626,0.775,0.00775,0.0062,0.01321,1.13,0.0113,0.001,0.00068,0.002,2e-05,0.02,0.0002,0.005,0.287,0.00287,0.14,0.0014
84,1,e1210002,F2,d/p,e,NC,1,10.602,3.79246,21.035,0.41936,5.35877,8.3,0.79737,0.758,0.00758,0.00602,0.01319,1.13,0.0113,0.001,0.00068,0.002,2e-05,0.019,0.00019,0.00501,0.287,0.00287,0.14,0.0014
85,1,e1210002,F2,d/p,e,NC,1,10.602,3.73166,21.035,0.40899,5.27286,8.5,0.79753,0.743,0.00743,0.00588,0.01321,1.13,0.0113,0.001,0.00068,0.002,2e-05,0.019,0.00019,0.00501,0.287,0.00287,0.14,0.0014
86,1,e1210002,F2,d/p,e,NC,1,10.602,3.67086,21.035,0.39879,5.18695,8.7,0.80776,0.741,0.00741,0.00591,0.01326,1.13,0.0113,0.001,0.00068,0.003,3e-05,0.018,0.00018,0.00501,0.287,0.00287,0.14,0.0014
87,1,e1210002,F2,d/p,e,NC,1,10.602,5.93561,21.035,0.95779,8.38705,1.25,6.29148,7.542,0.07542,0.07533,0.03626,1.13,0.0113,0.001,0.00125,0.0,0.0,1.536,0.01536,0.01613,0.389,0.00389,0.14,0.0014
88,1,e1210002,F2,d/p,e,NC,1,10.602,5.90521,21.035,0.94671,8.34409,1.35,1.93892,5.327,0.05327,0.05311,0.02504,1.13,0.0113,0.001,0.00125,0.0,0.0,0.862,0.00862,0.00938,0.389,0.00389,0.14,0.0014
89,1,e1210002,F2,d/p,e,NC,1,10.602,5.87481,21.035,0.93578,8.30114,1.45,1.07782,4.004,0.04004,0.03982,0.01741,1.13,0.0113,0.001,0.00125,0.0,0.0,0.589,0.00589,0.00688,0.389,0.00389,0.14,0.0014
90,1,e1210002,F2,d/p,e,NC,1,10.602,5.84441,21.035,0.92499,8.25819,1.55,1.02908,3.379,0.03379,0.03355,0.0147,1.13,0.0113,0.001,0.00125,0.0,0.0,0.444,0.00444,0.00613,0.389,0.00389,0.14,0.0014
91,1,e1210002,F2,d/p,e,NC,1,10.602,5.81401,21.035,0.91434,8.21523,1.65,1.07558,3.003,0.03003,0.02979,0.01404,1.13,0.0113,0.001,0.00125,0.0,0.0,0.354,0.00354,0.00571,0.389,0.00389,0.14,0.0014
92,1,e1210002,F2,d/p,e,NC,1,10.602,5.78361,21.035,0.90382,8.17228,1.75,0.90195,2.701,0.02701,0.02674,0.01404,1.13,0.0113,0.001,0.00125,0.0,0.0,0.293,0.00293,0.00543,0.389,0.00389,0.14,0.0014
93,1,e1210002,F2,d/p,e,NC,1,10.602,5.75321,21.035,0.89343,8.12932,1.85,0.89406,2.5,0.025,0.02469,0.01424,1.13,0.0113,0.001,0.00125,0.0,0.0,0.249,0.00249,0.00526,0.389,0.00389,0.14,0.0014
94,1,e1210002,F2,d/p,e,NC,1,10.602,5.72281,21.035,0.88318,8.08637,1.95,0.87157,2.247,0.02247,0.02215,0.01481,1.13,0.0113,0.001,0.00125,0.0,0.0,0.216,0.00216,0.00516,0.389,0.00389,0.14,0.0014
95,1,e1210002,F2,d/p,e,NC,1,10.602,5.69241,21.035,0.87304,8.04341,2.05,0.86105,2.11,0.0211,0.02075,0.01437,1.13,0.0113,0.001,0.00125,0.0,0.0,0.191,0.00191,0.00511,0.389,0.00389,0.14,0.0014
