,exp,Elab,EP,Theta,target,current,lepton beam,units,obs,x,Q2,W2,Epsilon,Sigma(nb/Ser*Gev),%*stat_u,%*syst,*y,*value
192,jlcee96,2.445,1.315,30.0,d,e,nc,1,sig_r,0.406,0.861,2.139,0.737,79.2,1.64,3.1,0.462167689,0.183
193,jlcee96,2.445,1.325,30.0,d,e,nc,1,sig_r,0.413,0.868,2.113,0.74,75.6,1.68,3.1,0.45807771,0.174
194,jlcee96,2.445,1.335,30.0,d,e,nc,1,sig_r,0.42,0.874,2.088,0.743,74.9,1.68,3.1,0.45398773,0.171
195,jlcee96,2.445,1.345,30.0,d,e,nc,1,sig_r,0.427,0.881,2.063,0.746,69.5,1.71,3.1,0.449897751,0.158
196,jlcee96,2.445,1.355,30.0,d,e,nc,1,sig_r,0.434,0.887,2.037,0.749,68.1,1.75,3.1,0.445807771,0.154
197,jlcee96,2.445,1.365,30.0,d,e,nc,1,sig_r,0.441,0.894,2.012,0.751,69.8,1.94,3.1,0.441717791,0.157
198,jlcee96,2.445,1.375,30.0,d,e,nc,1,sig_r,0.448,0.9,1.987,0.754,64.6,2.43,3.1,0.437627812,0.144
199,jlcee96,2.445,1.385,30.0,d,e,nc,1,sig_r,0.456,0.907,1.962,0.757,68.5,2.54,3.1,0.433537832,0.152
200,jlcee96,2.445,1.395,30.0,d,e,nc,1,sig_r,0.464,0.914,1.936,0.759,63.7,1.75,3.1,0.429447853,0.141
201,jlcee96,2.445,1.405,30.0,d,e,nc,1,sig_r,0.471,0.92,1.911,0.762,62.6,1.74,3.1,0.425357873,0.137
202,jlcee96,2.445,1.415,30.0,d,e,nc,1,sig_r,0.479,0.927,1.886,0.765,64.5,1.71,3.1,0.421267894,0.141
203,jlcee96,2.445,1.425,30.0,d,e,nc,1,sig_r,0.488,0.933,1.86,0.767,61.3,1.75,3.1,0.417177914,0.133
204,jlcee96,2.445,1.435,30.0,d,e,nc,1,sig_r,0.496,0.94,1.835,0.77,61.1,1.72,3.1,0.413087935,0.132
205,jlcee96,2.445,1.445,30.0,d,e,nc,1,sig_r,0.504,0.946,1.81,0.772,64.0,1.71,3.1,0.408997955,0.137
206,jlcee96,2.445,1.455,30.0,d,e,nc,1,sig_r,0.513,0.953,1.784,0.774,65.6,1.68,3.1,0.404907975,0.139
207,jlcee96,2.445,1.465,30.0,d,e,nc,1,sig_r,0.522,0.959,1.759,0.777,65.8,1.7,3.1,0.400817996,0.139
208,jlcee96,2.445,1.475,30.0,d,e,nc,1,sig_r,0.531,0.966,1.734,0.779,65.4,1.7,3.1,0.396728016,0.137
209,jlcee96,2.445,1.485,30.0,d,e,nc,1,sig_r,0.54,0.973,1.708,0.781,66.9,1.67,3.1,0.392638037,0.139
210,jlcee96,2.445,1.495,30.0,d,e,nc,1,sig_r,0.549,0.979,1.683,0.784,67.7,1.7,3.1,0.388548057,0.14
211,jlcee96,2.445,1.505,30.0,d,e,nc,1,sig_r,0.559,0.986,1.658,0.786,71.1,1.69,3.1,0.384458078,0.146
212,jlcee96,2.445,1.515,30.0,d,e,nc,1,sig_r,0.569,0.992,1.633,0.788,73.3,1.68,3.1,0.380368098,0.149
213,jlcee96,2.445,1.525,30.0,d,e,nc,1,sig_r,0.578,0.999,1.607,0.79,74.2,1.68,3.1,0.376278119,0.149
214,jlcee96,2.445,1.535,30.0,d,e,nc,1,sig_r,0.589,1.005,1.582,0.792,81.7,1.67,3.1,0.372188139,0.163
215,jlcee96,2.445,1.545,30.0,d,e,nc,1,sig_r,0.599,1.012,1.557,0.795,80.3,1.7,3.1,0.36809816,0.159
216,jlcee96,2.445,1.555,30.0,d,e,nc,1,sig_r,0.61,1.018,1.531,0.797,86.1,1.71,3.1,0.36400818,0.169
217,jlcee96,2.445,1.565,30.0,d,e,nc,1,sig_r,0.621,1.025,1.506,0.799,83.5,1.72,3.1,0.3599182,0.163
218,jlcee96,2.445,1.575,30.0,d,e,nc,1,sig_r,0.631,1.031,1.481,0.801,89.0,1.73,3.1,0.355828221,0.172
219,jlcee96,2.445,1.585,30.0,d,e,nc,1,sig_r,0.643,1.038,1.455,0.803,87.3,1.75,3.1,0.351738241,0.167
220,jlcee96,2.445,1.605,30.0,d,e,nc,1,sig_r,0.667,1.051,1.405,0.806,72.3,2.39,3.1,0.343558282,0.136
221,jlcee96,2.445,1.615,30.0,d,e,nc,1,sig_r,0.679,1.058,1.379,0.808,61.2,5.25,3.1,0.339468303,0.114
222,jlcee96,2.445,1.625,30.0,d,e,nc,1,sig_r,0.691,1.064,1.354,0.81,49.9,5.28,3.1,0.335378323,0.0918
223,jlcee96,2.445,1.635,30.0,d,e,nc,1,sig_r,0.705,1.071,1.329,0.812,39.6,5.31,3.1,0.331288344,0.0722
224,jlcee96,2.445,1.645,30.0,d,e,nc,1,sig_r,0.717,1.077,1.303,0.814,29.8,5.37,3.1,0.327198364,0.0538
225,jlcee96,2.445,1.655,30.0,d,e,nc,1,sig_r,0.731,1.084,1.278,0.815,22.1,5.39,3.1,0.323108384,0.0394
226,jlcee96,2.445,1.665,30.0,d,e,nc,1,sig_r,0.745,1.09,1.253,0.817,15.6,5.47,3.1,0.319018405,0.0275
227,jlcee96,2.445,1.675,30.0,d,e,nc,1,sig_r,0.759,1.097,1.228,0.819,10.1,5.59,3.1,0.314928425,0.0176
228,jlcee96,2.445,1.685,30.0,d,e,nc,1,sig_r,0.773,1.103,1.202,0.82,6.57,5.68,3.1,0.310838446,0.0113
229,jlcee96,2.445,1.695,30.0,d,e,nc,1,sig_r,0.789,1.11,1.177,0.822,3.51,5.88,3.1,0.306748466,0.00599
230,jlcee96,3.245,1.165,26.98,d,e,nc,1,sig_r,0.211,0.823,3.959,0.581,65.7,1.5,3.1,0.640986133,0.253
231,jlcee96,3.245,1.175,26.98,d,e,nc,1,sig_r,0.214,0.83,3.934,0.585,63.7,1.52,3.1,0.637904468,0.245
232,jlcee96,3.245,1.185,26.98,d,e,nc,1,sig_r,0.216,0.837,3.908,0.589,64.0,1.53,3.1,0.634822804,0.247
233,jlcee96,3.245,1.195,26.98,d,e,nc,1,sig_r,0.219,0.844,3.882,0.592,64.1,1.54,3.1,0.63174114,0.247
234,jlcee96,3.245,1.205,26.98,d,e,nc,1,sig_r,0.222,0.851,3.856,0.596,63.0,1.53,3.1,0.628659476,0.244
235,jlcee96,3.245,1.215,26.98,d,e,nc,1,sig_r,0.225,0.858,3.83,0.6,63.3,1.55,3.1,0.625577812,0.245
236,jlcee96,3.245,1.225,26.98,d,e,nc,1,sig_r,0.228,0.865,3.805,0.603,62.5,1.54,3.1,0.622496148,0.242
237,jlcee96,3.245,1.235,26.98,d,e,nc,1,sig_r,0.231,0.872,3.779,0.607,63.8,1.54,3.1,0.619414484,0.247
238,jlcee96,3.245,1.245,26.98,d,e,nc,1,sig_r,0.234,0.879,3.753,0.61,62.3,1.55,3.1,0.61633282,0.241
239,jlcee96,3.245,1.255,26.98,d,e,nc,1,sig_r,0.237,0.886,3.727,0.614,64.6,1.55,3.1,0.613251156,0.251
240,jlcee96,3.245,1.265,26.98,d,e,nc,1,sig_r,0.24,0.893,3.701,0.617,65.3,1.53,3.1,0.610169492,0.254
241,jlcee96,3.245,1.275,26.98,d,e,nc,1,sig_r,0.244,0.9,3.675,0.621,64.5,1.55,3.1,0.607087827,0.25
242,jlcee96,3.245,1.285,26.98,d,e,nc,1,sig_r,0.247,0.907,3.65,0.624,63.2,1.56,3.1,0.604006163,0.246
243,jlcee96,3.245,1.295,26.98,d,e,nc,1,sig_r,0.25,0.914,3.624,0.627,63.0,1.56,3.1,0.600924499,0.245
244,jlcee96,3.245,1.305,26.98,d,e,nc,1,sig_r,0.253,0.921,3.598,0.631,62.7,1.57,3.1,0.597842835,0.244
245,jlcee96,3.245,1.315,26.98,d,e,nc,1,sig_r,0.256,0.928,3.572,0.634,62.4,1.6,3.1,0.594761171,0.243
246,jlcee96,3.245,1.325,26.98,d,e,nc,1,sig_r,0.26,0.936,3.546,0.638,61.5,1.59,3.1,0.591679507,0.239
247,jlcee96,3.245,1.335,26.98,d,e,nc,1,sig_r,0.263,0.943,3.521,0.641,65.7,1.14,3.1,0.588597843,0.256
248,jlcee96,3.245,1.345,26.98,d,e,nc,1,sig_r,0.266,0.95,3.495,0.644,62.6,0.944,3.1,0.585516179,0.243
249,jlcee96,3.245,1.355,26.98,d,e,nc,1,sig_r,0.27,0.957,3.469,0.647,62.0,0.958,3.1,0.582434515,0.241
250,jlcee96,3.245,1.375,26.98,d,e,nc,1,sig_r,0.277,0.971,3.417,0.654,62.0,1.19,3.1,0.576271186,0.241
251,jlcee96,3.245,1.385,26.98,d,e,nc,1,sig_r,0.28,0.978,3.391,0.657,61.5,1.18,3.1,0.573189522,0.239
252,jlcee96,3.245,1.395,26.98,d,e,nc,1,sig_r,0.284,0.985,3.366,0.66,59.8,1.19,3.1,0.570107858,0.232
253,jlcee96,3.245,1.405,26.98,d,e,nc,1,sig_r,0.287,0.992,3.34,0.663,60.9,1.19,3.1,0.567026194,0.236
254,jlcee96,3.245,1.415,26.98,d,e,nc,1,sig_r,0.291,0.999,3.314,0.666,59.8,1.19,3.1,0.56394453,0.232
255,jlcee96,3.245,1.425,26.98,d,e,nc,1,sig_r,0.295,1.006,3.288,0.669,60.5,1.19,3.1,0.560862866,0.234
256,jlcee96,3.245,1.435,26.98,d,e,nc,1,sig_r,0.298,1.013,3.262,0.672,62.0,1.19,3.1,0.557781202,0.24
257,jlcee96,3.245,1.445,26.98,d,e,nc,1,sig_r,0.302,1.02,3.237,0.675,62.0,1.2,3.1,0.554699538,0.239
258,jlcee96,3.245,1.455,26.98,d,e,nc,1,sig_r,0.306,1.027,3.211,0.678,61.4,1.19,3.1,0.551617874,0.237
259,jlcee96,3.245,1.465,26.98,d,e,nc,1,sig_r,0.31,1.034,3.185,0.681,59.9,1.2,3.1,0.54853621,0.231
260,jlcee96,3.245,1.475,26.98,d,e,nc,1,sig_r,0.313,1.041,3.159,0.684,61.7,1.2,3.1,0.545454545,0.237
261,jlcee96,3.245,1.485,26.98,d,e,nc,1,sig_r,0.318,1.049,3.133,0.687,61.7,1.2,3.1,0.542372881,0.237
262,jlcee96,3.245,1.495,26.98,d,e,nc,1,sig_r,0.322,1.056,3.107,0.69,61.4,1.21,3.1,0.539291217,0.236
263,jlcee96,3.245,1.505,26.98,d,e,nc,1,sig_r,0.326,1.063,3.082,0.693,59.1,1.22,3.1,0.536209553,0.226
264,jlcee96,3.245,1.515,26.98,d,e,nc,1,sig_r,0.33,1.07,3.056,0.696,62.4,1.23,3.1,0.533127889,0.239
265,jlcee96,3.245,1.525,26.98,d,e,nc,1,sig_r,0.334,1.077,3.03,0.699,61.4,1.23,3.1,0.530046225,0.235
266,jlcee96,3.245,1.535,26.98,d,e,nc,1,sig_r,0.338,1.084,3.004,0.701,63.4,1.29,3.1,0.526964561,0.242
267,jlcee96,3.245,1.545,26.98,d,e,nc,1,sig_r,0.342,1.091,2.978,0.704,61.6,0.932,3.1,0.523882897,0.234
268,jlcee96,3.245,1.555,26.98,d,e,nc,1,sig_r,0.346,1.098,2.952,0.707,62.4,0.936,3.1,0.520801233,0.237
269,jlcee96,3.245,1.565,26.98,d,e,nc,1,sig_r,0.35,1.105,2.927,0.71,62.5,1.09,3.1,0.517719569,0.237
270,jlcee96,3.245,1.575,26.98,d,e,nc,1,sig_r,0.355,1.112,2.901,0.712,59.4,1.41,3.1,0.514637904,0.225
271,jlcee96,3.245,1.585,26.98,d,e,nc,1,sig_r,0.359,1.119,2.875,0.715,60.3,1.43,3.1,0.51155624,0.227
272,jlcee96,3.245,1.595,26.98,d,e,nc,1,sig_r,0.364,1.126,2.849,0.718,58.3,1.42,3.1,0.508474576,0.219
273,jlcee96,3.245,1.605,26.98,d,e,nc,1,sig_r,0.368,1.133,2.823,0.72,57.7,1.42,3.1,0.505392912,0.216
274,jlcee96,3.245,1.615,26.98,d,e,nc,1,sig_r,0.373,1.14,2.798,0.723,58.5,1.44,3.1,0.502311248,0.219
275,jlcee96,3.245,1.625,26.98,d,e,nc,1,sig_r,0.377,1.147,2.772,0.725,56.2,1.44,3.1,0.499229584,0.21
276,jlcee96,3.245,1.635,26.98,d,e,nc,1,sig_r,0.382,1.154,2.746,0.728,56.3,1.45,3.1,0.49614792,0.209
277,jlcee96,3.245,1.645,26.98,d,e,nc,1,sig_r,0.387,1.161,2.72,0.731,54.2,1.44,3.1,0.493066256,0.201
278,jlcee96,3.245,1.655,26.98,d,e,nc,1,sig_r,0.392,1.169,2.694,0.733,55.1,1.46,3.1,0.489984592,0.204
279,jlcee96,3.245,1.665,26.98,d,e,nc,1,sig_r,0.397,1.176,2.668,0.736,53.9,1.46,3.1,0.486902928,0.199
280,jlcee96,3.245,1.675,26.98,d,e,nc,1,sig_r,0.402,1.183,2.643,0.738,52.5,1.47,3.1,0.483821263,0.193
281,jlcee96,3.245,1.685,26.98,d,e,nc,1,sig_r,0.406,1.19,2.617,0.74,51.7,1.46,3.1,0.480739599,0.19
282,jlcee96,3.245,1.695,26.98,d,e,nc,1,sig_r,0.412,1.197,2.591,0.743,51.3,1.49,3.1,0.477657935,0.188
283,jlcee96,3.245,1.705,26.98,d,e,nc,1,sig_r,0.417,1.204,2.565,0.745,51.2,1.49,3.1,0.474576271,0.187
284,jlcee96,3.245,1.715,26.98,d,e,nc,1,sig_r,0.422,1.211,2.539,0.748,50.4,1.48,3.1,0.471494607,0.183
285,jlcee96,3.245,1.725,26.98,d,e,nc,1,sig_r,0.427,1.218,2.514,0.75,50.4,1.49,3.1,0.468412943,0.183
286,jlcee96,3.245,1.735,26.98,d,e,nc,1,sig_r,0.432,1.225,2.488,0.752,49.4,1.5,3.1,0.465331279,0.178
287,jlcee96,3.245,1.745,26.98,d,e,nc,1,sig_r,0.438,1.232,2.462,0.755,50.9,1.52,3.1,0.462249615,0.183
288,jlcee96,3.245,1.755,26.98,d,e,nc,1,sig_r,0.443,1.239,2.436,0.757,49.1,1.53,3.1,0.459167951,0.176
289,jlcee96,3.245,1.765,26.98,d,e,nc,1,sig_r,0.449,1.246,2.41,0.759,50.5,1.63,3.1,0.456086287,0.18
290,jlcee96,3.245,1.775,26.98,d,e,nc,1,sig_r,0.454,1.253,2.384,0.761,50.4,1.11,3.1,0.453004622,0.179
291,jlcee96,3.245,1.785,26.98,d,e,nc,1,sig_r,0.46,1.26,2.359,0.763,49.5,1.12,3.1,0.449922958,0.175
292,jlcee96,3.245,1.795,26.98,d,e,nc,1,sig_r,0.466,1.267,2.333,0.766,48.8,1.14,3.1,0.446841294,0.172
293,jlcee96,3.245,1.805,26.98,d,e,nc,1,sig_r,0.471,1.274,2.307,0.768,50.3,1.5,3.1,0.44375963,0.177
294,jlcee96,3.245,1.815,26.98,d,e,nc,1,sig_r,0.478,1.282,2.281,0.77,48.9,1.63,3.1,0.440677966,0.171
295,jlcee96,3.245,1.825,26.98,d,e,nc,1,sig_r,0.484,1.289,2.255,0.772,46.8,1.65,3.1,0.437596302,0.163
296,jlcee96,3.245,1.835,26.98,d,e,nc,1,sig_r,0.49,1.296,2.23,0.774,46.3,1.64,3.1,0.434514638,0.161
297,jlcee96,3.245,1.845,26.98,d,e,nc,1,sig_r,0.496,1.303,2.204,0.776,44.1,1.65,3.1,0.431432974,0.152
298,jlcee96,3.245,1.855,26.98,d,e,nc,1,sig_r,0.502,1.31,2.178,0.778,43.8,1.67,3.1,0.42835131,0.151
299,jlcee96,3.245,1.865,26.98,d,e,nc,1,sig_r,0.509,1.317,2.152,0.78,41.5,1.66,3.1,0.425269646,0.142
300,jlcee96,3.245,1.875,26.98,d,e,nc,1,sig_r,0.515,1.324,2.126,0.782,39.6,1.68,3.1,0.422187982,0.135
301,jlcee96,3.245,1.885,26.98,d,e,nc,1,sig_r,0.522,1.331,2.1,0.784,39.3,1.69,3.1,0.419106317,0.133
302,jlcee96,3.245,1.895,26.98,d,e,nc,1,sig_r,0.528,1.338,2.075,0.786,37.6,1.7,3.1,0.416024653,0.127
303,jlcee96,3.245,1.905,26.98,d,e,nc,1,sig_r,0.535,1.345,2.049,0.788,36.1,1.72,3.1,0.412942989,0.121
304,jlcee96,3.245,1.915,26.98,d,e,nc,1,sig_r,0.542,1.352,2.023,0.79,35.7,1.73,3.1,0.409861325,0.119
305,jlcee96,3.245,1.925,26.98,d,e,nc,1,sig_r,0.549,1.359,1.997,0.792,34.4,1.75,3.1,0.406779661,0.114
306,jlcee96,3.245,1.935,26.98,d,e,nc,1,sig_r,0.556,1.366,1.971,0.794,33.0,1.73,3.1,0.403697997,0.109
307,jlcee96,3.245,1.945,26.98,d,e,nc,1,sig_r,0.563,1.373,1.945,0.796,33.0,1.76,3.1,0.400616333,0.108
308,jlcee96,3.245,1.955,26.98,d,e,nc,1,sig_r,0.57,1.38,1.92,0.798,32.5,1.78,3.1,0.397534669,0.106
309,jlcee96,3.245,1.965,26.98,d,e,nc,1,sig_r,0.577,1.387,1.894,0.799,32.4,1.77,3.1,0.394453005,0.105
310,jlcee96,3.245,1.975,26.98,d,e,nc,1,sig_r,0.585,1.395,1.868,0.801,30.5,1.78,3.1,0.391371341,0.0988
311,jlcee96,3.245,1.985,26.98,d,e,nc,1,sig_r,0.593,1.402,1.842,0.803,31.8,1.78,3.1,0.388289676,0.102
312,jlcee96,3.245,1.995,26.98,d,e,nc,1,sig_r,0.601,1.409,1.816,0.805,29.6,1.8,3.1,0.385208012,0.0948
313,jlcee96,3.245,2.005,26.98,d,e,nc,1,sig_r,0.609,1.416,1.791,0.806,30.8,1.84,3.1,0.382126348,0.0979
314,jlcee96,3.245,2.015,26.98,d,e,nc,1,sig_r,0.616,1.423,1.765,0.808,29.7,1.82,3.1,0.379044684,0.0939
315,jlcee96,3.245,2.025,26.98,d,e,nc,1,sig_r,0.625,1.43,1.739,0.81,30.2,1.41,3.1,0.37596302,0.0949
316,jlcee96,3.245,2.035,26.98,d,e,nc,1,sig_r,0.633,1.437,1.713,0.811,30.0,1.17,3.1,0.372881356,0.0937
317,jlcee96,3.245,2.045,26.98,d,e,nc,1,sig_r,0.641,1.444,1.687,0.813,29.5,1.18,3.1,0.369799692,0.0915
318,jlcee96,3.245,2.055,26.98,d,e,nc,1,sig_r,0.65,1.451,1.661,0.815,30.8,1.19,3.1,0.366718028,0.0949
319,jlcee96,3.245,2.065,26.98,d,e,nc,1,sig_r,0.658,1.458,1.636,0.816,30.1,1.2,3.1,0.363636364,0.092
320,jlcee96,3.245,2.075,26.98,d,e,nc,1,sig_r,0.667,1.465,1.61,0.818,32.7,1.51,3.1,0.3605547,0.0994
321,jlcee96,3.245,2.085,26.98,d,e,nc,1,sig_r,0.676,1.472,1.584,0.819,32.0,1.56,3.1,0.357473035,0.0965
322,jlcee96,3.245,2.095,26.98,d,e,nc,1,sig_r,0.685,1.479,1.558,0.821,33.1,1.57,3.1,0.354391371,0.0994
323,jlcee96,3.245,2.105,26.98,d,e,nc,1,sig_r,0.695,1.486,1.532,0.823,33.8,1.56,3.1,0.351309707,0.1
324,jlcee96,3.245,2.115,26.98,d,e,nc,1,sig_r,0.704,1.493,1.507,0.824,34.2,1.57,3.1,0.348228043,0.101
325,jlcee96,3.245,2.125,26.98,d,e,nc,1,sig_r,0.714,1.5,1.481,0.826,35.0,1.61,3.1,0.345146379,0.103
326,jlcee96,3.245,2.135,26.98,d,e,nc,1,sig_r,0.723,1.507,1.455,0.827,32.9,1.63,3.1,0.342064715,0.096
327,jlcee96,3.245,2.145,26.98,d,e,nc,1,sig_r,0.734,1.515,1.429,0.828,32.0,1.63,3.1,0.338983051,0.0926
328,jlcee96,3.245,2.155,26.98,d,e,nc,1,sig_r,0.744,1.522,1.403,0.83,28.5,1.67,3.1,0.335901387,0.0819
329,jlcee96,3.245,2.165,26.98,d,e,nc,1,sig_r,0.754,1.529,1.377,0.831,23.5,4.96,3.1,0.332819723,0.0671
330,jlcee96,3.245,2.175,26.98,d,e,nc,1,sig_r,0.765,1.536,1.352,0.833,19.8,4.98,3.1,0.329738059,0.0562
331,jlcee96,3.245,2.185,26.98,d,e,nc,1,sig_r,0.776,1.543,1.326,0.834,15.5,5.0,3.1,0.326656394,0.0434
332,jlcee96,3.245,2.195,26.98,d,e,nc,1,sig_r,0.787,1.55,1.3,0.835,11.7,5.02,3.1,0.32357473,0.0326
333,jlcee96,3.245,2.205,26.98,d,e,nc,1,sig_r,0.798,1.557,1.274,0.837,8.49,5.04,3.1,0.320493066,0.0235
334,jlcee96,3.245,2.215,26.98,d,e,nc,1,sig_r,0.809,1.564,1.248,0.838,5.4,5.08,3.1,0.317411402,0.0148
335,jlcee96,3.245,2.225,26.98,d,e,nc,1,sig_r,0.821,1.571,1.222,0.839,3.56,5.13,3.1,0.314329738,0.00969
336,jlcee96,3.245,2.235,26.98,d,e,nc,1,sig_r,0.833,1.578,1.197,0.841,2.13,5.19,3.1,0.311248074,0.00574
337,jlcee96,3.245,2.245,26.98,d,e,nc,1,sig_r,0.845,1.585,1.171,0.842,1.11,5.28,3.1,0.30816641,0.00297
338,jlcee96,4.054,1.745,24.03,d,e,nc,1,sig_r,0.283,1.226,3.986,0.674,48.6,1.79,3.1,0.569560927,0.235
339,jlcee96,4.054,1.755,24.03,d,e,nc,1,sig_r,0.286,1.233,3.96,0.676,47.1,1.81,3.1,0.567094228,0.228
340,jlcee96,4.054,1.765,24.03,d,e,nc,1,sig_r,0.289,1.24,3.934,0.679,47.9,1.82,3.1,0.564627528,0.231
341,jlcee96,4.054,1.775,24.03,d,e,nc,1,sig_r,0.292,1.247,3.909,0.681,47.3,1.81,3.1,0.562160829,0.228
342,jlcee96,4.054,1.785,24.03,d,e,nc,1,sig_r,0.295,1.254,3.883,0.684,48.4,1.82,3.1,0.559694129,0.233
343,jlcee96,4.054,1.795,24.03,d,e,nc,1,sig_r,0.297,1.261,3.857,0.686,47.2,1.8,3.1,0.55722743,0.227
344,jlcee96,4.054,1.805,24.03,d,e,nc,1,sig_r,0.3,1.268,3.831,0.689,46.0,1.84,3.1,0.55476073,0.222
345,jlcee96,4.054,1.815,24.03,d,e,nc,1,sig_r,0.303,1.275,3.805,0.691,47.6,1.84,3.1,0.552294031,0.229
346,jlcee96,4.054,1.825,24.03,d,e,nc,1,sig_r,0.306,1.282,3.78,0.694,46.6,1.84,3.1,0.549827331,0.224
347,jlcee96,4.054,1.835,24.03,d,e,nc,1,sig_r,0.31,1.289,3.754,0.696,48.1,1.82,3.1,0.547360631,0.231
348,jlcee96,4.054,1.845,24.03,d,e,nc,1,sig_r,0.313,1.296,3.728,0.698,46.7,1.83,3.1,0.544893932,0.224
349,jlcee96,4.054,1.855,24.03,d,e,nc,1,sig_r,0.316,1.303,3.702,0.701,46.0,1.84,3.1,0.542427232,0.22
350,jlcee96,4.054,1.865,24.03,d,e,nc,1,sig_r,0.319,1.31,3.677,0.703,47.1,1.84,3.1,0.539960533,0.226
351,jlcee96,4.054,1.875,24.03,d,e,nc,1,sig_r,0.322,1.317,3.651,0.706,45.7,1.86,3.1,0.537493833,0.218
352,jlcee96,4.054,1.885,24.03,d,e,nc,1,sig_r,0.325,1.324,3.625,0.708,44.9,1.84,3.1,0.535027134,0.214
353,jlcee96,4.054,1.895,24.03,d,e,nc,1,sig_r,0.329,1.331,3.599,0.71,45.4,1.85,3.1,0.532560434,0.216
354,jlcee96,4.054,1.905,24.03,d,e,nc,1,sig_r,0.332,1.338,3.573,0.713,46.4,1.86,3.1,0.530093735,0.221
355,jlcee96,4.054,1.915,24.03,d,e,nc,1,sig_r,0.335,1.345,3.548,0.715,47.5,1.86,3.1,0.527627035,0.226
356,jlcee96,4.054,1.925,24.03,d,e,nc,1,sig_r,0.338,1.352,3.522,0.717,45.3,1.86,3.1,0.525160335,0.215
357,jlcee96,4.054,1.935,24.03,d,e,nc,1,sig_r,0.342,1.359,3.496,0.719,45.3,1.87,3.1,0.522693636,0.214
358,jlcee96,4.054,1.945,24.03,d,e,nc,1,sig_r,0.345,1.366,3.47,0.722,45.0,1.87,3.1,0.520226936,0.213
359,jlcee96,4.054,1.955,24.03,d,e,nc,1,sig_r,0.349,1.373,3.444,0.724,45.6,1.87,3.1,0.517760237,0.215
360,jlcee96,4.054,1.975,24.03,d,e,nc,1,sig_r,0.356,1.387,3.393,0.728,45.1,1.34,3.1,0.512826838,0.212
361,jlcee96,4.054,1.985,24.03,d,e,nc,1,sig_r,0.359,1.394,3.367,0.731,43.3,1.36,3.1,0.510360138,0.203
362,jlcee96,4.054,1.995,24.03,d,e,nc,1,sig_r,0.363,1.401,3.341,0.733,43.1,1.36,3.1,0.507893439,0.202
363,jlcee96,4.054,2.005,24.03,d,e,nc,1,sig_r,0.366,1.408,3.316,0.735,42.7,1.36,3.1,0.505426739,0.2
364,jlcee96,4.054,2.015,24.03,d,e,nc,1,sig_r,0.37,1.415,3.29,0.737,41.7,1.38,3.1,0.502960039,0.195
365,jlcee96,4.054,2.025,24.03,d,e,nc,1,sig_r,0.373,1.422,3.264,0.739,42.3,1.37,3.1,0.50049334,0.197
366,jlcee96,4.054,2.045,24.03,d,e,nc,1,sig_r,0.381,1.436,3.212,0.743,41.0,1.93,3.1,0.495559941,0.19
367,jlcee96,4.054,2.055,24.03,d,e,nc,1,sig_r,0.385,1.444,3.187,0.746,41.1,1.94,3.1,0.493093241,0.19
368,jlcee96,4.054,2.065,24.03,d,e,nc,1,sig_r,0.389,1.451,3.161,0.748,42.6,1.95,3.1,0.490626542,0.197
369,jlcee96,4.054,2.075,24.03,d,e,nc,1,sig_r,0.393,1.458,3.135,0.75,40.7,1.96,3.1,0.488159842,0.188
370,jlcee96,4.054,2.085,24.03,d,e,nc,1,sig_r,0.396,1.465,3.109,0.752,41.5,1.94,3.1,0.485693143,0.191
371,jlcee96,4.054,2.095,24.03,d,e,nc,1,sig_r,0.4,1.472,3.083,0.754,41.8,1.96,3.1,0.483226443,0.192
372,jlcee96,4.054,2.105,24.03,d,e,nc,1,sig_r,0.404,1.479,3.058,0.756,40.1,1.96,3.1,0.480759743,0.184
373,jlcee96,4.054,2.115,24.03,d,e,nc,1,sig_r,0.408,1.486,3.032,0.758,42.8,1.95,3.1,0.478293044,0.195
374,jlcee96,4.054,2.125,24.03,d,e,nc,1,sig_r,0.412,1.493,3.006,0.76,40.6,1.97,3.1,0.475826344,0.185
375,jlcee96,4.054,2.135,24.03,d,e,nc,1,sig_r,0.417,1.5,2.98,0.762,41.6,1.97,3.1,0.473359645,0.189
376,jlcee96,4.054,2.145,24.03,d,e,nc,1,sig_r,0.421,1.507,2.955,0.764,41.0,1.96,3.1,0.470892945,0.186
377,jlcee96,4.054,2.155,24.03,d,e,nc,1,sig_r,0.425,1.514,2.929,0.765,41.4,1.97,3.1,0.468426246,0.187
378,jlcee96,4.054,2.165,24.03,d,e,nc,1,sig_r,0.429,1.521,2.903,0.767,40.4,1.99,3.1,0.465959546,0.182
379,jlcee96,4.054,2.175,24.03,d,e,nc,1,sig_r,0.433,1.528,2.877,0.769,40.5,2.0,3.1,0.463492847,0.182
380,jlcee96,4.054,2.185,24.03,d,e,nc,1,sig_r,0.438,1.535,2.851,0.771,40.7,1.99,3.1,0.461026147,0.182
381,jlcee96,4.054,2.195,24.03,d,e,nc,1,sig_r,0.442,1.542,2.826,0.773,39.5,1.99,3.1,0.458559447,0.176
382,jlcee96,4.054,2.205,24.03,d,e,nc,1,sig_r,0.446,1.549,2.8,0.775,40.3,2.02,3.1,0.456092748,0.18
383,jlcee96,4.054,2.215,24.03,d,e,nc,1,sig_r,0.451,1.556,2.774,0.777,38.4,2.01,3.1,0.453626048,0.17
