,I,J,x,Q2,obs,target,curent,lepton beam,units,value,*%dST_u,*%dSR_u,*%1dN1_c,*%2dN1_c,*%3dN1_c,*%4dN1_c,*%5dN1_c,*%6dN1_c,*%7dN1_c,*%8dN1_c,*%1dN2_c,*%2dN2_c,*%3dN2_c,*%4dN2_c,*%5dN2_c,*%6dN2_c,*%7dN2_c,*%8dN2_c,%*norm_c
147,148,2,0.156,2.362,sig,d/p,e,nc,1,0.885,2.3,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
148,149,2,0.141,2.178,sig,d/p,e,nc,1,0.868,4.6,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
149,150,2,0.129,2.036,sig,d/p,e,nc,1,0.9015,3.9,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
150,151,2,0.113,1.827,sig,d/p,e,nc,1,0.898,3.7,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
151,152,2,0.091,1.526,sig,d/p,e,nc,1,0.928,4.7,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
152,153,2,0.586,7.263,sig,d/p,e,nc,1,0.7315,2.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
153,154,2,0.428,6.075,sig,d/p,e,nc,1,0.806,3.1,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
154,155,2,0.321,5.061,sig,d/p,e,nc,1,0.807,3.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
155,156,2,0.236,4.07,sig,d/p,e,nc,1,0.8345,2.8,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
156,157,2,0.201,3.615,sig,d/p,e,nc,1,0.869,3.2,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
157,158,2,0.179,3.302,sig,d/p,e,nc,1,0.8715,3.2,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
158,159,2,0.157,2.982,sig,d/p,e,nc,1,0.865,3.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
159,160,2,0.143,2.762,sig,d/p,e,nc,1,0.886,3.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
160,161,2,0.13,2.542,sig,d/p,e,nc,1,0.911,4.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
161,162,2,0.116,2.316,sig,d/p,e,nc,1,0.9175,4.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
162,163,2,0.106,2.144,sig,d/p,e,nc,1,0.904,5.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
163,164,2,0.096,1.971,sig,d/p,e,nc,1,0.885,5.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
164,165,2,0.079,1.66,sig,d/p,e,nc,1,0.875,5.1,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
165,166,2,0.771,9.147,sig,d/p,e,nc,1,0.763,7.9,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
166,167,2,0.664,8.494,sig,d/p,e,nc,1,0.6685,4.8,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
167,168,2,0.543,7.623,sig,d/p,e,nc,1,0.7865,2.3,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
168,169,2,0.472,7.026,sig,d/p,e,nc,1,0.7835,1.8,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
169,170,2,0.404,6.39,sig,d/p,e,nc,1,0.7935,1.9,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
170,171,2,0.337,5.677,sig,d/p,e,nc,1,0.787,1.5,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
171,172,2,0.29,5.118,sig,d/p,e,nc,1,0.8165,1.5,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
172,173,2,0.257,4.693,sig,d/p,e,nc,1,0.8665,2.2,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
173,174,2,0.233,4.37,sig,d/p,e,nc,1,0.8185,2.7,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
174,175,2,0.202,3.916,sig,d/p,e,nc,1,0.8485,2.1,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
175,176,2,0.175,3.5,sig,d/p,e,nc,1,0.9005,2.5,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
176,177,2,0.161,3.267,sig,d/p,e,nc,1,0.9515,4.3,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
177,178,2,0.146,3.021,sig,d/p,e,nc,1,0.929,4.3,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
178,179,2,0.121,2.579,sig,d/p,e,nc,1,0.8995,3.0,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
179,180,2,0.108,2.334,sig,d/p,e,nc,1,0.9085,6.0,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
180,181,2,0.098,2.141,sig,d/p,e,nc,1,0.891,4.4,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
181,182,2,0.088,1.96,sig,d/p,e,nc,1,1.0885,9.1,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
182,183,2,0.789,13.363,sig,d/p,e,nc,1,0.7425,2.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
183,184,2,0.701,12.528,sig,d/p,e,nc,1,0.7275,2.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
184,185,2,0.621,11.693,sig,d/p,e,nc,1,0.7375,2.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
185,186,2,0.55,10.858,sig,d/p,e,nc,1,0.7795,2.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
186,187,2,0.469,9.804,sig,d/p,e,nc,1,0.7485,2.1,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
187,188,2,0.416,9.062,sig,d/p,e,nc,1,0.803,2.1,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
188,189,2,0.361,8.198,sig,d/p,e,nc,1,0.817,2.1,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
189,190,2,0.308,7.304,sig,d/p,e,nc,1,0.8305,2.2,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
190,191,2,0.273,6.682,sig,d/p,e,nc,1,0.8425,3.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
191,192,2,0.251,6.264,sig,d/p,e,nc,1,0.8375,3.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
192,193,2,0.224,5.711,sig,d/p,e,nc,1,0.8685,2.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
193,194,2,0.196,5.136,sig,d/p,e,nc,1,0.844,2.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
194,195,2,0.171,4.594,sig,d/p,e,nc,1,0.943,4.2,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
195,196,2,0.153,4.176,sig,d/p,e,nc,1,0.8845,4.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
196,197,2,0.134,3.718,sig,d/p,e,nc,1,0.889,5.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
197,198,2,0.118,3.341,sig,d/p,e,nc,1,1.0775,6.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
198,199,2,0.105,3.005,sig,d/p,e,nc,1,0.9265,5.1,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
199,200,2,0.086,2.506,sig,d/p,e,nc,1,0.8565,11.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
200,201,2,0.464,2.009,sig,d/p,e,nc,1,0.8175,2.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
201,202,2,0.388,1.826,sig,d/p,e,nc,1,0.809,2.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
202,203,2,0.324,1.644,sig,d/p,e,nc,1,0.816,2.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
203,204,2,0.268,1.461,sig,d/p,e,nc,1,0.8595,2.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
204,205,2,0.219,1.278,sig,d/p,e,nc,1,0.9045,2.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
205,206,2,0.177,1.096,sig,d/p,e,nc,1,0.8515,2.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
206,207,2,0.139,0.913,sig,d/p,e,nc,1,0.8995,3.1,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
207,208,2,0.586,4.08,sig,d/p,e,nc,1,0.7675,3.2,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
208,209,2,0.503,3.74,sig,d/p,e,nc,1,0.745,3.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
209,210,2,0.414,3.319,sig,d/p,e,nc,1,0.7855,2.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
210,211,2,0.366,3.06,sig,d/p,e,nc,1,0.8425,3.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
211,212,2,0.318,2.779,sig,d/p,e,nc,1,0.8065,2.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
212,213,2,0.284,2.57,sig,d/p,e,nc,1,0.839,3.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
213,214,2,0.256,2.38,sig,d/p,e,nc,1,0.852,3.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
214,215,2,0.233,2.218,sig,d/p,e,nc,1,0.871,3.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
215,216,2,0.209,2.04,sig,d/p,e,nc,1,0.9335,3.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
216,217,2,0.188,1.878,sig,d/p,e,nc,1,0.854,3.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
217,218,2,0.156,1.618,sig,d/p,e,nc,1,0.8975,7.1,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
218,219,2,0.127,1.36,sig,d/p,e,nc,1,1.076,7.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
219,220,2,0.711,6.623,sig,d/p,e,nc,1,0.752,4.6,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
220,221,2,0.632,6.183,sig,d/p,e,nc,1,0.717,3.1,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
221,222,2,0.56,5.742,sig,d/p,e,nc,1,0.754,3.0,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
222,223,2,0.494,5.299,sig,d/p,e,nc,1,0.774,2.9,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
223,224,2,0.434,4.857,sig,d/p,e,nc,1,0.803,2.9,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
224,225,2,0.366,4.308,sig,d/p,e,nc,1,0.7905,2.0,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
225,226,2,0.332,4.011,sig,d/p,e,nc,1,0.7855,3.1,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
226,227,2,0.306,3.777,sig,d/p,e,nc,1,0.763,3.4,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
227,228,2,0.281,3.535,sig,d/p,e,nc,1,0.7955,3.8,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
228,229,2,0.259,3.319,sig,d/p,e,nc,1,0.9025,4.5,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
229,230,2,0.237,3.095,sig,d/p,e,nc,1,0.8795,4.6,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
230,231,2,0.196,2.65,sig,d/p,e,nc,1,0.9395,5.1,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
231,232,2,0.158,2.211,sig,d/p,e,nc,1,0.8365,9.5,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
232,233,2,0.781,10.849,sig,d/p,e,nc,1,0.732,6.3,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
233,234,2,0.714,10.246,sig,d/p,e,nc,1,0.6935,5.0,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
234,235,2,0.651,9.646,sig,d/p,e,nc,1,0.7385,4.2,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
235,236,2,0.591,9.043,sig,d/p,e,nc,1,0.7405,4.3,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
236,237,2,0.535,8.44,sig,d/p,e,nc,1,0.7225,2.9,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
237,238,2,0.483,7.837,sig,d/p,e,nc,1,0.762,3.1,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
238,239,2,0.433,7.234,sig,d/p,e,nc,1,0.8125,3.1,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
239,240,2,0.386,6.631,sig,d/p,e,nc,1,0.786,3.3,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
240,241,2,0.342,6.029,sig,d/p,e,nc,1,0.8465,3.3,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
241,242,2,0.287,5.236,sig,d/p,e,nc,1,0.8365,3.0,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
242,243,2,0.26,4.823,sig,d/p,e,nc,1,0.8845,4.2,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
243,244,2,0.21,4.027,sig,d/p,e,nc,1,0.8295,9.6,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
244,245,2,0.872,15.981,sig,d/p,e,nc,1,0.9355,16.9,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
245,246,2,0.809,15.22,sig,d/p,e,nc,1,0.8335,16.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
246,247,2,0.75,14.459,sig,d/p,e,nc,1,0.671,7.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
247,248,2,0.694,13.698,sig,d/p,e,nc,1,0.6915,5.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
248,249,2,0.64,12.937,sig,d/p,e,nc,1,0.7005,4.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
249,250,2,0.589,12.176,sig,d/p,e,nc,1,0.7755,4.1,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
250,251,2,0.54,11.415,sig,d/p,e,nc,1,0.749,4.2,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
251,252,2,0.493,10.654,sig,d/p,e,nc,1,0.7565,4.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
252,253,2,0.448,9.893,sig,d/p,e,nc,1,0.8085,4.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
253,254,2,0.405,9.132,sig,d/p,e,nc,1,0.801,3.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
254,255,2,0.364,8.371,sig,d/p,e,nc,1,0.815,4.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
255,256,2,0.316,7.444,sig,d/p,e,nc,1,0.828,2.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
256,257,2,0.286,6.849,sig,d/p,e,nc,1,0.845,5.1,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
257,258,2,0.249,6.088,sig,d/p,e,nc,1,0.974,6.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
258,259,2,0.214,5.327,sig,d/p,e,nc,1,0.878,4.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
259,260,2,0.854,20.078,sig,d/p,e,nc,1,0.8785,13.8,0.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
260,261,2,0.799,19.165,sig,d/p,e,nc,1,0.7155,11.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
261,262,2,0.746,18.251,sig,d/p,e,nc,1,0.7195,7.8,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
262,263,2,0.668,16.816,sig,d/p,e,nc,1,0.7105,4.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
263,264,2,0.599,15.504,sig,d/p,e,nc,1,0.6845,4.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
264,265,2,0.554,14.591,sig,d/p,e,nc,1,0.7185,4.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
265,266,2,0.51,13.681,sig,d/p,e,nc,1,0.76,5.1,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
266,267,2,0.468,12.761,sig,d/p,e,nc,1,0.7705,3.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
267,268,2,0.428,11.862,sig,d/p,e,nc,1,0.7425,3.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
268,269,2,0.389,10.96,sig,d/p,e,nc,1,0.7435,4.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
269,270,2,0.349,10.021,sig,d/p,e,nc,1,0.7675,4.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
270,271,2,0.313,9.133,sig,d/p,e,nc,1,0.833,5.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
271,272,2,0.278,8.22,sig,d/p,e,nc,1,0.864,6.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
272,273,2,0.243,7.306,sig,d/p,e,nc,1,0.9465,9.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
273,274,2,0.547,2.772,sig,d/p,e,nc,1,0.7935,3.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
274,275,2,0.453,2.464,sig,d/p,e,nc,1,0.7605,3.2,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
275,276,2,0.37,2.156,sig,d/p,e,nc,1,0.849,4.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
276,277,2,0.298,1.848,sig,d/p,e,nc,1,0.853,3.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
277,278,2,0.234,1.54,sig,d/p,e,nc,1,0.8965,3.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
278,279,2,0.67,4.471,sig,d/p,e,nc,1,0.7005,3.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
279,280,2,0.556,3.974,sig,d/p,e,nc,1,0.7715,3.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
280,281,2,0.457,3.477,sig,d/p,e,nc,1,0.8,3.2,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
281,282,2,0.369,2.98,sig,d/p,e,nc,1,0.797,3.4,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
282,283,2,0.29,2.484,sig,d/p,e,nc,1,0.845,3.2,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
283,284,2,0.22,1.987,sig,d/p,e,nc,1,0.828,9.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
284,285,2,0.768,7.443,sig,d/p,e,nc,1,0.716,6.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
285,286,2,0.666,6.767,sig,d/p,e,nc,1,0.785,4.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
286,287,2,0.573,6.09,sig,d/p,e,nc,1,0.7225,3.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
287,288,2,0.488,5.413,sig,d/p,e,nc,1,0.739,3.8,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
288,289,2,0.41,4.739,sig,d/p,e,nc,1,0.7775,3.8,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
289,290,2,0.332,4.006,sig,d/p,e,nc,1,0.8495,4.2,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
290,291,2,0.781,10.277,sig,d/p,e,nc,1,0.7705,14.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
291,292,2,0.691,9.421,sig,d/p,e,nc,1,0.748,10.3,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
292,293,2,0.607,8.565,sig,d/p,e,nc,1,0.697,7.8,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
293,294,2,0.529,7.708,sig,d/p,e,nc,1,0.7365,5.9,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
294,295,2,0.456,6.852,sig,d/p,e,nc,1,0.718,5.2,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
295,296,2,0.387,5.995,sig,d/p,e,nc,1,0.762,5.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
