,exp,x,Q2,value,stat_u,sys_u,Ebeam,%*norm_c,target,lepton beam,current,obs
295,bcdms,0.275,37.5,0.27396,0.00704,0.00105,280,3,p,mu,NC,sig_r
296,bcdms,0.275,43.0,0.27856,0.00659,0.00094,280,3,p,mu,NC,sig_r
297,bcdms,0.275,49.5,0.26652,0.00657,0.00101,280,3,p,mu,NC,sig_r
298,bcdms,0.275,57.0,0.27485,0.00459,0.00098,280,3,p,mu,NC,sig_r
299,bcdms,0.275,65.5,0.26066,0.00471,0.00081,280,3,p,mu,NC,sig_r
300,bcdms,0.275,75.0,0.27476,0.00518,0.00087,280,3,p,mu,NC,sig_r
301,bcdms,0.275,86.0,0.2596,0.00508,0.00045,280,3,p,mu,NC,sig_r
302,bcdms,0.275,99.0,0.25794,0.0063,0.00045,280,3,p,mu,NC,sig_r
303,bcdms,0.275,115.5,0.25851,0.00693,0.00045,280,3,p,mu,NC,sig_r
304,bcdms,0.35,43.0,0.20759,0.00472,0.00091,280,3,p,mu,NC,sig_r
305,bcdms,0.35,49.5,0.21481,0.0048,0.0008,280,3,p,mu,NC,sig_r
306,bcdms,0.35,57.0,0.21242,0.00329,0.00075,280,3,p,mu,NC,sig_r
307,bcdms,0.35,65.5,0.20092,0.00333,0.00061,280,3,p,mu,NC,sig_r
308,bcdms,0.35,75.0,0.20936,0.0036,0.00055,280,3,p,mu,NC,sig_r
309,bcdms,0.35,86.0,0.20583,0.00358,0.00072,280,3,p,mu,NC,sig_r
310,bcdms,0.35,99.0,0.20313,0.00375,0.00062,280,3,p,mu,NC,sig_r
311,bcdms,0.35,115.5,0.20358,0.00441,0.00041,280,3,p,mu,NC,sig_r
312,bcdms,0.35,137.5,0.20044,0.00472,0.0004,280,3,p,mu,NC,sig_r
313,bcdms,0.45,43.0,0.12927,0.00441,0.00124,280,3,p,mu,NC,sig_r
314,bcdms,0.45,49.5,0.13776,0.00453,0.00126,280,3,p,mu,NC,sig_r
315,bcdms,0.45,57.0,0.13211,0.00296,0.00084,280,3,p,mu,NC,sig_r
316,bcdms,0.45,65.5,0.12867,0.00308,0.00068,280,3,p,mu,NC,sig_r
317,bcdms,0.45,75.0,0.13325,0.00326,0.00058,280,3,p,mu,NC,sig_r
318,bcdms,0.45,86.0,0.1266,0.00317,0.00055,280,3,p,mu,NC,sig_r
319,bcdms,0.45,99.0,0.13142,0.00336,0.00051,280,3,p,mu,NC,sig_r
320,bcdms,0.45,115.5,0.11975,0.00329,0.00045,280,3,p,mu,NC,sig_r
321,bcdms,0.45,137.5,0.11797,0.00388,0.00035,280,3,p,mu,NC,sig_r
322,bcdms,0.45,175.0,0.11841,0.00365,0.00033,280,3,p,mu,NC,sig_r
323,bcdms,0.55,43.0,0.07503,0.00349,0.00132,280,3,p,mu,NC,sig_r
324,bcdms,0.55,49.5,0.0768,0.00348,0.0012,280,3,p,mu,NC,sig_r
325,bcdms,0.55,57.0,0.07392,0.00221,0.00098,280,3,p,mu,NC,sig_r
326,bcdms,0.55,65.5,0.06995,0.00234,0.00079,280,3,p,mu,NC,sig_r
327,bcdms,0.55,75.0,0.07265,0.00258,0.00071,280,3,p,mu,NC,sig_r
328,bcdms,0.55,86.0,0.0675,0.00247,0.00061,280,3,p,mu,NC,sig_r
329,bcdms,0.55,99.0,0.06949,0.00262,0.00054,280,3,p,mu,NC,sig_r
330,bcdms,0.55,115.5,0.06775,0.00263,0.00048,280,3,p,mu,NC,sig_r
331,bcdms,0.55,137.5,0.07042,0.00324,0.00046,280,3,p,mu,NC,sig_r
332,bcdms,0.55,175.0,0.0599,0.00273,0.00034,280,3,p,mu,NC,sig_r
333,bcdms,0.55,230.0,0.06091,0.00366,0.00029,280,3,p,mu,NC,sig_r
334,bcdms,0.65,49.5,0.03371,0.00212,0.00129,280,3,p,mu,NC,sig_r
335,bcdms,0.65,57.0,0.03359,0.00136,0.00109,280,3,p,mu,NC,sig_r
336,bcdms,0.65,65.5,0.03077,0.00138,0.00082,280,3,p,mu,NC,sig_r
337,bcdms,0.65,75.0,0.03236,0.00156,0.00075,280,3,p,mu,NC,sig_r
338,bcdms,0.65,86.0,0.03091,0.0016,0.00061,280,3,p,mu,NC,sig_r
339,bcdms,0.65,99.0,0.03182,0.00173,0.00054,280,3,p,mu,NC,sig_r
340,bcdms,0.65,115.5,0.029,0.00167,0.00044,280,3,p,mu,NC,sig_r
341,bcdms,0.65,137.5,0.0316,0.00221,0.00041,280,3,p,mu,NC,sig_r
342,bcdms,0.65,175.0,0.02724,0.00189,0.0003,280,3,p,mu,NC,sig_r
343,bcdms,0.65,230.0,0.02965,0.00248,0.00027,280,3,p,mu,NC,sig_r
344,bcdms,0.75,57.0,0.01165,0.00077,0.00112,280,3,p,mu,NC,sig_r
345,bcdms,0.75,65.5,0.01225,0.00087,0.00103,280,3,p,mu,NC,sig_r
346,bcdms,0.75,75.0,0.01111,0.00091,0.0008,280,3,p,mu,NC,sig_r
347,bcdms,0.75,86.0,0.00985,0.00088,0.00061,280,3,p,mu,NC,sig_r
348,bcdms,0.75,99.0,0.0101,0.00098,0.00049,280,3,p,mu,NC,sig_r
349,bcdms,0.75,115.5,0.00833,0.00093,0.00036,280,3,p,mu,NC,sig_r
350,bcdms,0.75,137.5,0.00925,0.00106,0.00033,280,3,p,mu,NC,sig_r
351,bcdms,0.75,175.0,0.00832,0.00098,0.00025,280,3,p,mu,NC,sig_r
352,bcdms,0.75,230.0,0.00798,0.0013,0.00016,280,3,p,mu,NC,sig_r
