,exp,Elab,x,Q2,obs,target,lepton beam,current,units,value unscaled,stat unscaled,sys unscaled,value,stat_u,sys_u,*norm_c
213,bonus,4.223,0.585,1.2,F2,n/d,e_minus,NC,1,0.444,0.039,0.018,0.888,0.078,0.036,0.03996
214,bonus,4.223,0.57,1.2,F2,n/d,e_minus,NC,1,0.395,0.038,0.015,0.79,0.076,0.03,0.03555
215,bonus,4.223,0.556,1.2,F2,n/d,e_minus,NC,1,0.383,0.037,0.013,0.766,0.074,0.026,0.03447
216,bonus,4.223,0.542,1.2,F2,n/d,e_minus,NC,1,0.435,0.039,0.014,0.87,0.078,0.028,0.03915
217,bonus,4.223,0.528,1.199,F2,n/d,e_minus,NC,1,0.42,0.037,0.013,0.84,0.074,0.026,0.0378
218,bonus,4.223,0.517,1.199,F2,n/d,e_minus,NC,1,0.447,0.038,0.013,0.894,0.076,0.026,0.04023
219,bonus,4.223,0.505,1.199,F2,n/d,e_minus,NC,1,0.457,0.037,0.013,0.914,0.074,0.026,0.04113
220,bonus,4.223,0.491,1.198,F2,n/d,e_minus,NC,1,0.412,0.035,0.011,0.824,0.07,0.022,0.037079999999999995
221,bonus,4.223,0.48,1.198,F2,n/d,e_minus,NC,1,0.393,0.034,0.01,0.786,0.068,0.02,0.03537
222,bonus,4.223,0.47,1.198,F2,n/d,e_minus,NC,1,0.445,0.034,0.01,0.89,0.068,0.02,0.04005
223,bonus,4.223,0.458,1.198,F2,n/d,e_minus,NC,1,0.462,0.034,0.01,0.924,0.068,0.02,0.04158
224,bonus,4.223,0.448,1.197,F2,n/d,e_minus,NC,1,0.426,0.032,0.009,0.852,0.064,0.018,0.03834
225,bonus,4.223,0.439,1.197,F2,n/d,e_minus,NC,1,0.418,0.031,0.008,0.836,0.062,0.016,0.037619999999999994
226,bonus,4.223,0.429,1.198,F2,n/d,e_minus,NC,1,0.409,0.03,0.008,0.818,0.06,0.016,0.036809999999999996
227,bonus,4.223,0.418,1.198,F2,n/d,e_minus,NC,1,0.422,0.031,0.008,0.844,0.062,0.016,0.03798
228,bonus,4.223,0.409,1.198,F2,n/d,e_minus,NC,1,0.366,0.03,0.006,0.732,0.06,0.012,0.03294
229,bonus,4.223,0.4,1.198,F2,n/d,e_minus,NC,1,0.422,0.03,0.007,0.844,0.06,0.014,0.03798
230,bonus,4.223,0.392,1.198,F2,n/d,e_minus,NC,1,0.409,0.03,0.007,0.818,0.06,0.014,0.036809999999999996
231,bonus,4.223,0.384,1.198,F2,n/d,e_minus,NC,1,0.42,0.03,0.006,0.84,0.06,0.012,0.0378
232,bonus,4.223,0.376,1.199,F2,n/d,e_minus,NC,1,0.427,0.031,0.006,0.854,0.062,0.012,0.03843
233,bonus,4.223,0.368,1.198,F2,n/d,e_minus,NC,1,0.443,0.03,0.006,0.886,0.06,0.012,0.039869999999999996
234,bonus,4.223,0.36,1.199,F2,n/d,e_minus,NC,1,0.414,0.029,0.006,0.828,0.058,0.012,0.037259999999999995
235,bonus,4.223,0.353,1.198,F2,n/d,e_minus,NC,1,0.392,0.028,0.005,0.784,0.056,0.01,0.03528
236,bonus,4.223,0.347,1.198,F2,n/d,e_minus,NC,1,0.396,0.028,0.005,0.792,0.056,0.01,0.03564
237,bonus,4.223,0.338,1.198,F2,n/d,e_minus,NC,1,0.395,0.028,0.005,0.79,0.056,0.01,0.03555
238,bonus,4.223,0.331,1.198,F2,n/d,e_minus,NC,1,0.425,0.029,0.005,0.85,0.058,0.01,0.03825
239,bonus,4.223,0.325,1.198,F2,n/d,e_minus,NC,1,0.455,0.03,0.005,0.91,0.06,0.01,0.04095
240,bonus,4.223,0.319,1.198,F2,n/d,e_minus,NC,1,0.423,0.029,0.005,0.846,0.058,0.01,0.03807
241,bonus,4.223,0.312,1.198,F2,n/d,e_minus,NC,1,0.384,0.028,0.004,0.768,0.056,0.008,0.03456
242,bonus,4.223,0.307,1.197,F2,n/d,e_minus,NC,1,0.445,0.03,0.005,0.89,0.06,0.01,0.04005
243,bonus,4.223,0.301,1.197,F2,n/d,e_minus,NC,1,0.449,0.03,0.005,0.898,0.06,0.01,0.04041
244,bonus,4.223,0.295,1.198,F2,n/d,e_minus,NC,1,0.486,0.031,0.005,0.972,0.062,0.01,0.043739999999999994
245,bonus,4.223,0.29,1.198,F2,n/d,e_minus,NC,1,0.442,0.03,0.004,0.884,0.06,0.008,0.039779999999999996
246,bonus,4.223,0.285,1.199,F2,n/d,e_minus,NC,1,0.46,0.03,0.004,0.92,0.06,0.008,0.0414
247,bonus,4.223,0.28,1.2,F2,n/d,e_minus,NC,1,0.423,0.029,0.004,0.846,0.058,0.008,0.03807
248,bonus,4.223,0.275,1.201,F2,n/d,e_minus,NC,1,0.39,0.027,0.004,0.78,0.054,0.008,0.0351
249,bonus,4.223,0.27,1.202,F2,n/d,e_minus,NC,1,0.434,0.029,0.004,0.868,0.058,0.008,0.03906
250,bonus,4.223,0.265,1.203,F2,n/d,e_minus,NC,1,0.392,0.027,0.003,0.784,0.054,0.006,0.03528
251,bonus,4.223,0.261,1.203,F2,n/d,e_minus,NC,1,0.428,0.027,0.004,0.856,0.054,0.008,0.03852
252,bonus,4.223,0.255,1.202,F2,n/d,e_minus,NC,1,0.441,0.028,0.004,0.882,0.056,0.008,0.039689999999999996
253,bonus,4.223,0.251,1.203,F2,n/d,e_minus,NC,1,0.422,0.027,0.003,0.844,0.054,0.006,0.03798
254,bonus,4.223,0.247,1.203,F2,n/d,e_minus,NC,1,0.407,0.026,0.003,0.814,0.052,0.006,0.036629999999999996
255,bonus,4.223,0.796,1.425,F2,n/d,e_minus,NC,1,0.131,0.035,0.015,0.262,0.07,0.03,0.01179
256,bonus,4.223,0.776,1.424,F2,n/d,e_minus,NC,1,0.372,0.06,0.038,0.744,0.12,0.076,0.033479999999999996
257,bonus,4.223,0.759,1.424,F2,n/d,e_minus,NC,1,0.389,0.064,0.036,0.778,0.128,0.072,0.03501
258,bonus,4.223,0.739,1.423,F2,n/d,e_minus,NC,1,0.539,0.067,0.045,1.078,0.134,0.09,0.048510000000000005
259,bonus,4.223,0.722,1.423,F2,n/d,e_minus,NC,1,0.781,0.07,0.061,1.562,0.14,0.122,0.07029
260,bonus,4.223,0.703,1.423,F2,n/d,e_minus,NC,1,0.676,0.063,0.049,1.352,0.126,0.098,0.060840000000000005
261,bonus,4.223,0.688,1.422,F2,n/d,e_minus,NC,1,0.623,0.056,0.041,1.246,0.112,0.082,0.056069999999999995
262,bonus,4.223,0.672,1.423,F2,n/d,e_minus,NC,1,0.556,0.051,0.034,1.112,0.102,0.068,0.05004
263,bonus,4.223,0.656,1.423,F2,n/d,e_minus,NC,1,0.502,0.047,0.028,1.004,0.094,0.056,0.04518
264,bonus,4.223,0.641,1.425,F2,n/d,e_minus,NC,1,0.458,0.045,0.024,0.916,0.09,0.048,0.04122
265,bonus,4.223,0.626,1.424,F2,n/d,e_minus,NC,1,0.536,0.048,0.026,1.072,0.096,0.052,0.04824
266,bonus,4.223,0.612,1.423,F2,n/d,e_minus,NC,1,0.414,0.044,0.019,0.828,0.088,0.038,0.037259999999999995
267,bonus,4.223,0.597,1.424,F2,n/d,e_minus,NC,1,0.414,0.044,0.018,0.828,0.088,0.036,0.037259999999999995
268,bonus,4.223,0.584,1.424,F2,n/d,e_minus,NC,1,0.394,0.042,0.016,0.788,0.084,0.032,0.03546
269,bonus,4.223,0.572,1.424,F2,n/d,e_minus,NC,1,0.393,0.042,0.015,0.786,0.084,0.03,0.03537
270,bonus,4.223,0.558,1.424,F2,n/d,e_minus,NC,1,0.369,0.04,0.013,0.738,0.08,0.026,0.033209999999999996
271,bonus,4.223,0.548,1.424,F2,n/d,e_minus,NC,1,0.375,0.04,0.013,0.75,0.08,0.026,0.03375
272,bonus,4.223,0.535,1.424,F2,n/d,e_minus,NC,1,0.41,0.04,0.013,0.82,0.08,0.026,0.036899999999999995
273,bonus,4.223,0.524,1.424,F2,n/d,e_minus,NC,1,0.414,0.04,0.012,0.828,0.08,0.024,0.037259999999999995
274,bonus,4.223,0.513,1.424,F2,n/d,e_minus,NC,1,0.453,0.04,0.013,0.906,0.08,0.026,0.04077
275,bonus,4.223,0.502,1.425,F2,n/d,e_minus,NC,1,0.489,0.04,0.013,0.978,0.08,0.026,0.04401
276,bonus,4.223,0.491,1.425,F2,n/d,e_minus,NC,1,0.463,0.038,0.012,0.926,0.076,0.024,0.04167
277,bonus,4.223,0.481,1.426,F2,n/d,e_minus,NC,1,0.436,0.037,0.011,0.872,0.074,0.022,0.03924
278,bonus,4.223,0.473,1.425,F2,n/d,e_minus,NC,1,0.451,0.037,0.011,0.902,0.074,0.022,0.04059
279,bonus,4.223,0.462,1.425,F2,n/d,e_minus,NC,1,0.403,0.035,0.009,0.806,0.07,0.018,0.036270000000000004
280,bonus,4.223,0.452,1.425,F2,n/d,e_minus,NC,1,0.365,0.033,0.008,0.73,0.066,0.016,0.03285
281,bonus,4.223,0.443,1.425,F2,n/d,e_minus,NC,1,0.381,0.034,0.008,0.762,0.068,0.016,0.03429
282,bonus,4.223,0.434,1.425,F2,n/d,e_minus,NC,1,0.409,0.034,0.008,0.818,0.068,0.016,0.036809999999999996
283,bonus,4.223,0.426,1.424,F2,n/d,e_minus,NC,1,0.435,0.035,0.008,0.87,0.07,0.016,0.03915
284,bonus,4.223,0.416,1.425,F2,n/d,e_minus,NC,1,0.394,0.034,0.007,0.788,0.068,0.014,0.03546
285,bonus,4.223,0.409,1.425,F2,n/d,e_minus,NC,1,0.419,0.034,0.007,0.838,0.068,0.014,0.03771
286,bonus,4.223,0.402,1.426,F2,n/d,e_minus,NC,1,0.358,0.031,0.006,0.716,0.062,0.012,0.03222
287,bonus,4.223,0.394,1.426,F2,n/d,e_minus,NC,1,0.405,0.032,0.007,0.81,0.064,0.014,0.03645
288,bonus,4.223,0.386,1.425,F2,n/d,e_minus,NC,1,0.364,0.03,0.006,0.728,0.06,0.012,0.03276
289,bonus,4.223,0.38,1.427,F2,n/d,e_minus,NC,1,0.364,0.03,0.005,0.728,0.06,0.01,0.03276
290,bonus,4.223,0.373,1.426,F2,n/d,e_minus,NC,1,0.357,0.03,0.005,0.714,0.06,0.01,0.03213
291,bonus,4.223,0.366,1.428,F2,n/d,e_minus,NC,1,0.383,0.03,0.005,0.766,0.06,0.01,0.03447
292,bonus,4.223,0.358,1.43,F2,n/d,e_minus,NC,1,0.351,0.029,0.005,0.702,0.058,0.01,0.03159
293,bonus,4.223,0.352,1.429,F2,n/d,e_minus,NC,1,0.405,0.03,0.005,0.81,0.06,0.01,0.03645
294,bonus,4.223,0.346,1.43,F2,n/d,e_minus,NC,1,0.412,0.03,0.005,0.824,0.06,0.01,0.037079999999999995
295,bonus,4.223,0.34,1.43,F2,n/d,e_minus,NC,1,0.394,0.029,0.005,0.788,0.058,0.01,0.03546
296,bonus,4.223,0.332,1.43,F2,n/d,e_minus,NC,1,0.386,0.029,0.005,0.772,0.058,0.01,0.03474
297,bonus,4.223,0.326,1.429,F2,n/d,e_minus,NC,1,0.413,0.03,0.005,0.826,0.06,0.01,0.037169999999999995
298,bonus,4.223,0.321,1.428,F2,n/d,e_minus,NC,1,0.421,0.03,0.005,0.842,0.06,0.01,0.03789
299,bonus,4.223,0.315,1.428,F2,n/d,e_minus,NC,1,0.419,0.029,0.005,0.838,0.058,0.01,0.03771
300,bonus,4.223,0.311,1.428,F2,n/d,e_minus,NC,1,0.433,0.03,0.005,0.866,0.06,0.01,0.03897
301,bonus,4.223,0.305,1.428,F2,n/d,e_minus,NC,1,0.464,0.03,0.005,0.928,0.06,0.01,0.04176
302,bonus,4.223,0.299,1.428,F2,n/d,e_minus,NC,1,0.358,0.027,0.004,0.716,0.054,0.008,0.03222
303,bonus,4.223,0.822,1.699,F2,n/d,e_minus,NC,1,0.152,0.041,0.019,0.304,0.082,0.038,0.01368
304,bonus,4.223,0.805,1.696,F2,n/d,e_minus,NC,1,0.315,0.066,0.037,0.63,0.132,0.074,0.02835
305,bonus,4.223,0.786,1.697,F2,n/d,e_minus,NC,1,0.398,0.074,0.042,0.796,0.148,0.084,0.03582
306,bonus,4.223,0.769,1.696,F2,n/d,e_minus,NC,1,0.509,0.078,0.05,1.018,0.156,0.1,0.04581
307,bonus,4.223,0.754,1.694,F2,n/d,e_minus,NC,1,0.545,0.078,0.05,1.09,0.156,0.1,0.04905
308,bonus,4.223,0.74,1.695,F2,n/d,e_minus,NC,1,0.799,0.083,0.068,1.598,0.166,0.136,0.07191
309,bonus,4.223,0.724,1.695,F2,n/d,e_minus,NC,1,0.58,0.069,0.046,1.16,0.138,0.092,0.052199999999999996
310,bonus,4.223,0.71,1.695,F2,n/d,e_minus,NC,1,0.485,0.06,0.035,0.97,0.12,0.07,0.043649999999999994
311,bonus,4.223,0.695,1.696,F2,n/d,e_minus,NC,1,0.536,0.062,0.037,1.072,0.124,0.074,0.04824
312,bonus,4.223,0.679,1.695,F2,n/d,e_minus,NC,1,0.422,0.054,0.027,0.844,0.108,0.054,0.03798
313,bonus,4.223,0.665,1.698,F2,n/d,e_minus,NC,1,0.412,0.053,0.024,0.824,0.106,0.048,0.037079999999999995
314,bonus,4.223,0.653,1.697,F2,n/d,e_minus,NC,1,0.392,0.053,0.022,0.784,0.106,0.044,0.03528
315,bonus,4.223,0.638,1.697,F2,n/d,e_minus,NC,1,0.375,0.051,0.02,0.75,0.102,0.04,0.03375
316,bonus,4.223,0.628,1.699,F2,n/d,e_minus,NC,1,0.388,0.05,0.019,0.776,0.1,0.038,0.03492
317,bonus,4.223,0.612,1.698,F2,n/d,e_minus,NC,1,0.357,0.049,0.017,0.714,0.098,0.034,0.03213
318,bonus,4.223,0.604,1.7,F2,n/d,e_minus,NC,1,0.419,0.051,0.019,0.838,0.102,0.038,0.03771
319,bonus,4.223,0.59,1.7,F2,n/d,e_minus,NC,1,0.446,0.049,0.019,0.892,0.098,0.038,0.04014
320,bonus,4.223,0.581,1.701,F2,n/d,e_minus,NC,1,0.293,0.043,0.012,0.586,0.086,0.024,0.026369999999999998
321,bonus,4.223,0.568,1.702,F2,n/d,e_minus,NC,1,0.346,0.043,0.013,0.692,0.086,0.026,0.031139999999999998
322,bonus,4.223,0.555,1.703,F2,n/d,e_minus,NC,1,0.45,0.047,0.016,0.9,0.094,0.032,0.0405
323,bonus,4.223,0.546,1.703,F2,n/d,e_minus,NC,1,0.456,0.046,0.015,0.912,0.092,0.03,0.04104
324,bonus,4.223,0.535,1.703,F2,n/d,e_minus,NC,1,0.414,0.042,0.013,0.828,0.084,0.026,0.037259999999999995
325,bonus,4.223,0.527,1.704,F2,n/d,e_minus,NC,1,0.39,0.04,0.012,0.78,0.08,0.024,0.0351
326,bonus,4.223,0.517,1.704,F2,n/d,e_minus,NC,1,0.386,0.04,0.011,0.772,0.08,0.022,0.03474
327,bonus,4.223,0.507,1.705,F2,n/d,e_minus,NC,1,0.395,0.04,0.011,0.79,0.08,0.022,0.03555
328,bonus,4.223,0.497,1.705,F2,n/d,e_minus,NC,1,0.387,0.039,0.01,0.774,0.078,0.02,0.03483
329,bonus,4.223,0.486,1.704,F2,n/d,e_minus,NC,1,0.375,0.037,0.01,0.75,0.074,0.02,0.03375
330,bonus,4.223,0.478,1.704,F2,n/d,e_minus,NC,1,0.351,0.036,0.009,0.702,0.072,0.018,0.03159
331,bonus,4.223,0.47,1.704,F2,n/d,e_minus,NC,1,0.439,0.038,0.01,0.878,0.076,0.02,0.039509999999999997
332,bonus,4.223,0.46,1.704,F2,n/d,e_minus,NC,1,0.456,0.039,0.01,0.912,0.078,0.02,0.04104
333,bonus,4.223,0.452,1.704,F2,n/d,e_minus,NC,1,0.425,0.037,0.009,0.85,0.074,0.018,0.03825
334,bonus,4.223,0.444,1.702,F2,n/d,e_minus,NC,1,0.384,0.034,0.008,0.768,0.068,0.016,0.03456
335,bonus,4.223,0.436,1.704,F2,n/d,e_minus,NC,1,0.418,0.035,0.008,0.836,0.07,0.016,0.037619999999999994
336,bonus,4.223,0.429,1.704,F2,n/d,e_minus,NC,1,0.385,0.033,0.007,0.77,0.066,0.014,0.03465
337,bonus,4.223,0.421,1.704,F2,n/d,e_minus,NC,1,0.335,0.031,0.006,0.67,0.062,0.012,0.03015
338,bonus,4.223,0.413,1.703,F2,n/d,e_minus,NC,1,0.356,0.032,0.006,0.712,0.064,0.012,0.03204
339,bonus,4.223,0.406,1.704,F2,n/d,e_minus,NC,1,0.396,0.033,0.007,0.792,0.066,0.014,0.03564
340,bonus,4.223,0.401,1.704,F2,n/d,e_minus,NC,1,0.345,0.031,0.006,0.69,0.062,0.012,0.031049999999999998
341,bonus,4.223,0.392,1.703,F2,n/d,e_minus,NC,1,0.386,0.032,0.006,0.772,0.064,0.012,0.03474
342,bonus,4.223,0.385,1.704,F2,n/d,e_minus,NC,1,0.397,0.033,0.006,0.794,0.066,0.012,0.03573
343,bonus,4.223,0.379,1.704,F2,n/d,e_minus,NC,1,0.398,0.032,0.006,0.796,0.064,0.012,0.03582
344,bonus,4.223,0.372,1.702,F2,n/d,e_minus,NC,1,0.396,0.032,0.006,0.792,0.064,0.012,0.03564
345,bonus,4.223,0.368,1.701,F2,n/d,e_minus,NC,1,0.461,0.035,0.007,0.922,0.07,0.014,0.04149
346,bonus,4.223,0.847,2.03,F2,n/d,e_minus,NC,1,0.105,0.048,0.015,0.21,0.096,0.03,0.00945
347,bonus,4.223,0.831,2.035,F2,n/d,e_minus,NC,1,0.189,0.071,0.025,0.378,0.142,0.05,0.01701
348,bonus,4.223,0.816,2.034,F2,n/d,e_minus,NC,1,0.308,0.089,0.038,0.616,0.178,0.076,0.027719999999999998
349,bonus,4.223,0.801,2.035,F2,n/d,e_minus,NC,1,0.511,0.102,0.059,1.022,0.204,0.118,0.045989999999999996
350,bonus,4.223,0.789,2.032,F2,n/d,e_minus,NC,1,0.628,0.107,0.068,1.256,0.214,0.136,0.05652
351,bonus,4.223,0.771,2.03,F2,n/d,e_minus,NC,1,0.541,0.089,0.054,1.082,0.178,0.108,0.048690000000000004
352,bonus,4.223,0.759,2.032,F2,n/d,e_minus,NC,1,0.669,0.094,0.063,1.338,0.188,0.126,0.06021
353,bonus,4.223,0.745,2.034,F2,n/d,e_minus,NC,1,0.618,0.084,0.054,1.236,0.168,0.108,0.055619999999999996
354,bonus,4.223,0.73,2.031,F2,n/d,e_minus,NC,1,0.619,0.083,0.05,1.238,0.166,0.1,0.055709999999999996
355,bonus,4.223,0.721,2.032,F2,n/d,e_minus,NC,1,0.448,0.07,0.035,0.896,0.14,0.07,0.04032
356,bonus,4.223,0.706,2.031,F2,n/d,e_minus,NC,1,0.361,0.06,0.026,0.722,0.12,0.052,0.03249
357,bonus,4.223,0.693,2.03,F2,n/d,e_minus,NC,1,0.385,0.063,0.026,0.77,0.126,0.052,0.03465
358,bonus,4.223,0.678,2.032,F2,n/d,e_minus,NC,1,0.299,0.056,0.019,0.598,0.112,0.038,0.026909999999999996
359,bonus,4.223,0.668,2.032,F2,n/d,e_minus,NC,1,0.296,0.055,0.018,0.592,0.11,0.036,0.026639999999999997
360,bonus,4.223,0.654,2.03,F2,n/d,e_minus,NC,1,0.341,0.056,0.019,0.682,0.112,0.038,0.030690000000000002
361,bonus,4.223,0.642,2.035,F2,n/d,e_minus,NC,1,0.296,0.054,0.016,0.592,0.108,0.032,0.026639999999999997
362,bonus,4.223,0.633,2.031,F2,n/d,e_minus,NC,1,0.358,0.057,0.018,0.716,0.114,0.036,0.03222
363,bonus,4.223,0.622,2.03,F2,n/d,e_minus,NC,1,0.427,0.059,0.021,0.854,0.118,0.042,0.03843
364,bonus,4.223,0.611,2.031,F2,n/d,e_minus,NC,1,0.357,0.054,0.016,0.714,0.108,0.032,0.03213
365,bonus,4.223,0.6,2.032,F2,n/d,e_minus,NC,1,0.49,0.058,0.022,0.98,0.116,0.044,0.0441
366,bonus,4.223,0.589,2.032,F2,n/d,e_minus,NC,1,0.392,0.053,0.016,0.784,0.106,0.032,0.03528
367,bonus,4.223,0.58,2.033,F2,n/d,e_minus,NC,1,0.48,0.054,0.019,0.96,0.108,0.038,0.043199999999999995
368,bonus,4.223,0.57,2.034,F2,n/d,e_minus,NC,1,0.388,0.05,0.015,0.776,0.1,0.03,0.03492
369,bonus,4.223,0.559,2.034,F2,n/d,e_minus,NC,1,0.412,0.05,0.015,0.824,0.1,0.03,0.037079999999999995
370,bonus,4.223,0.548,2.031,F2,n/d,e_minus,NC,1,0.424,0.05,0.014,0.848,0.1,0.028,0.03816
371,bonus,4.223,0.539,2.034,F2,n/d,e_minus,NC,1,0.404,0.048,0.013,0.808,0.096,0.026,0.03636
372,bonus,4.223,0.53,2.033,F2,n/d,e_minus,NC,1,0.311,0.042,0.01,0.622,0.084,0.02,0.027989999999999998
373,bonus,4.223,0.522,2.033,F2,n/d,e_minus,NC,1,0.439,0.047,0.013,0.878,0.094,0.026,0.039509999999999997
374,bonus,4.223,0.513,2.031,F2,n/d,e_minus,NC,1,0.476,0.048,0.014,0.952,0.096,0.028,0.042839999999999996
375,bonus,4.223,0.506,2.03,F2,n/d,e_minus,NC,1,0.403,0.045,0.011,0.806,0.09,0.022,0.036270000000000004
376,bonus,4.223,0.494,2.03,F2,n/d,e_minus,NC,1,0.461,0.046,0.012,0.922,0.092,0.024,0.04149
377,bonus,4.223,0.487,2.03,F2,n/d,e_minus,NC,1,0.397,0.043,0.01,0.794,0.086,0.02,0.03573
378,bonus,4.223,0.479,2.03,F2,n/d,e_minus,NC,1,0.318,0.039,0.008,0.636,0.078,0.016,0.02862
379,bonus,4.223,0.472,2.031,F2,n/d,e_minus,NC,1,0.368,0.041,0.009,0.736,0.082,0.018,0.03312
380,bonus,4.223,0.465,2.029,F2,n/d,e_minus,NC,1,0.413,0.042,0.01,0.826,0.084,0.02,0.037169999999999995
381,bonus,4.223,0.456,2.031,F2,n/d,e_minus,NC,1,0.409,0.042,0.009,0.818,0.084,0.018,0.036809999999999996
382,bonus,4.223,0.449,2.03,F2,n/d,e_minus,NC,1,0.396,0.041,0.008,0.792,0.082,0.016,0.03564
383,bonus,4.223,0.867,2.42,F2,n/d,e_minus,NC,1,0.095,0.052,0.015,0.19,0.104,0.03,0.00855
384,bonus,4.223,0.86,2.421,F2,n/d,e_minus,NC,1,0.073,0.082,0.011,0.146,0.164,0.022,0.0065699999999999995
385,bonus,4.223,0.84,2.42,F2,n/d,e_minus,NC,1,0.426,0.124,0.06,0.852,0.248,0.12,0.03834
386,bonus,4.223,0.829,2.417,F2,n/d,e_minus,NC,1,0.586,0.14,0.076,1.172,0.28,0.152,0.052739999999999995
387,bonus,4.223,0.814,2.417,F2,n/d,e_minus,NC,1,0.58,0.129,0.07,1.16,0.258,0.14,0.052199999999999996
388,bonus,4.223,0.801,2.414,F2,n/d,e_minus,NC,1,0.858,0.148,0.098,1.716,0.296,0.196,0.07722
389,bonus,4.223,0.79,2.419,F2,n/d,e_minus,NC,1,0.566,0.115,0.061,1.132,0.23,0.122,0.05093999999999999
390,bonus,4.223,0.778,2.417,F2,n/d,e_minus,NC,1,0.584,0.108,0.06,1.168,0.216,0.12,0.052559999999999996
391,bonus,4.223,0.76,2.42,F2,n/d,e_minus,NC,1,0.587,0.103,0.055,1.174,0.206,0.11,0.052829999999999995
392,bonus,4.223,0.75,2.416,F2,n/d,e_minus,NC,1,0.352,0.084,0.032,0.704,0.168,0.064,0.03168
393,bonus,4.223,0.739,2.415,F2,n/d,e_minus,NC,1,0.424,0.086,0.036,0.848,0.172,0.072,0.03816
394,bonus,4.223,0.727,2.418,F2,n/d,e_minus,NC,1,0.47,0.089,0.037,0.94,0.178,0.074,0.0423
395,bonus,4.223,0.715,2.416,F2,n/d,e_minus,NC,1,0.35,0.075,0.027,0.7,0.15,0.054,0.0315
396,bonus,4.223,0.703,2.419,F2,n/d,e_minus,NC,1,0.24,0.065,0.017,0.48,0.13,0.034,0.021599999999999998
397,bonus,4.223,0.692,2.419,F2,n/d,e_minus,NC,1,0.296,0.072,0.02,0.592,0.144,0.04,0.026639999999999997
398,bonus,4.223,0.681,2.416,F2,n/d,e_minus,NC,1,0.373,0.076,0.024,0.746,0.152,0.048,0.033569999999999996
399,bonus,4.223,0.673,2.42,F2,n/d,e_minus,NC,1,0.343,0.071,0.021,0.686,0.142,0.042,0.03087
400,bonus,4.223,0.663,2.419,F2,n/d,e_minus,NC,1,0.43,0.075,0.025,0.86,0.15,0.05,0.0387
401,bonus,4.223,0.653,2.421,F2,n/d,e_minus,NC,1,0.355,0.07,0.02,0.71,0.14,0.04,0.03195
402,bonus,4.223,0.642,2.42,F2,n/d,e_minus,NC,1,0.371,0.068,0.02,0.742,0.136,0.04,0.033389999999999996
403,bonus,4.223,0.631,2.418,F2,n/d,e_minus,NC,1,0.507,0.076,0.026,1.014,0.152,0.052,0.04563
404,bonus,4.223,0.621,2.419,F2,n/d,e_minus,NC,1,0.343,0.063,0.017,0.686,0.126,0.034,0.03087
405,bonus,4.223,0.613,2.419,F2,n/d,e_minus,NC,1,0.337,0.061,0.015,0.674,0.122,0.03,0.03033
406,bonus,4.223,0.6,2.418,F2,n/d,e_minus,NC,1,0.296,0.056,0.013,0.592,0.112,0.026,0.026639999999999997
407,bonus,4.223,0.593,2.42,F2,n/d,e_minus,NC,1,0.287,0.056,0.012,0.574,0.112,0.024,0.025829999999999995
408,bonus,4.223,0.585,2.418,F2,n/d,e_minus,NC,1,0.371,0.061,0.015,0.742,0.122,0.03,0.033389999999999996
409,bonus,4.223,0.575,2.417,F2,n/d,e_minus,NC,1,0.493,0.067,0.019,0.986,0.134,0.038,0.04437
410,bonus,4.223,0.566,2.415,F2,n/d,e_minus,NC,1,0.41,0.062,0.015,0.82,0.124,0.03,0.036899999999999995
411,bonus,4.223,0.554,2.412,F2,n/d,e_minus,NC,1,0.456,0.064,0.016,0.912,0.128,0.032,0.04104
412,bonus,4.223,0.887,2.877,F2,n/d,e_minus,NC,1,0.305,0.113,0.053,0.61,0.226,0.106,0.02745
413,bonus,4.223,0.872,2.875,F2,n/d,e_minus,NC,1,0.305,0.142,0.049,0.61,0.284,0.098,0.02745
414,bonus,4.223,0.862,2.875,F2,n/d,e_minus,NC,1,0.406,0.168,0.062,0.812,0.336,0.124,0.03654
415,bonus,4.223,0.851,2.88,F2,n/d,e_minus,NC,1,0.788,0.212,0.115,1.576,0.424,0.23,0.07092
416,bonus,4.223,0.838,2.875,F2,n/d,e_minus,NC,1,0.458,0.175,0.063,0.916,0.35,0.126,0.04122
417,bonus,4.223,0.824,2.87,F2,n/d,e_minus,NC,1,0.402,0.16,0.053,0.804,0.32,0.106,0.036180000000000004
418,bonus,4.223,0.815,2.873,F2,n/d,e_minus,NC,1,0.537,0.16,0.066,1.074,0.32,0.132,0.04833
419,bonus,4.223,0.802,2.87,F2,n/d,e_minus,NC,1,0.508,0.146,0.059,1.016,0.292,0.118,0.04572
420,bonus,4.223,0.79,2.867,F2,n/d,e_minus,NC,1,0.65,0.15,0.071,1.3,0.3,0.142,0.058499999999999996
421,bonus,4.223,0.778,2.873,F2,n/d,e_minus,NC,1,0.248,0.097,0.025,0.496,0.194,0.05,0.02232
422,bonus,4.223,0.767,2.863,F2,n/d,e_minus,NC,1,0.263,0.104,0.026,0.526,0.208,0.052,0.02367
423,bonus,4.223,0.759,2.874,F2,n/d,e_minus,NC,1,0.248,0.1,0.023,0.496,0.2,0.046,0.02232
424,bonus,4.223,0.752,2.867,F2,n/d,e_minus,NC,1,0.342,0.116,0.031,0.684,0.232,0.062,0.030780000000000002
425,bonus,4.223,0.742,2.874,F2,n/d,e_minus,NC,1,0.355,0.117,0.031,0.71,0.234,0.062,0.03195
