,exp,I,J,Elab,epsilon,y,x,Q2,obs,target,lepton beam,current,units,value,%ptp,%sys,%stat_u,%dSR_u,%dSY_c,%dSE_c,%dRC_c,%dN1_c,%1dN2_c,%2dN2_c,%3dN2_c,%4dN2_c,%5dN2_c,%6dN2_c,%7dN2_c,%8dN2_c,%dFSZ_c,%*norm_c
117,slac,118,2,4.504,0.835,0.410968028419183,0.337,1.171,F2,p,e,NC,1,0.27603,0.011,0.006,0.6,0.9,0.5,-0.2,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
118,slac,119,2,4.504,0.81,0.445159857904085,0.293,1.103,F2,p,e,NC,1,0.29838,0.01,0.006,0.5,0.9,0.5,-0.3,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
119,slac,120,2,4.504,0.786,0.475355239786856,0.26,1.043,F2,p,e,NC,1,0.31265,0.011,0.007,0.7,0.9,0.5,-0.3,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
120,slac,121,2,4.504,0.765,0.50044404973357,0.235,0.994,F2,p,e,NC,1,0.31662,0.015,0.007,1.2,0.9,0.5,-0.4,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
121,slac,122,2,4.504,0.711,0.55595026642984,0.188,0.884,F2,p,e,NC,1,0.32581,0.015,0.008,1.2,0.9,0.4,-0.5,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
122,slac,123,2,4.504,0.648,0.61145648312611,0.15,0.773,F2,p,e,NC,1,0.31477,0.015,0.011,1.2,0.9,0.4,-0.6,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
123,slac,124,2,4.504,0.576,0.66696269982238,0.118,0.663,F2,p,e,NC,1,0.3061,0.016,0.016,1.3,0.9,0.4,-0.7,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.3,2.1
124,slac,125,2,6.509,0.846,0.394837916730681,0.521,2.514,F2,p,e,NC,1,0.16653,0.014,0.008,1.1,0.9,0.5,0.4,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
125,slac,126,2,6.509,0.834,0.41219849439238,0.485,2.443,F2,p,e,NC,1,0.18411,0.019,0.007,1.7,0.9,0.5,0.4,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
126,slac,127,2,6.509,0.804,0.453679520663696,0.409,2.269,F2,p,e,NC,1,0.23344,0.016,0.006,1.3,0.9,0.5,0.2,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
127,slac,128,2,6.509,0.774,0.489168843140267,0.355,2.121,F2,p,e,NC,1,0.26983,0.016,0.006,1.3,0.9,0.4,0.1,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
128,slac,129,2,6.509,0.735,0.531418036564757,0.3,1.946,F2,p,e,NC,1,0.2936,0.016,0.006,1.3,0.9,0.4,0.0,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
129,slac,130,2,6.509,0.692,0.572591795974804,0.253,1.772,F2,p,e,NC,1,0.32733,0.015,0.007,1.2,0.9,0.4,-0.1,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
130,slac,131,2,6.509,0.627,0.627592564141958,0.202,1.545,F2,p,e,NC,1,0.32751,0.015,0.008,1.2,0.9,0.4,-0.3,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
131,slac,132,2,6.509,0.591,0.655553848517437,0.179,1.43,F2,p,e,NC,1,0.3251,0.016,0.009,1.3,0.9,0.4,-0.4,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
132,slac,133,2,6.509,0.553,0.683361499462283,0.157,1.313,F2,p,e,NC,1,0.33791,0.016,0.01,1.3,0.9,0.4,-0.5,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
133,slac,134,2,6.509,0.422,0.769549854048241,0.102,0.958,F2,p,e,NC,1,0.32012,0.022,0.022,2.0,0.9,0.4,-0.7,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.1,2.1
134,slac,135,2,8.614,0.836,0.409449732992803,0.649,4.297,F2,p,e,NC,1,0.08494,0.014,0.013,1.0,1.0,0.8,1.0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
135,slac,136,2,8.614,0.825,0.426282795449269,0.606,4.175,F2,p,e,NC,1,0.10065,0.018,0.012,1.5,0.9,0.7,0.9,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
136,slac,137,2,8.614,0.803,0.454608776410494,0.54,3.967,F2,p,e,NC,1,0.13808,0.013,0.011,1.0,0.9,0.6,0.8,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
137,slac,138,2,8.614,0.777,0.486649640120734,0.475,3.733,F2,p,e,NC,1,0.18281,0.014,0.009,1.1,0.9,0.5,0.6,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
138,slac,139,2,8.614,0.743,0.523450197353146,0.409,3.465,F2,p,e,NC,1,0.2246,0.015,0.008,1.2,0.9,0.5,0.5,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
139,slac,140,2,8.614,0.7,0.564778267935918,0.346,3.163,F2,p,e,NC,1,0.26887,0.015,0.008,1.2,0.9,0.4,0.3,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
140,slac,141,2,8.614,0.659,0.601230554910611,0.298,2.899,F2,p,e,NC,1,0.30317,0.014,0.008,1.1,0.9,0.4,0.2,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
141,slac,142,2,8.614,0.628,0.627466914325517,0.267,2.712,F2,p,e,NC,1,0.31102,0.018,0.009,1.6,0.9,0.4,0.1,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
142,slac,143,2,8.614,0.59,0.656373345716276,0.236,2.499,F2,p,e,NC,1,0.3363,0.015,0.01,1.2,0.9,0.4,0.0,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.9,2.1
143,slac,144,2,8.614,0.554,0.682493615045275,0.209,2.308,F2,p,e,NC,1,0.34507,0.015,0.012,1.2,0.9,0.4,-0.1,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.1,2.1
144,slac,145,2,8.614,0.523,0.704550731367541,0.189,2.149,F2,p,e,NC,1,0.35001,0.016,0.013,1.3,0.9,0.4,-0.2,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.2,2.1
145,slac,146,2,8.614,0.485,0.729858370095194,0.167,1.966,F2,p,e,NC,1,0.34082,0.024,0.013,2.2,0.9,0.4,-0.3,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.2,2.1
146,slac,147,2,8.614,0.454,0.749593684699327,0.15,1.823,F2,p,e,NC,1,0.35465,0.023,0.013,2.1,0.9,0.4,-0.4,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.1,2.1
147,slac,148,2,8.614,0.425,0.767819828186673,0.136,1.69,F2,p,e,NC,1,0.34317,0.023,0.013,2.1,0.9,0.4,-0.5,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.1,2.1
148,slac,149,2,8.614,0.327,0.825748781054098,0.095,1.268,F2,p,e,NC,1,0.32703,0.039,0.025,3.8,0.9,0.4,-0.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.3,2.1
149,slac,150,2,10.392,0.827,0.422825250192456,0.742,6.115,F2,p,e,NC,1,0.0375,0.044,0.02,4.2,1.2,1.4,1.4,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.3,2.1
150,slac,151,2,10.392,0.81,0.446689761354888,0.673,5.862,F2,p,e,NC,1,0.05873,0.042,0.017,4.1,1.0,1.0,1.3,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
151,slac,152,2,10.392,0.79,0.470939183987683,0.61,5.605,F2,p,e,NC,1,0.08898,0.037,0.015,3.6,1.0,0.8,1.2,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
152,slac,153,2,10.392,0.77,0.494803695150115,0.555,5.352,F2,p,e,NC,1,0.12325,0.032,0.013,3.1,0.9,0.6,1.0,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
153,slac,154,2,10.392,0.726,0.541281755196305,0.46,4.857,F2,p,e,NC,1,0.18538,0.011,0.011,0.6,0.9,0.5,0.8,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
154,slac,155,2,10.392,0.692,0.572748267898383,0.405,4.522,F2,p,e,NC,1,0.2251,0.014,0.011,1.1,0.9,0.5,0.7,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
155,slac,156,2,10.392,0.646,0.612586605080831,0.343,4.098,F2,p,e,NC,1,0.26848,0.016,0.01,1.3,0.9,0.4,0.5,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.7,2.1
156,slac,157,2,10.392,0.607,0.643956889915319,0.3,3.768,F2,p,e,NC,1,0.28827,0.013,0.01,1.0,0.9,0.4,0.3,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
157,slac,158,2,10.392,0.571,0.670612009237875,0.266,3.485,F2,p,e,NC,1,0.30956,0.017,0.011,1.4,0.9,0.4,0.2,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.0,2.1
158,slac,159,2,10.392,0.54,0.69284064665127,0.241,3.254,F2,p,e,NC,1,0.33705,0.023,0.012,2.1,0.9,0.4,0.1,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.1,2.1
159,slac,160,2,10.392,0.5,0.719784449576597,0.211,2.962,F2,p,e,NC,1,0.34308,0.016,0.014,1.3,0.9,0.4,-0.1,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.4,2.1
160,slac,161,2,10.392,0.467,0.741339491916859,0.19,2.74,F2,p,e,NC,1,0.34348,0.02,0.016,1.8,0.9,0.4,-0.2,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.6,2.1
161,slac,162,2,10.392,0.438,0.759719014626636,0.172,2.546,F2,p,e,NC,1,0.332,0.021,0.018,1.9,0.9,0.4,-0.3,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.7,2.1
162,slac,163,2,10.392,0.41,0.777040030792918,0.156,2.362,F2,p,e,NC,1,0.35096,0.018,0.018,1.6,0.9,0.4,-0.3,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.8,2.1
163,slac,164,2,10.392,0.381,0.79445727482679,0.141,2.178,F2,p,e,NC,1,0.32804,0.035,0.018,3.4,0.9,0.4,-0.4,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.7,2.1
164,slac,165,2,10.392,0.358,0.807832948421863,0.129,2.036,F2,p,e,NC,1,0.34459,0.034,0.017,3.3,0.9,0.4,-0.5,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.6,2.1
165,slac,166,2,10.392,0.324,0.827559661277906,0.113,1.827,F2,p,e,NC,1,0.35348,0.028,0.017,2.7,0.9,0.4,-0.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1.5,2.1
166,slac,167,2,10.392,0.273,0.85594688221709,0.091,1.526,F2,p,e,NC,1,0.33938,0.033,0.024,3.2,0.9,0.4,-0.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.3,2.1
167,slac,168,2,12.518,0.74,0.527560313149065,0.586,7.263,F2,p,e,NC,1,0.09671,0.027,0.017,2.5,0.9,0.7,1.4,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.7,2.1
168,slac,169,2,12.518,0.656,0.604809074932098,0.428,6.075,F2,p,e,NC,1,0.19787,0.028,0.013,2.7,0.9,0.5,0.9,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
169,slac,170,2,12.518,0.571,0.670794056558556,0.321,5.061,F2,p,e,NC,1,0.2768,0.03,0.012,2.9,0.9,0.4,0.5,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.0,2.1
170,slac,171,2,12.518,0.477,0.735261223837674,0.236,4.07,F2,p,e,NC,1,0.33135,0.027,0.014,2.6,0.9,0.4,0.1,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.3,2.1
171,slac,172,2,12.518,0.43,0.764818661127976,0.201,3.615,F2,p,e,NC,1,0.33628,0.027,0.017,2.6,0.9,0.4,0.0,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.7,2.1
172,slac,173,2,12.518,0.397,0.785189327368589,0.179,3.302,F2,p,e,NC,1,0.3529,0.028,0.02,2.7,0.9,0.4,-0.2,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.0,2.1
173,slac,174,2,12.518,0.361,0.8060393034031,0.157,2.982,F2,p,e,NC,1,0.36228,0.031,0.024,3.0,0.9,0.4,-0.3,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.3,2.1
174,slac,175,2,12.518,0.337,0.820338712254354,0.143,2.762,F2,p,e,NC,1,0.36571,0.032,0.025,3.1,0.9,0.4,-0.4,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.4,2.1
175,slac,176,2,12.518,0.312,0.834638121105608,0.13,2.542,F2,p,e,NC,1,0.35588,0.037,0.025,3.6,0.9,0.4,-0.5,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.4,2.1
176,slac,177,2,12.518,0.285,0.849336954785109,0.116,2.316,F2,p,e,NC,1,0.35139,0.039,0.023,3.8,0.9,0.4,-0.5,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.2,2.1
177,slac,178,2,12.518,0.265,0.860520849976035,0.106,2.144,F2,p,e,NC,1,0.36051,0.039,0.021,3.8,0.9,0.4,-0.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.0,2.1
178,slac,179,2,12.518,0.245,0.871784630132609,0.096,1.971,F2,p,e,NC,1,0.35402,0.045,0.021,4.4,0.9,0.4,-0.7,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.0,2.1
179,slac,180,2,12.518,0.208,0.890957021888481,0.08,1.669,F2,p,e,NC,1,0.35137,0.042,0.028,4.1,0.9,0.4,-0.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.7,2.1
180,slac,181,2,13.32,0.787,0.474474474474475,0.771,9.147,F2,p,e,NC,1,0.02169,0.068,0.026,6.7,1.4,1.7,1.9,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
181,slac,182,2,13.32,0.754,0.512012012012012,0.664,8.494,F2,p,e,NC,1,0.05966,0.042,0.02,4.1,1.0,1.0,1.6,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.7,2.1
182,slac,183,2,13.32,0.704,0.561711711711712,0.543,7.619,F2,p,e,NC,1,0.11629,0.021,0.017,1.9,0.9,0.6,1.3,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
183,slac,184,2,13.32,0.666,0.595945945945946,0.471,7.021,F2,p,e,NC,1,0.16418,0.017,0.015,1.5,0.9,0.5,1.1,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.9,2.1
184,slac,185,2,13.32,0.621,0.632582582582583,0.404,6.382,F2,p,e,NC,1,0.21679,0.018,0.014,1.6,0.9,0.5,0.9,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,1.0,2.1
185,slac,186,2,13.32,0.566,0.674324324324324,0.336,5.66,F2,p,e,NC,1,0.2703,0.016,0.013,1.3,0.9,0.4,0.6,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.1,2.1
186,slac,187,2,13.32,0.522,0.705105105105105,0.291,5.125,F2,p,e,NC,1,0.29717,0.015,0.013,1.2,0.9,0.4,0.4,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.2,2.1
187,slac,188,2,13.32,0.485,0.729504504504505,0.258,4.699,F2,p,e,NC,1,0.30564,0.021,0.014,1.9,0.9,0.4,0.3,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.3,2.1
188,slac,189,2,13.32,0.455,0.748948948948949,0.233,4.37,F2,p,e,NC,1,0.34292,0.024,0.015,2.2,0.9,0.4,0.1,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.4,2.1
189,slac,190,2,13.32,0.414,0.774174174174174,0.203,3.919,F2,p,e,NC,1,0.33864,0.018,0.017,1.6,0.9,0.4,0.0,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.7,2.1
190,slac,191,2,13.32,0.374,0.798123123123123,0.176,3.509,F2,p,e,NC,1,0.33939,0.022,0.021,2.0,0.9,0.4,-0.2,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.1,2.1
191,slac,192,2,13.32,0.351,0.812312312312312,0.161,3.267,F2,p,e,NC,1,0.32951,0.037,0.024,3.6,0.9,0.4,-0.3,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.3,2.1
192,slac,193,2,13.32,0.326,0.826426426426426,0.146,3.021,F2,p,e,NC,1,0.34852,0.037,0.026,3.6,0.9,0.4,-0.3,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.6,2.1
193,slac,194,2,13.32,0.28,0.851951951951952,0.121,2.573,F2,p,e,NC,1,0.34901,0.025,0.027,2.4,0.9,0.4,-0.5,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.6,2.1
194,slac,195,2,13.32,0.255,0.865915915915916,0.108,2.334,F2,p,e,NC,1,0.34363,0.05,0.024,4.9,0.9,0.4,-0.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.3,2.1
195,slac,196,2,13.32,0.236,0.876126126126126,0.098,2.153,F2,p,e,NC,1,0.36937,0.037,0.023,3.6,0.9,0.4,-0.7,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.1,2.1
196,slac,197,2,13.32,0.216,0.887387387387387,0.088,1.96,F2,p,e,NC,1,0.31517,0.07,0.024,6.9,0.9,0.4,-0.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.3,2.1
197,slac,198,2,17.027,0.737,0.530157984377753,0.789,13.363,F2,p,e,NC,1,0.01494,0.027,0.032,2.3,1.5,1.9,2.3,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,1.0,2.1
198,slac,199,2,17.027,0.707,0.559523110354143,0.701,12.528,F2,p,e,NC,1,0.0349,0.025,0.026,2.2,1.1,1.2,2.1,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,1.0,2.1
199,slac,200,2,17.027,0.674,0.588888236330534,0.621,11.693,F2,p,e,NC,1,0.06476,0.027,0.023,2.5,1.0,0.8,1.9,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,1.1,2.1
200,slac,201,2,17.027,0.64,0.618253362306924,0.55,10.858,F2,p,e,NC,1,0.1015,0.022,0.021,2.0,0.9,0.6,1.6,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,1.2,2.1
201,slac,202,2,17.027,0.593,0.654372467257885,0.469,9.816,F2,p,e,NC,1,0.15756,0.02,0.019,1.8,0.9,0.5,1.3,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,1.2,2.1
202,slac,203,2,17.027,0.557,0.680977271392494,0.417,9.069,F2,p,e,NC,1,0.19276,0.019,0.018,1.7,0.9,0.5,1.1,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,1.3,2.1
203,slac,204,2,17.027,0.514,0.710518588124743,0.362,8.22,F2,p,e,NC,1,0.22701,0.019,0.017,1.7,0.9,0.4,0.9,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,1.4,2.1
204,slac,205,2,17.027,0.465,0.742585305690962,0.308,7.302,F2,p,e,NC,1,0.27709,0.02,0.017,1.8,0.9,0.4,0.6,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.5,2.1
205,slac,206,2,17.027,0.43,0.765078992188877,0.273,6.682,F2,p,e,NC,1,0.30301,0.031,0.017,3.0,0.9,0.4,0.5,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.6,2.1
206,slac,207,2,17.027,0.406,0.779761555177072,0.251,6.264,F2,p,e,NC,1,0.32609,0.03,0.017,2.9,0.9,0.4,0.3,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.6,2.1
207,slac,208,2,17.027,0.373,0.799142538321489,0.223,5.701,F2,p,e,NC,1,0.32333,0.021,0.018,1.9,0.9,0.4,0.2,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.7,2.1
208,slac,209,2,17.027,0.339,0.818875902977624,0.196,5.139,F2,p,e,NC,1,0.35041,0.022,0.02,2.0,0.9,0.4,0.0,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,1.9,2.1
209,slac,210,2,17.027,0.305,0.838491807129853,0.171,4.594,F2,p,e,NC,1,0.32435,0.037,0.023,3.6,0.9,0.4,-0.1,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.2,2.1
210,slac,211,2,17.027,0.278,0.853174370118048,0.153,4.176,F2,p,e,NC,1,0.34563,0.036,0.027,3.5,0.9,0.4,-0.3,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,2.6,2.1
211,slac,212,2,17.027,0.249,0.86926645915311,0.134,3.718,F2,p,e,NC,1,0.35916,0.045,0.032,4.4,0.9,0.4,-0.4,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,3.1,2.1
212,slac,213,2,17.027,0.225,0.882539496094438,0.118,3.341,F2,p,e,NC,1,0.31387,0.06,0.036,5.9,0.9,0.4,-0.5,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,3.5,2.1
213,slac,214,2,17.027,0.203,0.894285546484994,0.105,3.002,F2,p,e,NC,1,0.35163,0.041,0.036,4.0,0.9,0.4,-0.6,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,3.5,2.1
214,slac,215,2,17.027,0.17,0.911904622070829,0.086,2.506,F2,p,e,NC,1,0.35834,0.086,0.032,8.6,0.9,0.4,-0.7,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,3.1,2.1
215,slac,216,2,4.506,0.72,0.511762094984465,0.464,2.009,F2,p,e,NC,1,0.20143,0.024,0.008,2.2,0.9,0.5,-0.4,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
216,slac,217,2,4.506,0.679,0.556147359076786,0.388,1.826,F2,p,e,NC,1,0.25516,0.024,0.009,2.2,0.9,0.4,-0.5,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
217,slac,218,2,4.506,0.632,0.600532623169108,0.324,1.644,F2,p,e,NC,1,0.29701,0.022,0.009,2.0,0.9,0.4,-0.6,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
218,slac,219,2,4.506,0.58,0.644917887261429,0.268,1.461,F2,p,e,NC,1,0.31615,0.024,0.01,2.2,0.9,0.4,-0.7,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
219,slac,220,2,4.506,0.523,0.689303151353751,0.219,1.278,F2,p,e,NC,1,0.32192,0.022,0.011,2.0,0.9,0.4,-0.8,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,0.7,2.1
220,slac,221,2,4.506,0.461,0.733688415446072,0.177,1.096,F2,p,e,NC,1,0.35103,0.023,0.014,2.1,0.9,0.4,-0.9,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.0,2.1
221,slac,222,2,4.506,0.393,0.778073679538393,0.139,0.913,F2,p,e,NC,1,0.33279,0.025,0.019,2.4,0.9,0.4,-1.0,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.6,2.1
222,slac,223,2,6.711,0.682,0.552972731336612,0.586,4.08,F2,p,e,NC,1,0.11441,0.028,0.008,2.7,0.9,0.6,0.0,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.5,2.1
223,slac,224,2,6.711,0.643,0.590225003725227,0.503,3.74,F2,p,e,NC,1,0.1676,0.029,0.008,2.8,0.9,0.5,-0.1,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.6,2.1
224,slac,225,2,6.711,0.59,0.636119803308002,0.414,3.315,F2,p,e,NC,1,0.22426,0.021,0.009,1.9,0.9,0.4,-0.3,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.7,2.1
225,slac,226,2,6.711,0.555,0.664729548502459,0.366,3.06,F2,p,e,NC,1,0.2419,0.03,0.01,2.9,0.9,0.4,-0.4,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
226,slac,227,2,6.711,0.516,0.693786320965579,0.319,2.788,F2,p,e,NC,1,0.28654,0.021,0.011,1.9,0.9,0.4,-0.5,0.2,0.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.9,2.1
227,slac,228,2,6.711,0.483,0.718372820742065,0.284,2.57,F2,p,e,NC,1,0.30997,0.026,0.012,2.5,0.9,0.4,-0.5,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.0,2.1
228,slac,229,2,6.711,0.452,0.73923409327969,0.256,2.38,F2,p,e,NC,1,0.32147,0.026,0.013,2.5,0.9,0.4,-0.6,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.1,2.1
229,slac,230,2,6.711,0.426,0.756966174936671,0.233,2.218,F2,p,e,NC,1,0.32457,0.027,0.015,2.6,0.9,0.4,-0.7,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.2,2.1
230,slac,231,2,6.711,0.396,0.776486365668306,0.209,2.04,F2,p,e,NC,1,0.31706,0.031,0.016,3.0,0.9,0.4,-0.7,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.3,2.1
231,slac,232,2,6.711,0.367,0.794218447325287,0.188,1.878,F2,p,e,NC,1,0.358,0.03,0.016,2.9,0.9,0.4,-0.8,0.1,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,1.4,2.1
232,slac,233,2,6.711,0.321,0.822679183430189,0.156,1.618,F2,p,e,NC,1,0.34024,0.06,0.016,5.9,0.9,0.4,-0.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1.3,2.1
233,slac,234,2,6.711,0.273,0.850990910445537,0.127,1.36,F2,p,e,NC,1,0.31027,0.063,0.02,6.2,0.9,0.4,-1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1.7,2.1
234,slac,235,2,8.713,0.665,0.569493859749799,0.711,6.623,F2,p,e,NC,1,0.04272,0.04,0.013,3.9,1.0,1.0,0.3,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.7,2.1
