,exp,X,Q2,value,obs,target,lepton beam,current,stat_u,syst_u,*norm_c,%cor1_c,%cor2_c,%cor3_c,%cor4_c,%cor5_c,*Elab,*nu,*E',*sin2(theta/2),*epsilon
69,bcdms,0.55,37.5,0.05526,F2,d,mu,NC,0.0019,0,0.0016578,0.4,1.4,0.5,0.0,0.2,120,36.3442527621632,83.6557472378368,0.000933886822837017,0.998081094736948
70,bcdms,0.55,43.0,0.05607,F2,d,mu,NC,0.0023,0,0.0016821,0.3,1.3,0.5,0.0,0.0,120,41.6747431672805,78.3252568327195,0.00114373494522537,0.997658706429206
71,bcdms,0.55,49.5,0.05516,F2,d,mu,NC,0.0024,0,0.0016548,0.2,1.1,0.4,0.0,0.0,120,47.9744136460554,72.0255863539446,0.00143178285968028,0.997079208543572
72,bcdms,0.55,57.0,0.04991,F2,d,mu,NC,0.0024,0,0.0014973,0.1,1.0,0.1,0.0,0.0,120,55.2432641984881,64.7567358015119,0.00183378606920498,0.996271020773519
73,bcdms,0.55,65.5,0.0521,F2,d,mu,NC,0.0027,0,0.001563,0.0,0.9,0.0,0.0,0.0,120,63.4812948245784,56.5187051754216,0.00241439241946178,0.995104932794714
74,bcdms,0.55,75.0,0.05026,F2,d,mu,NC,0.0029,0,0.0015078,-0.1,0.8,-0.1,0.0,0.0,120,72.6885055243264,47.3114944756736,0.00330258009668961,0.993323755559762
75,bcdms,0.55,86.0,0.04732,F2,d,mu,NC,0.003,0,0.0014196,-0.1,0.8,0.2,0.0,0.0,120,83.349486334561,36.650513665439,0.00488851720612086,0.990151271408023
76,bcdms,0.65,17.0,0.02809,F2,d,mu,NC,0.0015,0,0.0008427,4.0,6.3,8.6,0.0,1.0,120,13.941282597999,106.058717402001,0.000333934517918265,0.999273999413916
77,bcdms,0.65,19.0,0.02872,F2,d,mu,NC,0.0018,0,0.0008616,3.5,5.6,7.3,0.0,1.0,120,15.5814334918813,104.418566508119,0.000379083286210941,0.999182857706152
78,bcdms,0.65,21.5,0.02676,F2,d,mu,NC,0.0015,0,0.0008028,3.0,5.0,6.8,0.0,1.0,120,17.631622109234,102.368377890766,0.000437553740613751,0.999064836016289
79,bcdms,0.65,24.5,0.02864,F2,d,mu,NC,0.0018,0,0.0008592,2.5,4.4,5.7,0.0,1.0,120,20.0918484500574,99.9081515499426,0.000510885907454225,0.998916836088807
80,bcdms,0.65,28.0,0.02373,F2,d,mu,NC,0.0016,0,0.0007119,2.1,3.9,4.7,0.0,1.0,120,22.9621125143513,97.0378874856487,0.00060113976967976,0.998734714959682
81,bcdms,0.65,32.5,0.02464,F2,d,mu,NC,0.001,0,0.0007392,1.7,3.4,3.4,0.0,0.3,120,26.6524520255864,93.3475479744137,0.000725335960103548,0.998484157203835
82,bcdms,0.65,37.5,0.02526,F2,d,mu,NC,0.0012,0,0.0007578,1.4,2.9,2.7,0.0,0.2,120,30.7528292602919,89.2471707397081,0.00087537788988128,0.998181541964784
83,bcdms,0.65,43.0,0.02666,F2,d,mu,NC,0.0015,0,0.0007998,1.1,2.6,2.2,0.0,0.0,120,35.2632442184681,84.7367557815319,0.0010571956939713,0.997814962908677
84,bcdms,0.65,49.5,0.02457,F2,d,mu,NC,0.0016,0,0.0007371,0.8,2.3,1.8,0.0,0.0,120,40.5937346235854,79.4062653764146,0.00129870104721775,0.997328252497382
85,bcdms,0.65,57.0,0.02305,F2,d,mu,NC,0.0016,0,0.0006915,0.6,2.0,1.3,0.0,0.0,120,46.7443004756438,73.2556995243562,0.00162103427816586,0.996679021179776
86,bcdms,0.65,65.5,0.02072,F2,d,mu,NC,0.0017,0,0.0006216,0.4,1.8,1.2,0.0,0.0,120,53.7149417746433,66.2850582253567,0.00205865902492536,0.995798256090767
87,bcdms,0.65,75.0,0.02507,F2,d,mu,NC,0.0021,0,0.0007521,0.3,1.6,1.0,0.0,0.0,120,61.5056585205839,58.4943414794161,0.00267119854755496,0.994566774209638
88,bcdms,0.65,86.0,0.01941,F2,d,mu,NC,0.002,0,0.0005823,0.1,1.4,1.1,0.0,0.0,120,70.5264884369362,49.4735115630638,0.00362146653847854,0.992659340141632
89,bcdms,0.65,99.0,0.02352,F2,d,mu,NC,0.0024,0,0.0007056,0.0,1.3,0.7,0.0,0.0,120,81.1874692471707,38.8125307528293,0.00531400545131846,0.989271087194961
90,bcdms,0.75,32.5,0.00868,F2,d,mu,NC,0.0005,0,0.0002604,4.0,6.9,9.4,0.0,0.0,120,23.0987917555082,96.9012082444918,0.000698735697520904,0.998518566674992
91,bcdms,0.75,37.5,0.00986,F2,d,mu,NC,0.0007,0,0.0002958,3.3,6.0,8.4,0.0,0.0,120,26.6524520255864,93.3475479744137,0.000836926107811786,0.998239413107808
92,bcdms,0.75,43.0,0.00802,F2,d,mu,NC,0.0007,0,0.0002406,2.7,5.2,7.5,0.0,0.0,120,30.5614783226724,89.4385216773276,0.00100161911951685,0.997906825588269
93,bcdms,0.75,49.5,0.00863,F2,d,mu,NC,0.0008,0,0.0002589,2.2,4.6,6.6,0.0,0.0,120,35.181236673774,84.818763326226,0.00121582767722474,0.997474411964693
94,bcdms,0.75,57.0,0.00879,F2,d,mu,NC,0.0009,0,0.0002637,1.7,4.0,5.5,0.0,0.0,120,40.5117270788913,79.4882729211088,0.00149393106223176,0.996913299006614
