,exp,x,Q2,value,stat_u,sys_u,Elab,%*norm_c,target,lepton beam,current,obs
109,bcdms,0.18,24.5,0.30154,0.00493,0.00211,200,3,d,mu_minus,NC,sig_r
110,bcdms,0.18,28.0,0.30541,0.00465,0.00218,200,3,d,mu_minus,NC,sig_r
111,bcdms,0.18,32.5,0.30445,0.00369,0.00197,200,3,d,mu_minus,NC,sig_r
112,bcdms,0.18,37.5,0.2947,0.00376,0.00121,200,3,d,mu_minus,NC,sig_r
113,bcdms,0.18,43.0,0.29398,0.00373,0.00111,200,3,d,mu_minus,NC,sig_r
114,bcdms,0.225,28.0,0.27552,0.00443,0.00197,200,3,d,mu_minus,NC,sig_r
115,bcdms,0.225,32.5,0.26457,0.00421,0.0018,200,3,d,mu_minus,NC,sig_r
116,bcdms,0.225,37.5,0.26632,0.00339,0.00121,200,3,d,mu_minus,NC,sig_r
117,bcdms,0.225,43.0,0.26452,0.00331,0.00125,200,3,d,mu_minus,NC,sig_r
118,bcdms,0.225,49.5,0.25623,0.00334,0.00158,200,3,d,mu_minus,NC,sig_r
119,bcdms,0.225,57.0,0.24538,0.00436,0.00107,200,3,d,mu_minus,NC,sig_r
120,bcdms,0.275,28.0,0.2451,0.00457,0.00173,200,3,d,mu_minus,NC,sig_r
121,bcdms,0.275,32.5,0.23687,0.00433,0.00168,200,3,d,mu_minus,NC,sig_r
122,bcdms,0.275,37.5,0.22244,0.00325,0.00097,200,3,d,mu_minus,NC,sig_r
123,bcdms,0.275,43.0,0.2232,0.00321,0.00095,200,3,d,mu_minus,NC,sig_r
124,bcdms,0.275,49.5,0.22215,0.00327,0.00121,200,3,d,mu_minus,NC,sig_r
125,bcdms,0.275,57.0,0.21767,0.00344,0.00085,200,3,d,mu_minus,NC,sig_r
126,bcdms,0.275,65.5,0.22322,0.00458,0.00114,200,3,d,mu_minus,NC,sig_r
127,bcdms,0.275,75.0,0.20815,0.00458,0.00178,200,3,d,mu_minus,NC,sig_r
128,bcdms,0.35,32.5,0.17975,0.00302,0.00116,200,3,d,mu_minus,NC,sig_r
129,bcdms,0.35,37.5,0.17028,0.0022,0.00087,200,3,d,mu_minus,NC,sig_r
