,exp,I,J,x,Q2,obs,target,lepton beam,current,units,value,*%stat_u,*%dSR_u,*%1dN1_c,*%2dN1_c,*%3dN1_c,*%4dN1_c,*%5dN1_c,*%6dN1_c,*%7dN1_c,*%8dN1_c,*%1dN2_c,*%2dN2_c,*%3dN2_c,*%4dN2_c,*%5dN2_c,*%6dN2_c,*%7dN2_c,*%8dN2_c,%*norm_c
57,slac,58,1,0.187,1.88,sig_r,d/p,e,nc,1,0.8875,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
58,slac,59,1,0.144,1.644,sig_r,d/p,e,nc,1,0.899,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
59,slac,60,1,0.108,1.388,sig_r,d/p,e,nc,1,0.961,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
60,slac,61,1,0.077,1.114,sig_r,d/p,e,nc,1,0.95,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
61,slac,62,1,0.641,4.153,sig_r,d/p,e,nc,1,0.719,2.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
62,slac,63,1,0.579,4.042,sig_r,d/p,e,nc,1,0.7445,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
63,slac,64,1,0.553,3.992,sig_r,d/p,e,nc,1,0.7765,8.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
64,slac,65,1,0.471,3.804,sig_r,d/p,e,nc,1,0.793,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
65,slac,66,1,0.398,3.594,sig_r,d/p,e,nc,1,0.795,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
66,slac,67,1,0.332,3.357,sig_r,d/p,e,nc,1,0.8025,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
67,slac,68,1,0.273,3.092,sig_r,d/p,e,nc,1,0.8565,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
68,slac,69,1,0.224,2.819,sig_r,d/p,e,nc,1,0.8775,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
69,slac,70,1,0.179,2.509,sig_r,d/p,e,nc,1,0.8955,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
70,slac,71,1,0.142,2.189,sig_r,d/p,e,nc,1,0.927,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
71,slac,72,1,0.108,1.834,sig_r,d/p,e,nc,1,0.9085,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
72,slac,73,1,0.084,1.542,sig_r,d/p,e,nc,1,0.931,3.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
73,slac,74,1,0.695,5.185,sig_r,d/p,e,nc,1,0.629,5.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
74,slac,75,1,0.6,4.979,sig_r,d/p,e,nc,1,0.71,3.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
75,slac,76,1,0.532,4.801,sig_r,d/p,e,nc,1,0.7445,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
76,slac,77,1,0.454,4.553,sig_r,d/p,e,nc,1,0.7685,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
77,slac,78,1,0.387,4.294,sig_r,d/p,e,nc,1,0.82,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
78,slac,79,1,0.328,4.014,sig_r,d/p,e,nc,1,0.8315,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
79,slac,80,1,0.274,3.699,sig_r,d/p,e,nc,1,0.843,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
80,slac,81,1,0.227,3.373,sig_r,d/p,e,nc,1,0.8855,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
81,slac,82,1,0.185,3.013,sig_r,d/p,e,nc,1,0.85,3.2,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
82,slac,83,1,0.147,2.631,sig_r,d/p,e,nc,1,0.909,3.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
83,slac,84,1,0.12,2.305,sig_r,d/p,e,nc,1,0.9155,3.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
84,slac,85,1,0.096,1.968,sig_r,d/p,e,nc,1,0.928,3.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
85,slac,86,1,0.746,6.88,sig_r,d/p,e,nc,1,0.663,7.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
86,slac,87,1,0.692,6.734,sig_r,d/p,e,nc,1,0.661,4.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
87,slac,88,1,0.662,6.647,sig_r,d/p,e,nc,1,0.6775,27.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
88,slac,89,1,0.599,6.441,sig_r,d/p,e,nc,1,0.724,3.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
89,slac,90,1,0.528,6.174,sig_r,d/p,e,nc,1,0.7635,3.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
90,slac,91,1,0.465,5.894,sig_r,d/p,e,nc,1,0.7565,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
91,slac,92,1,0.404,5.569,sig_r,d/p,e,nc,1,0.8065,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
92,slac,93,1,0.347,5.215,sig_r,d/p,e,nc,1,0.843,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
93,slac,94,1,0.297,4.845,sig_r,d/p,e,nc,1,0.869,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
94,slac,95,1,0.251,4.446,sig_r,d/p,e,nc,1,0.8725,3.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
95,slac,96,1,0.208,4.003,sig_r,d/p,e,nc,1,0.905,3.2,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
96,slac,97,1,0.178,3.649,sig_r,d/p,e,nc,1,0.902,3.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
97,slac,98,1,0.15,3.265,sig_r,d/p,e,nc,1,0.9255,3.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
98,slac,99,1,0.122,2.851,sig_r,d/p,e,nc,1,0.941,3.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
99,slac,100,1,0.099,2.438,sig_r,d/p,e,nc,1,0.856,3.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
