,exp,x,Q2,W2,epsilon,sigma,stat,value,stf2rec_u,obs,target,lepton beam,current,units,%*norm_c
204,e94110,0.569385,2.637,2.875,0.785679,8.842,0.1723,0.167966,0.003273,F2,p,e,NC,1,1.9
205,e94110,0.562047,2.622,2.925,0.783284,8.765,0.1617,0.167467,0.003089,F2,p,e,NC,1,1.9
206,e94110,0.554601,2.606,2.975,0.780817,8.636,0.1574,0.165902,0.003024,F2,p,e,NC,1,1.9
207,e94110,0.543417,2.582,3.05,0.776968,8.168,0.1541,0.158307,0.002987,F2,p,e,NC,1,1.9
208,e94110,0.529159,2.55,3.15,0.77187,8.188,0.1617,0.160426,0.003168,F2,p,e,NC,1,1.9
209,e94110,0.515301,2.519,3.25,0.766612,8.383,0.1674,0.166152,0.003318,F2,p,e,NC,1,1.9
210,e94110,0.50182,2.487,3.35,0.761292,8.774,0.1758,0.175629,0.003519,F2,p,e,NC,1,1.9
211,e94110,0.488702,2.455,3.45,0.75586,9.203,0.1836,0.185884,0.003708,F2,p,e,NC,1,1.9
212,e94110,0.475953,2.424,3.55,0.750269,9.675,0.191,0.197182,0.003893,F2,p,e,NC,1,1.9
213,e94110,0.463521,2.392,3.65,0.744611,10.04,0.1954,0.205994,0.004009,F2,p,e,NC,1,1.9
214,e94110,0.451249,2.36,3.75,0.738733,10.24,0.1968,0.211383,0.004063,F2,p,e,NC,1,1.9
215,e94110,0.439454,2.328,3.85,0.732843,10.31,0.1977,0.213782,0.004099,F2,p,e,NC,1,1.9
216,e94110,0.912992,3.615,1.225,0.814603,0.014,0.01295,0.000364,0.000336,F2,p,e,NC,1,1.9
217,e94110,0.901185,3.597,1.275,0.812834,0.093,0.02395,0.002433,0.000626,F2,p,e,NC,1,1.9
218,e94110,0.889565,3.579,1.325,0.811045,0.277,0.04016,0.007298,0.001058,F2,p,e,NC,1,1.9
219,e94110,0.878129,3.561,1.375,0.809235,0.742,0.05466,0.019688,0.00145,F2,p,e,NC,1,1.9
220,e94110,0.86687,3.543,1.425,0.807403,1.136,0.05791,0.030326,0.001546,F2,p,e,NC,1,1.9
221,e94110,0.855787,3.525,1.475,0.805551,1.285,0.05619,0.034454,0.001507,F2,p,e,NC,1,1.9
222,e94110,0.844873,3.507,1.525,0.803677,1.181,0.04425,0.03173,0.001189,F2,p,e,NC,1,1.9
223,e94110,0.834126,3.489,1.575,0.801782,1.107,0.03666,0.02974,0.000985,F2,p,e,NC,1,1.9
224,e94110,0.823305,3.47,1.625,0.799838,1.044,0.03165,0.028008,0.000849,F2,p,e,NC,1,1.9
225,e94110,0.812881,3.452,1.675,0.7979,1.039,0.03308,0.027855,0.000887,F2,p,e,NC,1,1.9
226,e94110,0.802613,3.434,1.725,0.795939,1.059,0.03534,0.028408,0.000948,F2,p,e,NC,1,1.9
227,e94110,0.792497,3.416,1.775,0.793957,1.119,0.03777,0.030079,0.001015,F2,p,e,NC,1,1.9
228,e94110,0.78253,3.398,1.825,0.791953,1.159,0.04023,0.031258,0.001085,F2,p,e,NC,1,1.9
229,e94110,0.772708,3.38,1.875,0.789927,1.323,0.04361,0.035837,0.001181,F2,p,e,NC,1,1.9
230,e94110,0.763028,3.362,1.925,0.787879,1.476,0.04779,0.040195,0.001301,F2,p,e,NC,1,1.9
231,e94110,0.753487,3.344,1.975,0.785809,1.601,0.05124,0.043871,0.001404,F2,p,e,NC,1,1.9
232,e94110,0.743859,3.325,2.025,0.783684,1.737,0.058,0.04793,0.0016,F2,p,e,NC,1,1.9
233,e94110,0.73459,3.307,2.075,0.781569,2.133,0.06756,0.059363,0.00188,F2,p,e,NC,1,1.9
234,e94110,0.725451,3.289,2.125,0.779431,2.406,0.08016,0.067633,0.002253,F2,p,e,NC,1,1.9
235,e94110,0.716439,3.271,2.175,0.77727,2.978,0.09743,0.08462,0.002768,F2,p,e,NC,1,1.9
236,e94110,0.707553,3.253,2.225,0.775087,3.267,0.09759,0.093704,0.002799,F2,p,e,NC,1,1.9
237,e94110,0.698789,3.235,2.275,0.772881,3.401,0.08165,0.098025,0.002353,F2,p,e,NC,1,1.9
238,e94110,0.690145,3.217,2.325,0.770652,3.022,0.07594,0.087132,0.00219,F2,p,e,NC,1,1.9
239,e94110,0.681619,3.199,2.375,0.768401,2.808,0.06868,0.080868,0.001978,F2,p,e,NC,1,1.9
240,e94110,0.672996,3.18,2.425,0.766088,2.666,0.06553,0.076718,0.001886,F2,p,e,NC,1,1.9
241,e94110,0.664699,3.162,2.475,0.76379,2.716,0.0669,0.078221,0.001927,F2,p,e,NC,1,1.9
242,e94110,0.656512,3.144,2.525,0.761468,2.787,0.07011,0.080417,0.002023,F2,p,e,NC,1,1.9
