,exp,x,Q2,obs,target,lepton beam,current,units,value,dstat_u,dsys,%dVX_c,%dSM_c,%dRC_c,%dE_c,%dEp_c,%*norm_c
85,nmc,0.035,3.46,sig,d/p,mu_minus,nc,1,0.9565,0.0069,0.0021,0.2,0.0,0.1,0.0,0.0,0.25
86,nmc,0.035,4.45,sig,d/p,mu_minus,nc,1,0.9611,0.0088,0.0016,0.1,0.0,0.1,0.0,0.0,0.25
87,nmc,0.035,5.47,sig,d/p,mu_minus,nc,1,0.9669,0.0111,0.0018,0.2,0.0,0.1,0.0,0.0,0.25
88,nmc,0.035,6.92,sig,d/p,mu_minus,nc,1,0.9817,0.0101,0.0018,0.2,0.0,0.1,0.0,0.0,0.25
89,nmc,0.035,8.96,sig,d/p,mu_minus,nc,1,0.9686,0.0115,0.0021,0.2,0.0,0.1,0.0,0.0,0.25
90,nmc,0.035,11.45,sig,d/p,mu_minus,nc,1,0.9572,0.0107,0.0015,0.1,0.0,0.1,0.0,0.0,0.25
91,nmc,0.035,14.36,sig,d/p,mu_minus,nc,1,0.9439,0.0144,0.0031,0.1,0.0,0.3,0.0,0.0,0.25
92,nmc,0.05,0.46,sig,d/p,mu_minus,nc,1,0.9101,0.0412,0.006,0.2,-0.6,0.1,-0.1,0.1,0.25
93,nmc,0.05,0.61,sig,d/p,mu_minus,nc,1,0.9539,0.0214,0.0063,0.2,-0.6,0.1,-0.1,0.1,0.25
94,nmc,0.05,0.88,sig,d/p,mu_minus,nc,1,0.9204,0.0213,0.0029,0.2,-0.2,0.1,0.0,0.0,0.25
95,nmc,0.05,1.13,sig,d/p,mu_minus,nc,1,0.9738,0.0167,0.0025,0.2,-0.1,0.1,0.0,0.0,0.25
96,nmc,0.05,1.37,sig,d/p,mu_minus,nc,1,0.94,0.0138,0.0025,0.2,0.0,0.1,0.0,0.0,0.25
97,nmc,0.05,1.74,sig,d/p,mu_minus,nc,1,0.9532,0.0092,0.0025,0.3,0.0,0.1,0.0,0.0,0.25
98,nmc,0.05,2.25,sig,d/p,mu_minus,nc,1,0.9526,0.0077,0.0023,0.2,0.0,0.1,0.0,0.0,0.25
99,nmc,0.05,2.74,sig,d/p,mu_minus,nc,1,0.9642,0.0077,0.002,0.2,0.0,0.1,0.0,0.0,0.25
100,nmc,0.05,3.46,sig,d/p,mu_minus,nc,1,0.9597,0.0058,0.0017,0.2,0.0,0.1,0.0,0.0,0.25
101,nmc,0.05,4.46,sig,d/p,mu_minus,nc,1,0.9551,0.0069,0.0015,0.1,0.0,0.1,0.0,0.0,0.25
102,nmc,0.05,5.46,sig,d/p,mu_minus,nc,1,0.9577,0.0085,0.0015,0.1,0.0,0.1,0.0,0.0,0.25
103,nmc,0.05,6.9,sig,d/p,mu_minus,nc,1,0.9682,0.0076,0.0015,0.1,0.0,0.1,0.0,0.0,0.25
104,nmc,0.05,8.93,sig,d/p,mu_minus,nc,1,0.9578,0.0097,0.0018,0.2,0.0,0.1,0.0,0.0,0.25
105,nmc,0.05,11.44,sig,d/p,mu_minus,nc,1,0.9532,0.0087,0.0014,0.1,0.0,0.0,0.0,0.0,0.25
106,nmc,0.05,14.82,sig,d/p,mu_minus,nc,1,0.9698,0.009,0.0015,0.1,0.0,0.1,0.0,0.0,0.25
107,nmc,0.05,19.19,sig,d/p,mu_minus,nc,1,0.9635,0.0119,0.0022,0.1,0.0,0.2,0.0,0.0,0.25
108,nmc,0.07,0.68,sig,d/p,mu_minus,nc,1,0.9488,0.0438,0.0063,0.2,-0.6,0.1,-0.1,0.1,0.25
109,nmc,0.07,0.86,sig,d/p,mu_minus,nc,1,0.9595,0.0344,0.0063,0.2,-0.6,0.1,-0.1,0.1,0.25
110,nmc,0.07,1.11,sig,d/p,mu_minus,nc,1,1.001,0.0542,0.0068,0.2,-0.6,0.1,-0.1,-0.1,0.25
111,nmc,0.07,1.38,sig,d/p,mu_minus,nc,1,0.981,0.0197,0.0028,0.2,-0.1,0.1,0.0,0.1,0.25
112,nmc,0.07,1.74,sig,d/p,mu_minus,nc,1,0.971,0.0117,0.0027,0.3,0.0,0.1,0.0,0.0,0.25
113,nmc,0.07,2.24,sig,d/p,mu_minus,nc,1,0.9477,0.0111,0.0023,0.2,0.0,0.1,0.0,0.0,0.25
114,nmc,0.07,2.75,sig,d/p,mu_minus,nc,1,0.9449,0.0096,0.0023,0.2,-0.1,0.1,0.0,0.0,0.25
115,nmc,0.07,3.47,sig,d/p,mu_minus,nc,1,0.9486,0.0069,0.0019,0.2,0.0,0.1,0.0,0.0,0.25
116,nmc,0.07,4.47,sig,d/p,mu_minus,nc,1,0.937,0.0079,0.0016,0.2,0.0,0.0,0.0,0.0,0.25
117,nmc,0.07,5.47,sig,d/p,mu_minus,nc,1,0.945,0.0095,0.0014,0.1,0.0,0.0,0.0,0.0,0.25
118,nmc,0.07,6.91,sig,d/p,mu_minus,nc,1,0.9367,0.0082,0.0015,0.2,0.0,0.0,0.0,0.0,0.25
119,nmc,0.07,8.91,sig,d/p,mu_minus,nc,1,0.9394,0.0105,0.0015,0.2,0.0,0.0,0.0,0.0,0.25
120,nmc,0.07,11.4,sig,d/p,mu_minus,nc,1,0.9328,0.0105,0.0018,0.2,0.0,0.0,0.0,0.0,0.25
121,nmc,0.07,14.89,sig,d/p,mu_minus,nc,1,0.9432,0.0103,0.0014,0.1,0.0,0.1,0.0,0.0,0.25
122,nmc,0.07,19.63,sig,d/p,mu_minus,nc,1,0.9371,0.0103,0.0013,0.1,0.0,0.1,0.0,0.0,0.25
123,nmc,0.07,26.07,sig,d/p,mu_minus,nc,1,0.9592,0.0157,0.0018,0.1,0.0,0.2,0.0,0.0,0.25
124,nmc,0.09,0.9,sig,d/p,mu_minus,nc,1,0.9678,0.054,0.0065,0.2,-0.6,0.1,-0.1,0.1,0.25
125,nmc,0.09,1.11,sig,d/p,mu_minus,nc,1,0.9351,0.0537,0.0062,0.2,-0.6,0.1,-0.1,0.1,0.25
